,59cdb4ea5894270001463f1f
Pond7Fish6_TotalOutcome,450
Pond7Fish6_TimeLeft,748.116
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,1.534
Pond7Fish7_PondTime,51.617
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,460
Pond7Fish7_TimeLeft,739.748
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.172
Pond7Fish8_PondTime,60.645
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,470
Pond7Fish8_TimeLeft,730.72
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,0.93
Pond7Fish9_PondTime,70.517
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,480
Pond7Fish9_TimeLeft,720.848
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.05
Pond7Fish10_PondTime,81.46
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,490
Pond7Fish10_TimeLeft,709.905
Type,RT
FishN,16
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.417
Pond7Fish11_PondTime,93.828
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,500
Pond7Fish11_TimeLeft,697.537
PondEnd_LastFish,11
FishN,17
Type,RT
GiveUpTime,1.574
PondTime,95.018
TimeLeft,695.842
PondOutcome,110
TotalOutcome,500
PondStart,PondStart
PondIntroTime,17.201370040420443
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.095
Pond6Fish1_PondTime,7.813
