,5d631df192a38a0019d83f7f
Pond3Fish12_TotalOutcome,380
Pond3Fish12_TimeLeft,829.942
Type,RT
FishN,18
Fish,13
Pond3Fish13_FishType,purple
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,1.163
Pond3Fish13_PondTime,106.13
Pond3Fish13_PondOutcome,140
Pond3Fish13_TotalOutcome,390
Pond3Fish13_TimeLeft,817.522
Type,RT
FishN,18
Fish,14
Pond3Fish14_FishType,purple
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,1.281
Pond3Fish14_PondTime,120.54
Pond3Fish14_PondOutcome,150
Pond3Fish14_TotalOutcome,400
Pond3Fish14_TimeLeft,803.113
Type,RT
FishN,18
Fish,15
Pond3Fish15_FishType,purple
Pond3Fish15_FishLatency,12
Pond3Fish15_CatchTime,1.232
Pond3Fish15_PondTime,137.951
Pond3Fish15_PondOutcome,160
Pond3Fish15_TotalOutcome,410
Pond3Fish15_TimeLeft,785.702
PondEnd_LastFish,15
FishN,19
Type,RT
GiveUpTime,0.883
PondTime,138.262
TimeLeft,784.88
PondOutcome,160
TotalOutcome,410
PondStart,PondStart
PondIntroTime,10.561860161833465
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,1.255
Pond12Fish1_PondTime,12
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,420
Pond12Fish1_TimeLeft,760.452
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,1.026
Pond12Fish2_PondTime,19.87
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,430
Pond12Fish2_TimeLeft,752.582
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,1.315
Pond12Fish3_PondTime,28.3
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,440
Pond12Fish3_TimeLeft,744.152
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.495
Pond12Fish4_PondTime,37.38
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,450
Pond12Fish4_TimeLeft,735.072
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.019
Pond12Fish5_PondTime,47.282
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,460
Pond12Fish5_TimeLeft,725.17
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,golden
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,0.959
Pond12Fish6_PondTime,58.269
