,5cecd5f590bfb10001ab24b2
Pond3Fish5_TimeLeft,1165.219
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,0.954
Pond3Fish6_PondTime,45.554
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,60
Pond3Fish6_TimeLeft,1156.844
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,0.947
Pond3Fish7_PondTime,54.587
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,70
Pond3Fish7_TimeLeft,1147.811
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,0.99
Pond3Fish8_PondTime,64.47
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,80
Pond3Fish8_TimeLeft,1137.929
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,1.058
Pond3Fish9_PondTime,75.416
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,90
Pond3Fish9_TimeLeft,1126.983
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,1.058
Pond3Fish10_PondTime,87.783
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,100
Pond3Fish10_TimeLeft,1114.616
Type,RT
FishN,18
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,10
Pond3Fish11_CatchTime,-1
Pond3Fish11_PondTime,102.206
Pond3Fish11_PondOutcome,100
Pond3Fish11_TotalOutcome,100
Pond3Fish11_TimeLeft,1100.193
PondEnd_LastFish,11
FishN,16
Type,RT
GiveUpTime,22.056
PondTime,109.094
TimeLeft,1092.802
PondOutcome,100
TotalOutcome,100
PondStart,PondStart
PondIntroTime,17.91109595214948
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,0.984
Pond7Fish1_PondTime,9.272
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,110
Pond7Fish1_TimeLeft,1064.997
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,0.999
Pond7Fish2_PondTime,17.095
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,120
Pond7Fish2_TimeLeft,1057.175
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,0.985
Pond7Fish3_PondTime,25.466
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,130
Pond7Fish3_TimeLeft,1048.803
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,0.987
Pond7Fish4_PondTime,34.507
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,140
Pond7Fish4_TimeLeft,1039.763
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,6.666666666666667
Pond7Fish5_CatchTime,1.054
Pond7Fish5_PondTime,44.378
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,150
Pond7Fish5_TimeLeft,1029.892
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,7.5
Pond7Fish6_CatchTime,0.886
Pond7Fish6_PondTime,55.316
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,160
Pond7Fish6_TimeLeft,1018.954
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,8.571428571428571
Pond7Fish7_CatchTime,0.977
Pond7Fish7_PondTime,67.683
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,170
Pond7Fish7_TimeLeft,1006.587
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,golden
Pond7Fish8_FishLatency,10
Pond7Fish8_CatchTime,0.845
Pond7Fish8_PondTime,82.054
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,190
Pond7Fish8_TimeLeft,992.216
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,12
Pond7Fish9_CatchTime,0.928
Pond7Fish9_PondTime,99.429
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,200
Pond7Fish9_TimeLeft,974.841
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,15
Pond7Fish10_CatchTime,-1
Pond7Fish10_PondTime,121.857
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,200
Pond7Fish10_TimeLeft,952.413
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,29.969
PondTime,128.523
TimeLeft,945.243
PondOutcome,100
TotalOutcome,200
PondStart,PondStart
PondIntroTime,15.87902226485312
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,1.009
Pond11Fish1_PondTime,9.282
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,210
Pond11Fish1_TimeLeft,919.455
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,-1
Pond11Fish2_PondTime,17.167
Pond11Fish2_PondOutcome,10
Pond11Fish2_TotalOutcome,210
Pond11Fish2_TimeLeft,911.57
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,1.036
Pond11Fish3_PondTime,25.528
Pond11Fish3_PondOutcome,20
Pond11Fish3_TotalOutcome,220
Pond11Fish3_TimeLeft,903.208
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,golden
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,0.823
Pond11Fish4_PondTime,34.567
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,240
Pond11Fish4_TimeLeft,894.17
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,1.945
Pond11Fish5_PondTime,44.697
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,250
Pond11Fish5_TimeLeft,884.04
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,0.948
Pond11Fish6_PondTime,55.649
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,260
Pond11Fish6_TimeLeft,873.088
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,-1
Pond11Fish7_PondTime,68.068
Pond11Fish7_PondOutcome,60
Pond11Fish7_TotalOutcome,260
Pond11Fish7_TimeLeft,860.669
PondEnd_LastFish,7
FishN,13
Type,RT
GiveUpTime,26.994
PondTime,81.788
TimeLeft,846.447
PondOutcome,60
TotalOutcome,260
PondStart,PondStart
PondIntroTime,10.893928597215563
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,1.065
Pond6Fish1_PondTime,8.287
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,270
Pond6Fish1_TimeLeft,826.651
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,1.782
Pond6Fish2_PondTime,15.043
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,280
Pond6Fish2_TimeLeft,819.895
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,1.298
Pond6Fish3_PondTime,22.042
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,290
Pond6Fish3_TimeLeft,812.896
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,1.034
Pond6Fish4_PondTime,29.417
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,300
Pond6Fish4_TimeLeft,805.52
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,1.028
Pond6Fish5_PondTime,37.258
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,310
Pond6Fish5_TimeLeft,797.68
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,golden
Pond6Fish6_FishLatency,5.454545454545454
Pond6Fish6_CatchTime,0.903
Pond6Fish6_PondTime,45.628
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,330
Pond6Fish6_TimeLeft,789.31
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,6
Pond6Fish7_CatchTime,1.125
Pond6Fish7_PondTime,54.667
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,340
Pond6Fish7_TimeLeft,780.27
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,6.666666666666667
Pond6Fish8_CatchTime,1.178
Pond6Fish8_PondTime,64.552
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,350
Pond6Fish8_TimeLeft,770.385
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,7.5
Pond6Fish9_CatchTime,1.29
Pond6Fish9_PondTime,75.497
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,360
Pond6Fish9_TimeLeft,759.44
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,8.571428571428571
Pond6Fish10_CatchTime,1.185
Pond6Fish10_PondTime,87.883
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,370
Pond6Fish10_TimeLeft,747.055
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,10
Pond6Fish11_CatchTime,1.267
Pond6Fish11_PondTime,102.255
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,380
Pond6Fish11_TimeLeft,732.682
PondEnd_LastFish,11
FishN,16
Type,RT
GiveUpTime,2.639
PondTime,104.361
TimeLeft,730.07
PondOutcome,120
TotalOutcome,380
PondStart,PondStart
PondIntroTime,14.391052338760346
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,1.042
Pond5Fish1_PondTime,7.805
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,390
Pond5Fish1_TimeLeft,707.265
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,1.375
Pond5Fish2_PondTime,13.933
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,400
Pond5Fish2_TimeLeft,701.138
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,1.087
Pond5Fish3_PondTime,20.309
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,410
Pond5Fish3_TimeLeft,694.762
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,0.996
Pond5Fish4_PondTime,26.966
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,420
Pond5Fish4_TimeLeft,688.105
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,0.992
Pond5Fish5_PondTime,33.951
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,430
Pond5Fish5_TimeLeft,681.119
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,golden
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,0.934
Pond5Fish6_PondTime,41.334
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,450
Pond5Fish6_TimeLeft,673.737
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,1.137
Pond5Fish7_PondTime,49.16
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,460
Pond5Fish7_TimeLeft,665.911
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,1.317
Pond5Fish8_PondTime,57.54
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,470
Pond5Fish8_TimeLeft,657.531
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,1.16
Pond5Fish9_PondTime,66.579
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,480
Pond5Fish9_TimeLeft,648.492
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,1.012
Pond5Fish10_PondTime,76.461
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,490
Pond5Fish10_TimeLeft,638.61
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,1.083
Pond5Fish11_PondTime,87.405
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,500
Pond5Fish11_TimeLeft,627.666
Type,RT
FishN,18
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,8.571428571428571
Pond5Fish12_CatchTime,1.046
Pond5Fish12_PondTime,99.772
Pond5Fish12_PondOutcome,130
Pond5Fish12_TotalOutcome,510
Pond5Fish12_TimeLeft,615.298
PondEnd_LastFish,12
FishN,18
Type,RT
GiveUpTime,3.681
PondTime,102.695
TimeLeft,611.873
PondOutcome,130
TotalOutcome,510
PondStart,PondStart
PondIntroTime,10.540411216206849
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.193
Pond8Fish1_PondTime,8.572
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,520
Pond8Fish1_TimeLeft,592.146
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,1.328
Pond8Fish2_PondTime,15.559
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,530
Pond8Fish2_TimeLeft,585.159
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,1.001
Pond8Fish3_PondTime,22.946
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,540
Pond8Fish3_TimeLeft,577.771
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,1.114
Pond8Fish4_PondTime,30.774
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,550
Pond8Fish4_TimeLeft,569.944
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,1.074
Pond8Fish5_PondTime,39.153
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,560
Pond8Fish5_TimeLeft,561.565
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,golden
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,1.041
Pond8Fish6_PondTime,48.187
Pond8Fish6_PondOutcome,70
Pond8Fish6_TotalOutcome,580
Pond8Fish6_TimeLeft,552.531
PondEnd_LastFish,6
FishN,15
Type,RT
GiveUpTime,4.386
PondTime,51.813
TimeLeft,548.402
PondOutcome,70
TotalOutcome,580
PondStart,PondStart
PondIntroTime,14.039693970698863
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.078
Pond10Fish1_PondTime,9.739
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,590
Pond10Fish1_TimeLeft,524.009
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,-1
Pond10Fish2_PondTime,18.161
Pond10Fish2_PondOutcome,10
Pond10Fish2_TotalOutcome,590
Pond10Fish2_TimeLeft,515.588
