,59aef156f235c20001a1a3a4
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,0.712
Pond3Fish6_PondTime,51.493
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,330
Pond3Fish6_TimeLeft,878.281
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,golden
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,0.834
Pond3Fish7_PondTime,62.453
Pond3Fish7_PondOutcome,90
Pond3Fish7_TotalOutcome,350
Pond3Fish7_TimeLeft,867.321
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,0.752
Pond3Fish8_PondTime,74.866
Pond3Fish8_PondOutcome,100
Pond3Fish8_TotalOutcome,360
Pond3Fish8_TimeLeft,854.908
PondEnd_LastFish,8
FishN,14
Type,RT
GiveUpTime,0.488
PondTime,88.691
TimeLeft,840.58
PondOutcome,100
TotalOutcome,360
PondStart,PondStart
PondIntroTime,16.522721890360117
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,0.689
Pond10Fish1_PondTime,8.061
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,370
Pond10Fish1_TimeLeft,814.961
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,0.996
Pond10Fish2_PondTime,14.457
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,380
Pond10Fish2_TimeLeft,808.566
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,1.317
Pond10Fish3_PondTime,21.123
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,390
Pond10Fish3_TimeLeft,801.9
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,0.762
Pond10Fish4_PondTime,28.135
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,400
Pond10Fish4_TimeLeft,794.888
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4.615384615384615
