,5c1a46e47fb37900018348c5
Pond6Fish5_TimeLeft,973.551
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.023
Pond6Fish6_PondTime,43.201
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,240
Pond6Fish6_TimeLeft,965.734
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,1.022
Pond6Fish7_PondTime,51.566
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,250
Pond6Fish7_TimeLeft,957.368
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.148
Pond6Fish8_PondTime,60.601
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,260
Pond6Fish8_TimeLeft,948.334
PondEnd_LastFish,8
FishN,17
Type,RT
GiveUpTime,0.802
PondTime,60.751
TimeLeft,947.681
PondOutcome,80
TotalOutcome,260
PondStart,PondStart
PondIntroTime,12.096350840292871
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,0.935
Pond8Fish1_PondTime,8.003
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,270
Pond8Fish1_TimeLeft,925.65
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,1.16
Pond8Fish2_PondTime,13.9
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,280
Pond8Fish2_TimeLeft,919.752
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,0.786
Pond8Fish3_PondTime,20.02
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,290
Pond8Fish3_TimeLeft,913.633
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,0.958
Pond8Fish4_PondTime,26.384
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,300
Pond8Fish4_TimeLeft,907.269
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,1.248
Pond8Fish5_PondTime,33.036
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,310
Pond8Fish5_TimeLeft,900.617
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,1.103
Pond8Fish6_PondTime,40.018
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,320
Pond8Fish6_TimeLeft,893.635
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,1.121
Pond8Fish7_PondTime,47.384
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,330
Pond8Fish7_TimeLeft,886.269
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,0.914
Pond8Fish8_PondTime,55.201
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,340
Pond8Fish8_TimeLeft,878.452
PondEnd_LastFish,8
FishN,19
Type,RT
GiveUpTime,1.091
PondTime,55.406
TimeLeft,877.741
PondOutcome,80
TotalOutcome,340
PondStart,PondStart
PondIntroTime,16.564786217641085
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,0.764
Pond5Fish1_PondTime,8.569
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,350
Pond5Fish1_TimeLeft,852
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,1.154
Pond5Fish2_PondTime,15.552
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,360
Pond5Fish2_TimeLeft,845.017
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,1.193
Pond5Fish3_PondTime,22.917
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,370
Pond5Fish3_TimeLeft,837.651
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,1.153
Pond5Fish4_PondTime,30.751
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,380
Pond5Fish4_TimeLeft,829.818
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,1.195
Pond5Fish5_PondTime,39.117
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,390
Pond5Fish5_TimeLeft,821.451
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,6
Pond5Fish6_CatchTime,1.09
Pond5Fish6_PondTime,48.152
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,400
Pond5Fish6_TimeLeft,812.417
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,6.666666666666667
Pond5Fish7_CatchTime,1.136
Pond5Fish7_PondTime,58.02
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,410
Pond5Fish7_TimeLeft,802.549
PondEnd_LastFish,7
FishN,15
Type,RT
GiveUpTime,0.892
PondTime,68.925
TimeLeft,791.141
PondOutcome,70
TotalOutcome,410
PondStart,PondStart
PondIntroTime,11.202349083032459
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,0.818
Pond7Fish1_PondTime,8.267
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,420
Pond7Fish1_TimeLeft,771.051
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,golden
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,0.868
Pond7Fish2_PondTime,14.919
Pond7Fish2_PondOutcome,30
Pond7Fish2_TotalOutcome,440
Pond7Fish2_TimeLeft,764.399
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,0.747
Pond7Fish3_PondTime,21.912
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,450
Pond7Fish3_TimeLeft,757.406
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,1.325
Pond7Fish4_PondTime,29.268
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,460
Pond7Fish4_TimeLeft,750.05
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,1.062
Pond7Fish5_PondTime,37.102
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,470
Pond7Fish5_TimeLeft,742.216
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,0.917
Pond7Fish6_PondTime,45.482
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,480
Pond7Fish6_TimeLeft,733.835
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,0.875
Pond7Fish7_PondTime,54.517
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,490
Pond7Fish7_TimeLeft,724.801
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
