,aubrey
GiveUpTime,60.359
PondTime,206.501
TimeLeft,496.702
PondOutcome,120
TotalOutcome,520
PondStart,PondStart
PondIntroTime,11.817203890532255
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,1.262
Pond7Fish1_PondTime,8.302
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,530
Pond7Fish1_TimeLeft,475.96
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,1.306
Pond7Fish2_PondTime,14.98
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,540
Pond7Fish2_TimeLeft,469.282
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,0.977
Pond7Fish3_PondTime,21.981
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,550
Pond7Fish3_TimeLeft,462.281
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,1.02
Pond7Fish4_PondTime,29.355
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,560
Pond7Fish4_TimeLeft,454.907
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,0.804
Pond7Fish5_PondTime,37.18
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,570
Pond7Fish5_TimeLeft,447.082
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,0.976
Pond7Fish6_PondTime,45.541
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,580
Pond7Fish6_TimeLeft,438.721
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,0.893
Pond7Fish7_PondTime,54.577
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,590
Pond7Fish7_TimeLeft,429.685
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,1.009
Pond7Fish8_PondTime,64.445
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,600
Pond7Fish8_TimeLeft,419.817
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,1.202
Pond7Fish9_PondTime,75.388
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,610
Pond7Fish9_TimeLeft,408.874
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,1.019
Pond7Fish10_PondTime,87.767
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,620
Pond7Fish10_TimeLeft,396.494
Type,RT
FishN,16
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,10
Pond7Fish11_CatchTime,1.145
Pond7Fish11_PondTime,102.144
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,630
Pond7Fish11_TimeLeft,382.117
Type,RT
FishN,16
Fish,12
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,12
Pond7Fish12_CatchTime,0.802
Pond7Fish12_PondTime,119.512
Pond7Fish12_PondOutcome,120
Pond7Fish12_TotalOutcome,640
Pond7Fish12_TimeLeft,364.75
Type,RT
FishN,16
Fish,13
Pond7Fish13_FishType,purple
Pond7Fish13_FishLatency,15
Pond7Fish13_CatchTime,0.994
Pond7Fish13_PondTime,141.878
Pond7Fish13_PondOutcome,130
Pond7Fish13_TotalOutcome,650
Pond7Fish13_TimeLeft,342.384
PondEnd_LastFish,13
FishN,16
Type,RT
GiveUpTime,0.53
PondTime,173.858
TimeLeft,309.896
PondOutcome,130
TotalOutcome,650
PondStart,PondStart
PondIntroTime,17.272311011329293
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,0.935
Pond3Fish1_PondTime,8.283
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,660
Pond3Fish1_TimeLeft,283.713
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.055
Pond3Fish2_PondTime,14.943
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,670
Pond3Fish2_TimeLeft,277.053
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.13
Pond3Fish3_PondTime,21.951
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,680
Pond3Fish3_TimeLeft,270.046
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,0.919
Pond3Fish4_PondTime,29.323
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,690
Pond3Fish4_TimeLeft,262.673
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.545
Pond3Fish5_PondTime,37.158
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,700
Pond3Fish5_TimeLeft,254.839
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,1.074
Pond3Fish6_PondTime,45.523
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,710
Pond3Fish6_TimeLeft,246.474
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,0.868
Pond3Fish7_PondTime,54.566
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,720
Pond3Fish7_TimeLeft,237.431
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,1.09
Pond3Fish8_PondTime,64.458
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,730
Pond3Fish8_TimeLeft,227.539
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,0.943
Pond3Fish9_PondTime,75.389
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,740
Pond3Fish9_TimeLeft,216.608
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,0.758
Pond3Fish10_PondTime,87.767
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,750
Pond3Fish10_TimeLeft,204.23
Type,RT
FishN,18
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,10
Pond3Fish11_CatchTime,1.005
Pond3Fish11_PondTime,102.129
Pond3Fish11_PondOutcome,110
Pond3Fish11_TotalOutcome,760
Pond3Fish11_TimeLeft,189.868
Type,RT
FishN,18
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,12
Pond3Fish12_CatchTime,1.169
Pond3Fish12_PondTime,119.502
Pond3Fish12_PondOutcome,120
Pond3Fish12_TotalOutcome,770
