,5cc2ecf5e2a25b001ad51820
TimeLeft,830.497
PondOutcome,130
TotalOutcome,330
PondStart,PondStart
PondIntroTime,16.324500013142824
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.178
Pond6Fish1_PondTime,7.613
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,340
Pond6Fish1_TimeLeft,805.925
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,golden
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,0.899
Pond6Fish2_PondTime,13.516
Pond6Fish2_PondOutcome,30
Pond6Fish2_TotalOutcome,360
Pond6Fish2_TimeLeft,800.022
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.026
Pond6Fish3_PondTime,19.649
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,370
Pond6Fish3_TimeLeft,793.889
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,1.338
Pond6Fish4_PondTime,26.032
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,380
Pond6Fish4_TimeLeft,787.506
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.081
Pond6Fish5_PondTime,32.698
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,390
Pond6Fish5_TimeLeft,780.84
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,1.102
Pond6Fish6_PondTime,39.704
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,400
Pond6Fish6_TimeLeft,773.834
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,0.986
Pond6Fish7_PondTime,47.095
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,410
Pond6Fish7_TimeLeft,766.443
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.188
Pond6Fish8_PondTime,54.926
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,420
Pond6Fish8_TimeLeft,758.612
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,0.792
Pond6Fish9_PondTime,63.309
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,430
Pond6Fish9_TimeLeft,750.229
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,1.06
Pond6Fish10_PondTime,72.356
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,440
