,5e1225054acfb98ae08e0cb7
Pond4Fish9_PondTime,70.768
Pond4Fish9_PondOutcome,90
Pond4Fish9_TotalOutcome,770
Pond4Fish9_TimeLeft,374.869
Type,RT
FishN,17
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,1.635
Pond4Fish10_PondTime,81.726
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,780
Pond4Fish10_TimeLeft,363.911
Type,RT
FishN,17
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,8.571428571428571
Pond4Fish11_CatchTime,1.719
Pond4Fish11_PondTime,94.154
Pond4Fish11_PondOutcome,110
Pond4Fish11_TotalOutcome,790
Pond4Fish11_TimeLeft,351.483
Type,RT
FishN,17
Fish,12
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,10
Pond4Fish12_CatchTime,1.507
Pond4Fish12_PondTime,108.556
Pond4Fish12_PondOutcome,120
Pond4Fish12_TotalOutcome,800
Pond4Fish12_TimeLeft,337.081
Type,RT
FishN,17
Fish,13
Pond4Fish13_FishType,purple
Pond4Fish13_FishLatency,12
Pond4Fish13_CatchTime,1.713
Pond4Fish13_PondTime,125.958
Pond4Fish13_PondOutcome,130
Pond4Fish13_TotalOutcome,810
Pond4Fish13_TimeLeft,319.679
PondEnd_LastFish,13
FishN,17
Type,RT
GiveUpTime,14.006
PondTime,139.851
TimeLeft,305.284
PondOutcome,130
TotalOutcome,810
PondStart,PondStart
PondIntroTime,17.710041266400367
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.685
Pond10Fish1_PondTime,8.059
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,820
Pond10Fish1_TimeLeft,278.875
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.624
Pond10Fish2_PondTime,14.484
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,830
Pond10Fish2_TimeLeft,272.449
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,1.411
Pond10Fish3_PondTime,21.175
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,840
Pond10Fish3_TimeLeft,265.758
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,1.514
Pond10Fish4_PondTime,28.186
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,850
Pond10Fish4_TimeLeft,258.747
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,1.476
Pond10Fish5_PondTime,35.599
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,860
Pond10Fish5_TimeLeft,251.335
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,1.942
Pond10Fish6_PondTime,43.71
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,870
Pond10Fish6_TimeLeft,243.224
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,1.495
Pond10Fish7_PondTime,52.1
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,880
Pond10Fish7_TimeLeft,234.834
Type,RT
FishN,16
