,5ce5a99c0af4f10015c5b6cf
Pond10Fish2_PondOutcome,30
Pond10Fish2_TotalOutcome,320
Pond10Fish2_TimeLeft,819
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,1.218
Pond10Fish3_PondTime,19.713
Pond10Fish3_PondOutcome,40
Pond10Fish3_TotalOutcome,330
Pond10Fish3_TimeLeft,812.872
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,1.667
Pond10Fish4_PondTime,26.096
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,340
Pond10Fish4_TimeLeft,806.489
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,0.941
Pond10Fish5_PondTime,32.768
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,350
Pond10Fish5_TimeLeft,799.817
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,0.994
Pond10Fish6_PondTime,39.784
Pond10Fish6_PondOutcome,70
Pond10Fish6_TotalOutcome,360
Pond10Fish6_TimeLeft,792.801
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,0.964
Pond10Fish7_PondTime,47.216
Pond10Fish7_PondOutcome,80
Pond10Fish7_TotalOutcome,370
Pond10Fish7_TimeLeft,785.369
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,0.954
Pond10Fish8_PondTime,55.1
Pond10Fish8_PondOutcome,90
Pond10Fish8_TotalOutcome,380
Pond10Fish8_TimeLeft,777.485
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,1.255
Pond10Fish9_PondTime,63.534
Pond10Fish9_PondOutcome,100
Pond10Fish9_TotalOutcome,390
Pond10Fish9_TimeLeft,769.051
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,0.805
Pond10Fish10_PondTime,72.633
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,400
Pond10Fish10_TimeLeft,759.952
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,0.935
Pond10Fish11_PondTime,82.534
Pond10Fish11_PondOutcome,120
Pond10Fish11_TotalOutcome,410
Pond10Fish11_TimeLeft,750.051
Type,RT
FishN,16
Fish,12
Pond10Fish12_FishType,golden
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,0.861
Pond10Fish12_PondTime,93.565
Pond10Fish12_PondOutcome,140
Pond10Fish12_TotalOutcome,430
Pond10Fish12_TimeLeft,739.02
Type,RT
FishN,16
Fish,13
Pond10Fish13_FishType,purple
Pond10Fish13_FishLatency,8.571428571428571
Pond10Fish13_CatchTime,0.876
Pond10Fish13_PondTime,105.983
Pond10Fish13_PondOutcome,150
Pond10Fish13_TotalOutcome,440
Pond10Fish13_TimeLeft,726.602
Type,RT
FishN,16
Fish,14
Pond10Fish14_FishType,purple
Pond10Fish14_FishLatency,10
Pond10Fish14_CatchTime,1.031
Pond10Fish14_PondTime,120.405
Pond10Fish14_PondOutcome,160
Pond10Fish14_TotalOutcome,450
Pond10Fish14_TimeLeft,712.18
PondEnd_LastFish,14
FishN,19
Type,RT
GiveUpTime,1.034
PondTime,120.672
TimeLeft,711.412
PondOutcome,160
TotalOutcome,450
PondStart,PondStart
PondIntroTime,12.107901519630104
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,1.359
Pond12Fish1_PondTime,8.93
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,460
Pond12Fish1_TimeLeft,689.691
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,1.029
Pond12Fish2_PondTime,16.365
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,470
Pond12Fish2_TimeLeft,682.256
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,1.374
Pond12Fish3_PondTime,24.242
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,480
Pond12Fish3_TimeLeft,674.379
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,-1
Pond12Fish4_PondTime,32.687
Pond12Fish4_PondOutcome,30
Pond12Fish4_TotalOutcome,480
Pond12Fish4_TimeLeft,665.934
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,1.016
Pond12Fish5_PondTime,41.766
Pond12Fish5_PondOutcome,40
Pond12Fish5_TotalOutcome,490
Pond12Fish5_TimeLeft,656.855
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,1.164
Pond12Fish6_PondTime,51.664
Pond12Fish6_PondOutcome,50
Pond12Fish6_TotalOutcome,500
Pond12Fish6_TimeLeft,646.957
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,golden
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,0.989
Pond12Fish7_PondTime,62.647
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,520
Pond12Fish7_TimeLeft,635.974
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,1.034
Pond12Fish8_PondTime,75.047
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,530
Pond12Fish8_TimeLeft,623.574
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,10
Pond12Fish9_CatchTime,0.868
Pond12Fish9_PondTime,89.448
Pond12Fish9_PondOutcome,90
Pond12Fish9_TotalOutcome,540
Pond12Fish9_TimeLeft,609.173
Type,RT
FishN,16
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,12
Pond12Fish10_CatchTime,1.232
Pond12Fish10_PondTime,106.839
Pond12Fish10_PondOutcome,100
