,5d485e8415055400194b707f
Pond7Fish9_CatchTime,-1
Pond7Fish9_PondTime,82.699
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,340
Pond7Fish9_TimeLeft,801.485
PondEnd_LastFish,9
FishN,15
Type,RT
GiveUpTime,14.446
PondTime,82.71
TimeLeft,800.965
PondOutcome,90
TotalOutcome,340
PondStart,PondStart
PondIntroTime,16.869789101183414
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.146
Pond3Fish1_PondTime,9.261
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,350
Pond3Fish1_TimeLeft,772.986
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,-1
Pond3Fish2_PondTime,16.755
Pond3Fish2_PondOutcome,10
Pond3Fish2_TotalOutcome,350
Pond3Fish2_TimeLeft,765.492
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,0.894
Pond3Fish3_PondTime,23.762
Pond3Fish3_PondOutcome,20
Pond3Fish3_TotalOutcome,360
Pond3Fish3_TimeLeft,758.485
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,0.998
Pond3Fish4_PondTime,31.134
Pond3Fish4_PondOutcome,30
Pond3Fish4_TotalOutcome,370
Pond3Fish4_TimeLeft,751.113
PondEnd_LastFish,4
FishN,16
Type,RT
GiveUpTime,2.322
PondTime,32.65
TimeLeft,749.079
PondOutcome,30
TotalOutcome,370
PondStart,PondStart
PondIntroTime,11.655353696551174
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.139
Pond5Fish1_PondTime,9.297
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,380
Pond5Fish1_TimeLeft,727.479
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,0.718
Pond5Fish2_PondTime,17.136
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,390
Pond5Fish2_TimeLeft,719.64
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.076
Pond5Fish3_PondTime,25.513
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,400
Pond5Fish3_TimeLeft,711.262
Type,RT
FishN,18
Fish,4
