,5cb912a2e254c8001754eabd
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.032
Pond2Fish6_PondTime,39.7
Pond2Fish6_PondOutcome,90
Pond2Fish6_TotalOutcome,360
Pond2Fish6_TimeLeft,906.51
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,golden
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,0.888
Pond2Fish7_PondTime,47.067
Pond2Fish7_PondOutcome,110
Pond2Fish7_TotalOutcome,380
Pond2Fish7_TimeLeft,899.143
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.349
Pond2Fish8_PondTime,54.956
Pond2Fish8_PondOutcome,120
Pond2Fish8_TotalOutcome,390
Pond2Fish8_TimeLeft,891.254
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,1.24
Pond2Fish9_PondTime,63.338
Pond2Fish9_PondOutcome,130
Pond2Fish9_TotalOutcome,400
Pond2Fish9_TimeLeft,882.872
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,1.282
Pond2Fish10_PondTime,72.416
Pond2Fish10_PondOutcome,140
Pond2Fish10_TotalOutcome,410
Pond2Fish10_TimeLeft,873.793
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,1.216
Pond2Fish11_PondTime,82.309
Pond2Fish11_PondOutcome,150
Pond2Fish11_TotalOutcome,420
Pond2Fish11_TimeLeft,863.901
Type,RT
FishN,12
Fish,12
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,1.398
Pond2Fish12_PondTime,93.267
Pond2Fish12_PondOutcome,160
Pond2Fish12_TotalOutcome,430
Pond2Fish12_TimeLeft,852.943
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,0.628
PondTime,105.5
TimeLeft,840.206
PondOutcome,160
TotalOutcome,430
PondStart,PondStart
PondIntroTime,13.58394643291831
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.091
Pond11Fish1_PondTime,8.074
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,440
Pond11Fish1_TimeLeft,817.905
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.117
Pond11Fish2_PondTime,14.457
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,450
Pond11Fish2_TimeLeft,811.522
Type,RT
FishN,15
Fish,3
