,5e17612b76f4a105cd8996cd
Pond9Fish4_PondTime,34.832
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,590
Pond9Fish4_TimeLeft,596.004
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,0.784
Pond9Fish5_PondTime,44.695
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,600
Pond9Fish5_TimeLeft,586.141
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,0.688
Pond9Fish6_PondTime,55.622
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,610
Pond9Fish6_TimeLeft,575.214
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,0.614
Pond9Fish7_PondTime,67.986
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,620
Pond9Fish7_TimeLeft,562.85
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,10
Pond9Fish8_CatchTime,0.65
Pond9Fish8_PondTime,82.358
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,630
Pond9Fish8_TimeLeft,548.478
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,12
Pond9Fish9_CatchTime,0.83
Pond9Fish9_PondTime,99.716
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,640
Pond9Fish9_TimeLeft,531.12
PondEnd_LastFish,9
FishN,13
Type,RT
GiveUpTime,0.904
PondTime,121.823
TimeLeft,508.509
PondOutcome,100
TotalOutcome,640
PondStart,PondStart
PondIntroTime,15.261288413312286
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.207
Pond8Fish1_PondTime,9.28
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,650
Pond8Fish1_TimeLeft,483.345
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.044
Pond8Fish2_PondTime,17.094
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,660
Pond8Fish2_TimeLeft,475.531
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,0.826
Pond8Fish3_PondTime,25.455
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,670
Pond8Fish3_TimeLeft,467.17
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,0.943
Pond8Fish4_PondTime,34.484
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,680
Pond8Fish4_TimeLeft,458.141
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,0.883
Pond8Fish5_PondTime,44.345
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,690
Pond8Fish5_TimeLeft,448.28
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,0.742
Pond8Fish6_PondTime,55.274
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,700
Pond8Fish6_TimeLeft,437.351
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,0.568
Pond8Fish7_PondTime,67.634
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,710
Pond8Fish7_TimeLeft,424.991
PondEnd_LastFish,7
FishN,13
Type,RT
GiveUpTime,0.706
PondTime,81.78
TimeLeft,410.342
PondOutcome,70
TotalOutcome,710
PondStart,PondStart
PondIntroTime,14.888995974324644
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,0.678
Pond6Fish1_PondTime,8.563
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,720
Pond6Fish1_TimeLeft,386.279
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.946
Pond6Fish2_PondTime,15.791
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,730
Pond6Fish2_TimeLeft,379.05
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,0.813
Pond6Fish3_PondTime,23.157
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,740
Pond6Fish3_TimeLeft,371.685
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,0.921
Pond6Fish4_PondTime,30.967
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,750
Pond6Fish4_TimeLeft,363.875
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,golden
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,0.411
Pond6Fish5_PondTime,39.331
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,770
Pond6Fish5_TimeLeft,355.511
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,0.854
Pond6Fish6_PondTime,48.362
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,780
Pond6Fish6_TimeLeft,346.48
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,0.634
Pond6Fish7_PondTime,58.221
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,790
Pond6Fish7_TimeLeft,336.621
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,0.485
Pond6Fish8_PondTime,69.15
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,800
Pond6Fish8_TimeLeft,325.692
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,1.051
Pond6Fish9_PondTime,81.509
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,810
Pond6Fish9_TimeLeft,313.333
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,10
Pond6Fish10_CatchTime,0.901
Pond6Fish10_PondTime,95.869
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,820
Pond6Fish10_TimeLeft,298.972
PondEnd_LastFish,10
FishN,15
Type,RT
GiveUpTime,0.275
PondTime,112.814
TimeLeft,281.524
PondOutcome,110
TotalOutcome,820
PondStart,PondStart
PondIntroTime,10.925358671229333
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,0.712
Pond12Fish1_PondTime,7.797
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,830
Pond12Fish1_TimeLeft,262.176
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,0.628
Pond12Fish2_PondTime,13.91
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,840
Pond12Fish2_TimeLeft,256.063
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,0.643
Pond12Fish3_PondTime,20.273
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,850
Pond12Fish3_TimeLeft,249.7
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,0.5
Pond12Fish4_PondTime,26.92
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,860
Pond12Fish4_TimeLeft,243.053
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,0.405
Pond12Fish5_PondTime,33.9
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,870
Pond12Fish5_TimeLeft,236.072
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,0.4
Pond12Fish6_PondTime,41.263
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,880
Pond12Fish6_TimeLeft,228.71
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,0.698
Pond12Fish7_PondTime,49.076
