,58f10189738cac000116d3ab
Pond11Fish2_CatchTime,1.458
Pond11Fish2_PondTime,14.391
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,40
Pond11Fish2_TimeLeft,1114.413
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,1.767
Pond11Fish3_PondTime,21.111
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,50
Pond11Fish3_TimeLeft,1107.693
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,1.746
Pond11Fish4_PondTime,28.16
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,60
Pond11Fish4_TimeLeft,1100.644
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,golden
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,1.527
Pond11Fish5_PondTime,35.562
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,80
Pond11Fish5_TimeLeft,1093.242
PondEnd_LastFish,5
FishN,17
Type,RT
GiveUpTime,3.846
PondTime,39.107
TimeLeft,1089.192
PondOutcome,60
TotalOutcome,80
PondStart,PondStart
PondIntroTime,16.900906176306307
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.789
Pond7Fish1_PondTime,8.134
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,90
Pond7Fish1_TimeLeft,1063.524
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,14.567
Pond7Fish2_PondOutcome,10
Pond7Fish2_TotalOutcome,90
Pond7Fish2_TimeLeft,1057.091
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.765
Pond7Fish3_PondTime,21.299
Pond7Fish3_PondOutcome,20
Pond7Fish3_TotalOutcome,100
Pond7Fish3_TimeLeft,1050.359
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.567
Pond7Fish4_PondTime,28.301
Pond7Fish4_PondOutcome,30
Pond7Fish4_TotalOutcome,110
Pond7Fish4_TimeLeft,1043.357
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.636
Pond7Fish5_PondTime,35.677
Pond7Fish5_PondOutcome,40
Pond7Fish5_TotalOutcome,120
Pond7Fish5_TimeLeft,1035.981
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.707
Pond7Fish6_PondTime,43.518
Pond7Fish6_PondOutcome,50
Pond7Fish6_TotalOutcome,130
Pond7Fish6_TimeLeft,1028.139
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,1.378
Pond7Fish7_PondTime,51.931
Pond7Fish7_PondOutcome,60
Pond7Fish7_TotalOutcome,140
Pond7Fish7_TimeLeft,1019.727
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.464
Pond7Fish8_PondTime,60.969
Pond7Fish8_PondOutcome,70
Pond7Fish8_TotalOutcome,150
Pond7Fish8_TimeLeft,1010.689
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.705
Pond7Fish9_PondTime,70.853
Pond7Fish9_PondOutcome,80
Pond7Fish9_TotalOutcome,160
Pond7Fish9_TimeLeft,1000.804
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.512
Pond7Fish10_PondTime,81.787
Pond7Fish10_PondOutcome,90
Pond7Fish10_TotalOutcome,170
Pond7Fish10_TimeLeft,989.871
Type,RT
FishN,16
Fish,11
Pond7Fish11_FishType,golden
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.327
Pond7Fish11_PondTime,94.181
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,190
Pond7Fish11_TimeLeft,977.477
PondEnd_LastFish,11
FishN,17
Type,RT
GiveUpTime,2.676
PondTime,96.392
TimeLeft,974.758
PondOutcome,110
TotalOutcome,190
PondStart,PondStart
PondIntroTime,18.710162630304694
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,-1
Pond12Fish1_PondTime,9.348
Pond12Fish1_PondOutcome,0
Pond12Fish1_TotalOutcome,190
Pond12Fish1_TimeLeft,946.074
