,5be72cf025507300010d8872
Pond10Fish10_PondTime,87.736
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,310
Pond10Fish10_TimeLeft,887.29
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,10
Pond10Fish11_CatchTime,0.827
Pond10Fish11_PondTime,102.106
Pond10Fish11_PondOutcome,120
Pond10Fish11_TotalOutcome,320
Pond10Fish11_TimeLeft,872.92
PondEnd_LastFish,11
FishN,16
Type,RT
GiveUpTime,5.326
PondTime,106.46
TimeLeft,868.058
PondOutcome,120
TotalOutcome,320
PondStart,PondStart
PondIntroTime,17.779418248683214
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,1.406
Pond9Fish1_PondTime,8.892
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,330
Pond9Fish1_TimeLeft,840.768
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.061
Pond9Fish2_PondTime,16.254
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,340
Pond9Fish2_TimeLeft,833.405
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,1.042
Pond9Fish3_PondTime,24.084
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,350
Pond9Fish3_TimeLeft,825.576
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,-1
Pond9Fish4_PondTime,32.508
Pond9Fish4_PondOutcome,30
Pond9Fish4_TotalOutcome,350
Pond9Fish4_TimeLeft,817.152
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,0.835
Pond9Fish5_PondTime,41.6
Pond9Fish5_PondOutcome,40
Pond9Fish5_TotalOutcome,360
