,5aa787c66219a30001c765f8
Pond4Fish9_PondOutcome,110
Pond4Fish9_TotalOutcome,920
Pond4Fish9_TimeLeft,180.144
PondEnd_LastFish,9
FishN,15
Type,RT
GiveUpTime,11.702
PondTime,92.168
TimeLeft,168.723
PondOutcome,110
TotalOutcome,920
PondStart,PondStart
PondIntroTime,13.199158487841487
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,0.818
Pond1Fish1_PondTime,8.278
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,930
Pond1Fish1_TimeLeft,146.623
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,0.88
Pond1Fish2_PondTime,14.922
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,940
Pond1Fish2_TimeLeft,139.979
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,1.224
Pond1Fish3_PondTime,21.903
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,950
Pond1Fish3_TimeLeft,132.998
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,0.676
Pond1Fish4_PondTime,29.26
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,960
Pond1Fish4_TimeLeft,125.641
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,1.15
Pond1Fish5_PondTime,37.07
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,970
Pond1Fish5_TimeLeft,117.831
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,golden
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,0.901
Pond1Fish6_PondTime,45.429
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,990
Pond1Fish6_TimeLeft,109.472
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,0.894
Pond1Fish7_PondTime,54.458
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,1000
Pond1Fish7_TimeLeft,100.443
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,0.668
Pond1Fish8_PondTime,64.312
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,1010
Pond1Fish8_TimeLeft,90.589
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,0.835
Pond1Fish9_PondTime,75.237
Pond1Fish9_PondOutcome,100
Pond1Fish9_TotalOutcome,1020
Pond1Fish9_TimeLeft,79.664
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,0.887
Pond1Fish10_PondTime,87.592
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,1030
Pond1Fish10_TimeLeft,67.309
Type,RT
FishN,13
Fish,11
Pond1Fish11_FishType,golden
Pond1Fish11_FishLatency,10
Pond1Fish11_CatchTime,1.044
Pond1Fish11_PondTime,101.946
Pond1Fish11_PondOutcome,130
Pond1Fish11_TotalOutcome,1050
Pond1Fish11_TimeLeft,52.955
PondEnd_LastFish,11
FishN,16
Type,RT
GiveUpTime,12.873
PondTime,114.068
TimeLeft,40.327
PondOutcome,130
TotalOutcome,1050
PondStart,PondStart
PondIntroTime,15.223403014242649
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,0.801
Pond8Fish1_PondTime,7.8
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,1060
Pond8Fish1_TimeLeft,16.669
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.197
Pond8Fish2_PondTime,13.911
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,1070
Pond8Fish2_TimeLeft,10.558
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,golden
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,0.868
Pond8Fish3_PondTime,20.273
Pond8Fish3_PondOutcome,40
Pond8Fish3_TotalOutcome,1090
Pond8Fish3_TimeLeft,4.196
