,5c095473928943000108805c
Pond10Fish9_PondOutcome,90
Pond10Fish9_TotalOutcome,900
Pond10Fish9_TimeLeft,242.442
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,0.944
Pond10Fish10_PondTime,84.579
Pond10Fish10_PondOutcome,100
Pond10Fish10_TotalOutcome,910
Pond10Fish10_TimeLeft,231.48
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,1.087
Pond10Fish11_PondTime,96.991
Pond10Fish11_PondOutcome,110
Pond10Fish11_TotalOutcome,920
Pond10Fish11_TimeLeft,219.068
Type,RT
FishN,16
Fish,12
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,1.139
Pond10Fish12_PondTime,111.365
Pond10Fish12_PondOutcome,120
Pond10Fish12_TotalOutcome,930
Pond10Fish12_TimeLeft,204.694
PondEnd_LastFish,12
FishN,17
Type,RT
GiveUpTime,1.194
PondTime,111.909
TimeLeft,203.642
PondOutcome,120
TotalOutcome,930
PondStart,PondStart
PondIntroTime,17.730817191768438
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,1.131
Pond4Fish1_PondTime,8.567
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,940
Pond4Fish1_TimeLeft,176.728
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,1.505
Pond4Fish2_PondTime,15.592
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,950
Pond4Fish2_TimeLeft,169.703
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,1.241
Pond4Fish3_PondTime,22.992
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,960
Pond4Fish3_TimeLeft,162.303
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,0.746
Pond4Fish4_PondTime,30.844
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,970
Pond4Fish4_TimeLeft,154.451
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,golden
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,1.287
Pond4Fish5_PondTime,39.258
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,990
Pond4Fish5_TimeLeft,146.037
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,0.926
Pond4Fish6_PondTime,48.309
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,1000
Pond4Fish6_TimeLeft,136.985
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,golden
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,1.105
Pond4Fish7_PondTime,58.226
Pond4Fish7_PondOutcome,90
Pond4Fish7_TotalOutcome,1020
Pond4Fish7_TimeLeft,127.069
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,1.035
Pond4Fish8_PondTime,69.165
Pond4Fish8_PondOutcome,100
Pond4Fish8_TotalOutcome,1030
Pond4Fish8_TimeLeft,116.129
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,8.571428571428571
Pond4Fish9_CatchTime,1.004
Pond4Fish9_PondTime,81.542
Pond4Fish9_PondOutcome,110
Pond4Fish9_TotalOutcome,1040
Pond4Fish9_TimeLeft,103.753
Type,RT
FishN,17
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,10
Pond4Fish10_CatchTime,0.848
Pond4Fish10_PondTime,95.943
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,1050
Pond4Fish10_TimeLeft,89.352
Type,RT
FishN,17
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,12
Pond4Fish11_CatchTime,1.183
Pond4Fish11_PondTime,113.332
Pond4Fish11_PondOutcome,130
Pond4Fish11_TotalOutcome,1060
Pond4Fish11_TimeLeft,71.963
Type,RT
FishN,17
Fish,12
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,15
Pond4Fish12_CatchTime,1.315
Pond4Fish12_PondTime,135.715
Pond4Fish12_PondOutcome,140
Pond4Fish12_TotalOutcome,1070
Pond4Fish12_TimeLeft,49.58
PondEnd_LastFish,12
FishN,15
Type,RT
GiveUpTime,0.98
PondTime,136.21
TimeLeft,48.582
PondOutcome,140
TotalOutcome,1070
PondStart,PondStart
PondIntroTime,10.79191401368007
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,0.943
Pond1Fish1_PondTime,8.619
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,1080
Pond1Fish1_TimeLeft,27.212
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,1.186
Pond1Fish2_PondTime,15.477
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,1090
Pond1Fish2_TimeLeft,20.354
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,0.905
Pond1Fish3_PondTime,21.628
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,1100
Pond1Fish3_TimeLeft,14.203
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,0.821
Pond1Fish4_PondTime,28.042
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,1110
Pond1Fish4_TimeLeft,7.789
