,5d89d199b97096000113dbd7
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6.666666666666667
Pond5Fish9_CatchTime,1.088
Pond5Fish9_PondTime,71.198
Pond5Fish9_PondOutcome,110
Pond5Fish9_TotalOutcome,260
Pond5Fish9_TimeLeft,955.39
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,7.5
Pond5Fish10_CatchTime,1.103
Pond5Fish10_PondTime,82.225
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,270
Pond5Fish10_TimeLeft,944.363
PondEnd_LastFish,10
FishN,17
Type,RT
GiveUpTime,1.103
PondTime,82.633
TimeLeft,943.448
PondOutcome,120
TotalOutcome,270
PondStart,PondStart
PondIntroTime,13.60728123690933
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.903
Pond4Fish1_PondTime,7.699
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,280
Pond4Fish1_TimeLeft,921.466
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,golden
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,0.666
Pond4Fish2_PondTime,13.653
Pond4Fish2_PondOutcome,30
Pond4Fish2_TotalOutcome,300
Pond4Fish2_TimeLeft,915.513
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.046
Pond4Fish3_PondTime,19.869
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,310
Pond4Fish3_TimeLeft,909.296
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,0.886
Pond4Fish4_PondTime,26.286
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,320
Pond4Fish4_TimeLeft,902.88
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,0.815
Pond4Fish5_PondTime,32.991
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,330
Pond4Fish5_TimeLeft,896.175
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,0.833
Pond4Fish6_PondTime,40.062
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,340
Pond4Fish6_TimeLeft,889.104
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,1.037
Pond4Fish7_PondTime,47.535
Pond4Fish7_PondOutcome,80
Pond4Fish7_TotalOutcome,350
Pond4Fish7_TimeLeft,881.631
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,0.731
Pond4Fish8_PondTime,55.422
Pond4Fish8_PondOutcome,90
Pond4Fish8_TotalOutcome,360
Pond4Fish8_TimeLeft,873.744
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,1.042
Pond4Fish9_PondTime,63.864
Pond4Fish9_PondOutcome,100
Pond4Fish9_TotalOutcome,370
Pond4Fish9_TimeLeft,865.302
Type,RT
FishN,17
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,1.012
Pond4Fish10_PondTime,72.979
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,380
Pond4Fish10_TimeLeft,856.187
Type,RT
FishN,17
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,0.863
Pond4Fish11_PondTime,82.931
Pond4Fish11_PondOutcome,120
Pond4Fish11_TotalOutcome,390
Pond4Fish11_TimeLeft,846.235
Type,RT
FishN,17
Fish,12
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,0.96
Pond4Fish12_PondTime,93.935
Pond4Fish12_PondOutcome,130
Pond4Fish12_TotalOutcome,400
