,5d17a2f44c7891001601beec
Pond8Fish4_PondTime,26.924
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,910
Pond8Fish4_TimeLeft,182.815
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,0.951
Pond8Fish5_PondTime,33.905
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,920
Pond8Fish5_TimeLeft,175.834
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,0.978
Pond8Fish6_PondTime,41.268
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,930
Pond8Fish6_TimeLeft,168.471
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,golden
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,0.908
Pond8Fish7_PondTime,49.083
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,950
Pond8Fish7_TimeLeft,160.656
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,0.647
Pond8Fish8_PondTime,57.448
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,960
Pond8Fish8_TimeLeft,152.291
Type,RT
FishN,13
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,1.909
Pond8Fish9_PondTime,66.692
Pond8Fish9_PondOutcome,100
Pond8Fish9_TotalOutcome,970
Pond8Fish9_TimeLeft,143.047
Type,RT
FishN,13
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,6.666666666666667
Pond8Fish10_CatchTime,0.85
Pond8Fish10_PondTime,76.559
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,980
Pond8Fish10_TimeLeft,133.18
Type,RT
FishN,13
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,7.5
Pond8Fish11_CatchTime,0.999
Pond8Fish11_PondTime,87.502
Pond8Fish11_PondOutcome,120
Pond8Fish11_TotalOutcome,990
Pond8Fish11_TimeLeft,122.237
PondEnd_LastFish,11
FishN,18
Type,RT
GiveUpTime,1.267
PondTime,87.968
TimeLeft,121.269
PondOutcome,120
TotalOutcome,990
PondStart,PondStart
PondIntroTime,16.0885096876882
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,1.42
Pond5Fish1_PondTime,8.281
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,1000
Pond5Fish1_TimeLeft,96.277
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,0.955
Pond5Fish2_PondTime,14.928
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,1010
Pond5Fish2_TimeLeft,89.63
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,0.892
Pond5Fish3_PondTime,21.909
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,1020
Pond5Fish3_TimeLeft,82.649
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,1.665
Pond5Fish4_PondTime,29.273
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,1030
Pond5Fish4_TimeLeft,75.285
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,golden
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,0.882
Pond5Fish5_PondTime,37.088
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,1050
Pond5Fish5_TimeLeft,67.47
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,1.374
Pond5Fish6_PondTime,45.45
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,1060
Pond5Fish6_TimeLeft,59.107
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,1.464
Pond5Fish7_PondTime,54.482
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,1070
Pond5Fish7_TimeLeft,50.076
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,0.984
Pond5Fish8_PondTime,64.346
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,1080
Pond5Fish8_TimeLeft,40.212
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,1.04
Pond5Fish9_PondTime,75.273
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,1090
Pond5Fish9_TimeLeft,29.285
PondEnd_LastFish,9
FishN,16
Type,RT
GiveUpTime,0.636
PondTime,87.237
TimeLeft,16.819
PondOutcome,100
TotalOutcome,1090
PondStart,PondStart
PondIntroTime,15.09739532135427
