,5d17a2f44c7891001601beec
Pond2Fish3_PondTime,24.125
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,410
Pond2Fish3_TimeLeft,675.315
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,1.171
Pond2Fish4_PondTime,32.489
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,420
Pond2Fish4_TimeLeft,666.951
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,1.238
Pond2Fish5_PondTime,41.518
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,430
Pond2Fish5_TimeLeft,657.922
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,0.717
Pond2Fish6_PondTime,51.382
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,440
Pond2Fish6_TimeLeft,648.058
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,7.5
Pond2Fish7_CatchTime,0.868
Pond2Fish7_PondTime,62.312
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,450
Pond2Fish7_TimeLeft,637.127
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,8.571428571428571
Pond2Fish8_CatchTime,0.818
Pond2Fish8_PondTime,74.674
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,460
Pond2Fish8_TimeLeft,624.766
PondEnd_LastFish,8
FishN,14
Type,RT
GiveUpTime,0.305
PondTime,88.558
TimeLeft,610.38
PondOutcome,80
TotalOutcome,460
PondStart,PondStart
PondIntroTime,17.82604938140139
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,0.997
Pond9Fish1_PondTime,7.798
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,470
Pond9Fish1_TimeLeft,584.129
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,golden
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,1.058
Pond9Fish2_PondTime,13.912
Pond9Fish2_PondOutcome,30
Pond9Fish2_TotalOutcome,490
Pond9Fish2_TimeLeft,578.015
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,-1
Pond9Fish3_PondTime,20.341
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,490
Pond9Fish3_TimeLeft,571.586
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,golden
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,0.756
Pond9Fish4_PondTime,26.991
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,510
Pond9Fish4_TimeLeft,564.936
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,1.568
Pond9Fish5_PondTime,33.972
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,520
Pond9Fish5_TimeLeft,557.955
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,0.876
Pond9Fish6_PondTime,41.336
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,530
Pond9Fish6_TimeLeft,550.591
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,golden
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,0.95
Pond9Fish7_PondTime,49.151
Pond9Fish7_PondOutcome,90
Pond9Fish7_TotalOutcome,550
Pond9Fish7_TimeLeft,542.775
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,5.454545454545454
Pond9Fish8_CatchTime,0.905
Pond9Fish8_PondTime,57.514
Pond9Fish8_PondOutcome,100
Pond9Fish8_TotalOutcome,560
Pond9Fish8_TimeLeft,534.413
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,0.483
Pond9Fish9_PondTime,66.545
Pond9Fish9_PondOutcome,110
Pond9Fish9_TotalOutcome,570
Pond9Fish9_TimeLeft,525.382
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6.666666666666667
Pond9Fish10_CatchTime,1.067
Pond9Fish10_PondTime,76.409
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,580
Pond9Fish10_TimeLeft,515.518
Type,RT
FishN,12
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,7.5
Pond9Fish11_CatchTime,0.912
Pond9Fish11_PondTime,87.338
Pond9Fish11_PondOutcome,130
Pond9Fish11_TotalOutcome,590
Pond9Fish11_TimeLeft,504.589
Type,RT
FishN,12
Fish,12
Pond9Fish12_FishType,golden
Pond9Fish12_FishLatency,8.571428571428571
Pond9Fish12_CatchTime,1.096
Pond9Fish12_PondTime,99.699
Pond9Fish12_PondOutcome,150
Pond9Fish12_TotalOutcome,610
Pond9Fish12_TimeLeft,492.228
Type,RT
FishN,12
Fish,13
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,10
Pond9Fish13_CatchTime,0.917
Pond9Fish13_PondTime,114.061
Pond9Fish13_PondOutcome,160
Pond9Fish13_TotalOutcome,620
Pond9Fish13_TimeLeft,477.866
Type,RT
FishN,12
Fish,14
Pond9Fish14_FishType,golden
Pond9Fish14_FishLatency,12
Pond9Fish14_CatchTime,0.636
Pond9Fish14_PondTime,131.422
Pond9Fish14_PondOutcome,180
Pond9Fish14_TotalOutcome,640
Pond9Fish14_TimeLeft,460.505
PondEnd_LastFish,14
FishN,18
Type,RT
GiveUpTime,1.215
PondTime,131.486
TimeLeft,459.94
PondOutcome,180
TotalOutcome,640
PondStart,PondStart
PondIntroTime,15.2176962653175
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.577
Pond4Fish1_PondTime,9.282
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,650
Pond4Fish1_TimeLeft,434.812
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,0.914
Pond4Fish2_PondTime,17.094
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,660
Pond4Fish2_TimeLeft,427
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,golden
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,1.616
Pond4Fish3_PondTime,25.459
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,680
Pond4Fish3_TimeLeft,418.635
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.049
Pond4Fish4_PondTime,34.489
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,690
Pond4Fish4_TimeLeft,409.605
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,0.938
Pond4Fish5_PondTime,44.352
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,700
Pond4Fish5_TimeLeft,399.742
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,1.479
Pond4Fish6_PondTime,55.283
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,710
Pond4Fish6_TimeLeft,388.811
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,1.046
Pond4Fish7_PondTime,67.644
Pond4Fish7_PondOutcome,80
Pond4Fish7_TotalOutcome,720
Pond4Fish7_TimeLeft,376.45
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,0.971
Pond4Fish8_PondTime,82.005
Pond4Fish8_PondOutcome,90
Pond4Fish8_TotalOutcome,730
Pond4Fish8_TimeLeft,362.089
PondEnd_LastFish,8
FishN,13
Type,RT
GiveUpTime,2.225
PondTime,83.412
TimeLeft,360.18
PondOutcome,90
TotalOutcome,730
PondStart,PondStart
PondIntroTime,10.372979561798275
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.173
Pond11Fish1_PondTime,8.015
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,740
Pond11Fish1_TimeLeft,341.162
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,0.825
Pond11Fish2_PondTime,14.38
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,750
Pond11Fish2_TimeLeft,334.798
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.802
Pond11Fish3_PondTime,21.029
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,760
Pond11Fish3_TimeLeft,328.149
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,1.068
Pond11Fish4_PondTime,28.009
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,770
Pond11Fish4_TimeLeft,321.169
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,0.761
Pond11Fish5_PondTime,35.374
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,780
Pond11Fish5_TimeLeft,313.804
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,1.236
Pond11Fish6_PondTime,43.186
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,790
