,5c66cc2942faef00012849c7
Pond10Fish3_PondTime,21.019
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,360
Pond10Fish3_TimeLeft,823.98
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,-1
Pond10Fish4_PondTime,28.059
Pond10Fish4_PondOutcome,30
Pond10Fish4_TotalOutcome,360
Pond10Fish4_TimeLeft,816.94
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,0.899
Pond10Fish5_PondTime,35.424
Pond10Fish5_PondOutcome,40
Pond10Fish5_TotalOutcome,370
Pond10Fish5_TimeLeft,809.575
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,0.923
Pond10Fish6_PondTime,43.239
Pond10Fish6_PondOutcome,50
Pond10Fish6_TotalOutcome,380
Pond10Fish6_TimeLeft,801.76
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,0.798
Pond10Fish7_PondTime,51.603
Pond10Fish7_PondOutcome,60
Pond10Fish7_TotalOutcome,390
Pond10Fish7_TimeLeft,793.396
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,golden
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,1.1
Pond10Fish8_PondTime,60.639
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,410
Pond10Fish8_TimeLeft,784.36
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,1.105
Pond10Fish9_PondTime,70.499
Pond10Fish9_PondOutcome,90
Pond10Fish9_TotalOutcome,420
Pond10Fish9_TimeLeft,774.5
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,-1
Pond10Fish10_PondTime,81.493
Pond10Fish10_PondOutcome,90
Pond10Fish10_TotalOutcome,420
Pond10Fish10_TimeLeft,763.506
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,0.866
Pond10Fish11_PondTime,93.857
Pond10Fish11_PondOutcome,100
Pond10Fish11_TotalOutcome,430
Pond10Fish11_TimeLeft,751.142
PondEnd_LastFish,11
FishN,17
Type,RT
GiveUpTime,11.241
PondTime,104.163
TimeLeft,740.333
PondOutcome,100
TotalOutcome,430
PondStart,PondStart
PondIntroTime,17.685853601433337
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,1.1
Pond4Fish1_PondTime,8.282
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,440
Pond4Fish1_TimeLeft,713.751
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,0.9
Pond4Fish2_PondTime,14.935
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,450
Pond4Fish2_TimeLeft,707.098
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,0.846
Pond4Fish3_PondTime,21.917
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,460
Pond4Fish3_TimeLeft,700.115
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,1.91
Pond4Fish4_PondTime,29.509
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,470
Pond4Fish4_TimeLeft,692.524
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,1.189
Pond4Fish5_PondTime,37.326
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,480
Pond4Fish5_TimeLeft,684.707
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,golden
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,1.187
Pond4Fish6_PondTime,45.688
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,500
Pond4Fish6_TimeLeft,676.345
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,0.916
Pond4Fish7_PondTime,54.719
Pond4Fish7_PondOutcome,80
Pond4Fish7_TotalOutcome,510
Pond4Fish7_TimeLeft,667.314
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,0.824
Pond4Fish8_PondTime,64.581
Pond4Fish8_PondOutcome,90
Pond4Fish8_TotalOutcome,520
Pond4Fish8_TimeLeft,657.452
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,0.84
Pond4Fish9_PondTime,75.515
Pond4Fish9_PondOutcome,100
Pond4Fish9_TotalOutcome,530
Pond4Fish9_TimeLeft,646.518
Type,RT
FishN,17
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,8.571428571428571
Pond4Fish10_CatchTime,0.933
Pond4Fish10_PondTime,87.877
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,540
Pond4Fish10_TimeLeft,634.156
Type,RT
FishN,17
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,10
Pond4Fish11_CatchTime,0.906
Pond4Fish11_PondTime,102.241
Pond4Fish11_PondOutcome,120
Pond4Fish11_TotalOutcome,550
Pond4Fish11_TimeLeft,619.792
Type,RT
FishN,17
Fish,12
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,12
Pond4Fish12_CatchTime,1.246
Pond4Fish12_PondTime,119.596
Pond4Fish12_PondOutcome,130
Pond4Fish12_TotalOutcome,560
Pond4Fish12_TimeLeft,602.437
Type,RT
FishN,17
Fish,13
Pond4Fish13_FishType,purple
Pond4Fish13_FishLatency,15
Pond4Fish13_CatchTime,1.942
Pond4Fish13_PondTime,142.212
Pond4Fish13_PondOutcome,140
Pond4Fish13_TotalOutcome,570
Pond4Fish13_TimeLeft,579.821
PondEnd_LastFish,13
FishN,16
Type,RT
GiveUpTime,27.165
PondTime,169.276
TimeLeft,552.254
PondOutcome,140
TotalOutcome,570
PondStart,PondStart
PondIntroTime,11.783151044510305
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,0.771
Pond5Fish1_PondTime,7.614
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,580
Pond5Fish1_TimeLeft,532.235
Type,RT
