,597cb71cd4e83700016c35b2
Pond4Fish1_TimeLeft,892.07
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,0.839
Pond4Fish2_PondTime,16.267
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,310
Pond4Fish2_TimeLeft,884.705
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,0.855
Pond4Fish3_PondTime,24.085
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,320
Pond4Fish3_TimeLeft,876.887
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,0.915
Pond4Fish4_PondTime,32.454
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,330
Pond4Fish4_TimeLeft,868.518
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.22
Pond4Fish5_PondTime,41.486
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,340
Pond4Fish5_TimeLeft,859.486
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,1.441
Pond4Fish6_PondTime,51.354
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,350
Pond4Fish6_TimeLeft,849.618
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.173
Pond4Fish7_PondTime,62.288
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,360
Pond4Fish7_TimeLeft,838.684
PondEnd_LastFish,7
FishN,14
Type,RT
GiveUpTime,0.745
PondTime,74.567
TimeLeft,825.901
PondOutcome,70
TotalOutcome,360
PondStart,PondStart
PondIntroTime,17.352108070626855
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,1.139
Pond12Fish1_PondTime,8.032
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,370
Pond12Fish1_TimeLeft,799.897
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,1.572
Pond12Fish2_PondTime,14.401
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,380
Pond12Fish2_TimeLeft,793.527
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,1.129
Pond12Fish3_PondTime,21.051
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,390
Pond12Fish3_TimeLeft,786.878
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,1.264
Pond12Fish4_PondTime,28.034
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,400
Pond12Fish4_TimeLeft,779.895
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,0.846
Pond12Fish5_PondTime,35.403
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,410
Pond12Fish5_TimeLeft,772.526
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,0.952
Pond12Fish6_PondTime,43.219
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,420
Pond12Fish6_TimeLeft,764.71
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,1.019
Pond12Fish7_PondTime,51.589
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,430
Pond12Fish7_TimeLeft,756.34
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,1.236
Pond12Fish8_PondTime,60.622
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,440
Pond12Fish8_TimeLeft,747.307
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,6.666666666666667
Pond12Fish9_CatchTime,0.892
Pond12Fish9_PondTime,70.489
Pond12Fish9_PondOutcome,90
Pond12Fish9_TotalOutcome,450
Pond12Fish9_TimeLeft,737.44
Type,RT
FishN,16
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,7.5
Pond12Fish10_CatchTime,1.625
Pond12Fish10_PondTime,81.424
Pond12Fish10_PondOutcome,100
Pond12Fish10_TotalOutcome,460
Pond12Fish10_TimeLeft,726.505
Type,RT
FishN,16
Fish,11
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,8.571428571428571
Pond12Fish11_CatchTime,1.249
Pond12Fish11_PondTime,93.794
Pond12Fish11_PondOutcome,110
Pond12Fish11_TotalOutcome,470
Pond12Fish11_TimeLeft,714.135
Type,RT
FishN,16
Fish,12
Pond12Fish12_FishType,purple
Pond12Fish12_FishLatency,10
Pond12Fish12_CatchTime,0.956
Pond12Fish12_PondTime,108.16
Pond12Fish12_PondOutcome,120
Pond12Fish12_TotalOutcome,480
Pond12Fish12_TimeLeft,699.769
PondEnd_LastFish,12
FishN,17
Type,RT
GiveUpTime,1.026
PondTime,108.351
TimeLeft,699.076
PondOutcome,120
TotalOutcome,480
PondStart,PondStart
PondIntroTime,17.41047519026324
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.1578947368421053
Pond11Fish1_CatchTime,0.98
Pond11Fish1_PondTime,7.617
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,490
Pond11Fish1_TimeLeft,673.432
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.3333333333333335
Pond11Fish2_CatchTime,1.082
Pond11Fish2_PondTime,13.501
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,500
Pond11Fish2_TimeLeft,667.548
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,3.5294117647058822
Pond11Fish3_CatchTime,0.873
Pond11Fish3_PondTime,19.618
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,510
Pond11Fish3_TimeLeft,661.431
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,3.75
Pond11Fish4_CatchTime,1.416
Pond11Fish4_PondTime,25.985
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,520
Pond11Fish4_TimeLeft,655.064
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4
Pond11Fish5_CatchTime,1.153
Pond11Fish5_PondTime,32.636
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,530
Pond11Fish5_TimeLeft,648.413
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,4.285714285714286
Pond11Fish6_CatchTime,1.242
Pond11Fish6_PondTime,39.62
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,540
Pond11Fish6_TimeLeft,641.429
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,4.615384615384615
Pond11Fish7_CatchTime,1.258
Pond11Fish7_PondTime,46.987
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,550
Pond11Fish7_TimeLeft,634.062
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,5
Pond11Fish8_CatchTime,1.025
Pond11Fish8_PondTime,54.805
Pond11Fish8_PondOutcome,80
Pond11Fish8_TotalOutcome,560
Pond11Fish8_TimeLeft,626.244
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,5.454545454545454
Pond11Fish9_CatchTime,1.085
Pond11Fish9_PondTime,63.171
Pond11Fish9_PondOutcome,90
Pond11Fish9_TotalOutcome,570
Pond11Fish9_TimeLeft,617.878
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,6
Pond11Fish10_CatchTime,1.081
Pond11Fish10_PondTime,72.206
Pond11Fish10_PondOutcome,100
Pond11Fish10_TotalOutcome,580
Pond11Fish10_TimeLeft,608.843
Type,RT
FishN,15
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,6.666666666666667
Pond11Fish11_CatchTime,0.867
Pond11Fish11_PondTime,82.074
Pond11Fish11_PondOutcome,110
Pond11Fish11_TotalOutcome,590
Pond11Fish11_TimeLeft,598.975
Type,RT
FishN,15
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,7.5
Pond11Fish12_CatchTime,1.142
Pond11Fish12_PondTime,93.007
Pond11Fish12_PondOutcome,120
Pond11Fish12_TotalOutcome,600
Pond11Fish12_TimeLeft,588.042
Type,RT
FishN,15
Fish,13
Pond11Fish13_FishType,purple
Pond11Fish13_FishLatency,8.571428571428571
Pond11Fish13_CatchTime,0.919
Pond11Fish13_PondTime,105.375
Pond11Fish13_PondOutcome,130
Pond11Fish13_TotalOutcome,610
Pond11Fish13_TimeLeft,575.673
PondEnd_LastFish,13
FishN,19
Type,RT
GiveUpTime,0.962
PondTime,105.469
TimeLeft,575.077
PondOutcome,130
TotalOutcome,610
PondStart,PondStart
PondIntroTime,10.914890756830573
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,1.047
Pond8Fish1_PondTime,9.734
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,620
Pond8Fish1_TimeLeft,553.82
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,1.243
Pond8Fish2_PondTime,18.101
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,630
Pond8Fish2_TimeLeft,545.453
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,golden
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,1.201
Pond8Fish3_PondTime,27.135
Pond8Fish3_PondOutcome,40
Pond8Fish3_TotalOutcome,650
Pond8Fish3_TimeLeft,536.419
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,1.348
Pond8Fish4_PondTime,37.002
Pond8Fish4_PondOutcome,50
Pond8Fish4_TotalOutcome,660
Pond8Fish4_TimeLeft,526.552
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,0.882
Pond8Fish5_PondTime,47.937
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,670
Pond8Fish5_TimeLeft,515.616
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,0.99
Pond8Fish6_PondTime,60.305
Pond8Fish6_PondOutcome,70
Pond8Fish6_TotalOutcome,680
Pond8Fish6_TimeLeft,503.249
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,1.053
Pond8Fish7_PondTime,74.673
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,690
Pond8Fish7_TimeLeft,488.881
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
