,5e14318a2fc478a3fba28d4c
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,0.638
Pond2Fish1_PondTime,9.735
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,250
Pond2Fish1_TimeLeft,956.227
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,golden
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,0.648
Pond2Fish2_PondTime,18.102
Pond2Fish2_PondOutcome,30
Pond2Fish2_TotalOutcome,270
Pond2Fish2_TimeLeft,947.86
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,1.43
Pond2Fish3_PondTime,27.136
Pond2Fish3_PondOutcome,40
Pond2Fish3_TotalOutcome,280
Pond2Fish3_TimeLeft,938.826
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,0.828
Pond2Fish4_PondTime,37.002
Pond2Fish4_PondOutcome,50
Pond2Fish4_TotalOutcome,290
Pond2Fish4_TimeLeft,928.96
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,0.662
Pond2Fish5_PondTime,47.935
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,300
Pond2Fish5_TimeLeft,918.027
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,0.688
Pond2Fish6_PondTime,60.301
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,310
Pond2Fish6_TimeLeft,905.661
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,0.842
Pond2Fish7_PondTime,74.666
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,320
Pond2Fish7_TimeLeft,891.296
PondEnd_LastFish,7
FishN,12
Type,RT
GiveUpTime,2.348
PondTime,76.062
TimeLeft,889.397
PondOutcome,80
TotalOutcome,320
PondStart,PondStart
PondIntroTime,18.029703546781093
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,0.85
Pond12Fish1_PondTime,8.885
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,330
Pond12Fish1_TimeLeft,861.863
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,0.731
Pond12Fish2_PondTime,16.252
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,340
Pond12Fish2_TimeLeft,854.496
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,0.795
Pond12Fish3_PondTime,24.068
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,350
Pond12Fish3_TimeLeft,846.68
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,0.74
Pond12Fish4_PondTime,32.435
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,360
Pond12Fish4_TimeLeft,838.313
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,0.612
Pond12Fish5_PondTime,41.468
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,370
Pond12Fish5_TimeLeft,829.28
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,0.753
Pond12Fish6_PondTime,51.333
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,380
Pond12Fish6_TimeLeft,819.415
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,golden
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,0.684
Pond12Fish7_PondTime,62.268
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,400
Pond12Fish7_TimeLeft,808.48
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,0.726
Pond12Fish8_PondTime,74.634
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,410
Pond12Fish8_TimeLeft,796.114
PondEnd_LastFish,8
FishN,14
Type,RT
GiveUpTime,2.084
PondTime,75.648
TimeLeft,794.599
PondOutcome,90
TotalOutcome,410
PondStart,PondStart
PondIntroTime,11.375180152244866
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,golden
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,0.585
Pond7Fish1_PondTime,8.018
Pond7Fish1_PondOutcome,20
Pond7Fish1_TotalOutcome,430
Pond7Fish1_TimeLeft,774.582
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,golden
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.113
Pond7Fish2_PondTime,16.583
Pond7Fish2_PondOutcome,40
Pond7Fish2_TotalOutcome,450
Pond7Fish2_TimeLeft,766.017
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,0.751
Pond7Fish3_PondTime,23.251
Pond7Fish3_PondOutcome,50
Pond7Fish3_TotalOutcome,460
Pond7Fish3_TimeLeft,759.349
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,0.881
Pond7Fish4_PondTime,30.233
Pond7Fish4_PondOutcome,60
Pond7Fish4_TotalOutcome,470
Pond7Fish4_TimeLeft,752.367
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,0.809
Pond7Fish5_PondTime,37.602
Pond7Fish5_PondOutcome,70
Pond7Fish5_TotalOutcome,480
Pond7Fish5_TimeLeft,744.998
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,0.769
Pond7Fish6_PondTime,45.417
Pond7Fish6_PondOutcome,80
Pond7Fish6_TotalOutcome,490
Pond7Fish6_TimeLeft,737.183
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.723
Pond7Fish7_PondTime,53.782
Pond7Fish7_PondOutcome,90
Pond7Fish7_TotalOutcome,500
Pond7Fish7_TimeLeft,728.818
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,0.898
Pond7Fish8_PondTime,62.816
Pond7Fish8_PondOutcome,100
Pond7Fish8_TotalOutcome,510
Pond7Fish8_TimeLeft,719.784
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,0.856
Pond7Fish9_PondTime,72.682
Pond7Fish9_PondOutcome,110
Pond7Fish9_TotalOutcome,520
Pond7Fish9_TimeLeft,709.918
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.107
Pond7Fish10_PondTime,83.616
Pond7Fish10_PondOutcome,120
Pond7Fish10_TotalOutcome,530
Pond7Fish10_TimeLeft,698.984
Type,RT
FishN,16
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,0.869
Pond7Fish11_PondTime,95.981
Pond7Fish11_PondOutcome,130
Pond7Fish11_TotalOutcome,540
Pond7Fish11_TimeLeft,686.619
PondEnd_LastFish,11
FishN,17
Type,RT
GiveUpTime,0.409
PondTime,109.754
TimeLeft,672.343
PondOutcome,130
TotalOutcome,540
PondStart,PondStart
PondIntroTime,12.730799841228873
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,0.758
Pond11Fish1_PondTime,8.552
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,550
Pond11Fish1_TimeLeft,650.453
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,0.839
Pond11Fish2_PondTime,15.535
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,560
Pond11Fish2_TimeLeft,643.47
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,0.864
Pond11Fish3_PondTime,22.907
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,570
Pond11Fish3_TimeLeft,636.098
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,5
Pond11Fish4_CatchTime,-1
Pond11Fish4_PondTime,30.799
Pond11Fish4_PondOutcome,30
Pond11Fish4_TotalOutcome,570
Pond11Fish4_TimeLeft,628.206
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5.454545454545454
Pond11Fish5_CatchTime,0.775
Pond11Fish5_PondTime,39.167
Pond11Fish5_PondOutcome,40
Pond11Fish5_TotalOutcome,580
Pond11Fish5_TimeLeft,619.838
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,6
Pond11Fish6_CatchTime,0.965
Pond11Fish6_PondTime,48.202
Pond11Fish6_PondOutcome,50
Pond11Fish6_TotalOutcome,590
Pond11Fish6_TimeLeft,610.803
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6.666666666666667
Pond11Fish7_CatchTime,0.77
Pond11Fish7_PondTime,58.068
Pond11Fish7_PondOutcome,60
Pond11Fish7_TotalOutcome,600
Pond11Fish7_TimeLeft,600.937
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,7.5
Pond11Fish8_CatchTime,0.542
Pond11Fish8_PondTime,69
Pond11Fish8_PondOutcome,70
Pond11Fish8_TotalOutcome,610
Pond11Fish8_TimeLeft,590.005
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,8.571428571428571
Pond11Fish9_CatchTime,1.008
Pond11Fish9_PondTime,81.366
Pond11Fish9_PondOutcome,80
Pond11Fish9_TotalOutcome,620
Pond11Fish9_TimeLeft,577.638
PondEnd_LastFish,9
FishN,15
Type,RT
GiveUpTime,0.385
PondTime,95.599
TimeLeft,562.903
PondOutcome,80
TotalOutcome,620
PondStart,PondStart
PondIntroTime,13.612368465401232
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,golden
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,0.984
Pond5Fish1_PondTime,7.8
Pond5Fish1_PondOutcome,20
Pond5Fish1_TotalOutcome,640
Pond5Fish1_TimeLeft,540.408
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,golden
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,0.715
Pond5Fish2_PondTime,13.918
Pond5Fish2_PondOutcome,40
Pond5Fish2_TotalOutcome,660
Pond5Fish2_TimeLeft,534.29
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,0.971
Pond5Fish3_PondTime,20.679
Pond5Fish3_PondOutcome,50
Pond5Fish3_TotalOutcome,670
Pond5Fish3_TimeLeft,527.529
Type,RT
FishN,18
Fish,4
