,5b97683595c5ba00010ac439
Pond10Fish13_PondTime,114.513
Pond10Fish13_PondOutcome,120
Pond10Fish13_TotalOutcome,270
Pond10Fish13_TimeLeft,907.512
PondEnd_LastFish,13
FishN,18
Type,RT
GiveUpTime,15.398
PondTime,129.12
TimeLeft,892.399
PondOutcome,120
TotalOutcome,270
PondStart,PondStart
PondIntroTime,11.648675736505538
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.955
Pond6Fish1_PondTime,7.835
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,280
Pond6Fish1_TimeLeft,872.274
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.814
Pond6Fish2_PondTime,13.96
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,290
Pond6Fish2_TimeLeft,866.149
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.822
Pond6Fish3_PondTime,20.352
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,300
Pond6Fish3_TimeLeft,859.757
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,1.602
Pond6Fish4_PondTime,27.026
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,310
Pond6Fish4_TimeLeft,853.083
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.74
Pond6Fish5_PondTime,34.042
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,320
Pond6Fish5_TimeLeft,846.067
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.962
Pond6Fish6_PondTime,41.462
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,330
Pond6Fish6_TimeLeft,838.647
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,1.016
Pond6Fish7_PondTime,49.353
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,340
Pond6Fish7_TimeLeft,830.755
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,1.578
Pond6Fish8_PondTime,57.761
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,350
Pond6Fish8_TimeLeft,822.348
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,1.057
Pond6Fish9_PondTime,66.862
Pond6Fish9_PondOutcome,90
Pond6Fish9_TotalOutcome,360
Pond6Fish9_TimeLeft,813.247
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,1.124
Pond6Fish10_PondTime,76.763
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,370
Pond6Fish10_TimeLeft,803.346
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,golden
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,0.955
Pond6Fish11_PondTime,87.696
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,390
Pond6Fish11_TimeLeft,792.413
Type,RT
FishN,17
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,1.063
Pond6Fish12_PondTime,100.061
Pond6Fish12_PondOutcome,130
Pond6Fish12_TotalOutcome,400
Pond6Fish12_TimeLeft,780.048
Type,RT
FishN,17
Fish,13
Pond6Fish13_FishType,purple
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,1.016
Pond6Fish13_PondTime,114.448
