,5d877c37c3e7ca001816fb8f
Pond10Fish7_PondTime,74.913
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,900
Pond10Fish7_TimeLeft,180.816
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,1.118
Pond10Fish8_PondTime,92.305
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,910
Pond10Fish8_TimeLeft,163.424
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,1.699
PondTime,93.334
TimeLeft,161.891
PondOutcome,80
TotalOutcome,910
PondStart,PondStart
PondIntroTime,19.452524909283966
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.012
Pond4Fish1_PondTime,8.925
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,920
Pond4Fish1_TimeLeft,132.881
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,0.962
Pond4Fish2_PondTime,16.327
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,930
Pond4Fish2_TimeLeft,125.48
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,0.892
Pond4Fish3_PondTime,24.196
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,940
Pond4Fish3_TimeLeft,117.611
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,0.87
Pond4Fish4_PondTime,32.594
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,950
Pond4Fish4_TimeLeft,109.212
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,0.848
Pond4Fish5_PondTime,41.66
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,960
Pond4Fish5_TimeLeft,100.147
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,0.854
Pond4Fish6_PondTime,51.564
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,970
Pond4Fish6_TimeLeft,90.243
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,0.893
Pond4Fish7_PondTime,62.545
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,980
Pond4Fish7_TimeLeft,79.262
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,1.207
Pond4Fish8_PondTime,74.961
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,990
Pond4Fish8_TimeLeft,66.846
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,1.498
Pond4Fish9_PondTime,89.361
Pond4Fish9_PondOutcome,90
Pond4Fish9_TotalOutcome,1000
Pond4Fish9_TimeLeft,52.446
Type,RT
FishN,17
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,12
Pond4Fish10_CatchTime,1.889
Pond4Fish10_PondTime,106.952
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,1010
Pond4Fish10_TimeLeft,34.855
PondEnd_LastFish,10
FishN,14
Type,RT
GiveUpTime,0.837
PondTime,107.687
TimeLeft,33.614
PondOutcome,100
TotalOutcome,1010
PondStart,PondStart
PondIntroTime,18.95041801733896
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,0.891
Pond3Fish1_PondTime,7.676
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,1020
Pond3Fish1_TimeLeft,6.36
