,5d4cb2b5438eea001b5ddeaf
PondIntroTime,13.516797239426523
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.163
Pond10Fish1_PondTime,9.741
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,790
Pond10Fish1_TimeLeft,60.344
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,golden
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.069
Pond10Fish2_PondTime,18.12
Pond10Fish2_PondOutcome,30
Pond10Fish2_TotalOutcome,810
Pond10Fish2_TimeLeft,51.965
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.353
Pond10Fish3_PondTime,27.155
Pond10Fish3_PondOutcome,40
Pond10Fish3_TotalOutcome,820
Pond10Fish3_TimeLeft,42.93
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.104
Pond10Fish4_PondTime,37.027
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,830
Pond10Fish4_TimeLeft,33.057
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.993
Pond10Fish5_PondTime,47.966
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,840
Pond10Fish5_TimeLeft,22.119
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,golden
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,0.71
Pond10Fish6_PondTime,60.324
Pond10Fish6_PondOutcome,80
Pond10Fish6_TotalOutcome,860
Pond10Fish6_TimeLeft,9.761
