,5bbeb9e16322c500015ae44c
Pond3Fish5_PondTime,44.346
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,850
Pond3Fish5_TimeLeft,260.283
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,1.063
Pond3Fish6_PondTime,55.273
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,860
Pond3Fish6_TimeLeft,249.356
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,1.09
Pond3Fish7_PondTime,67.635
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,870
Pond3Fish7_TimeLeft,236.994
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,10
Pond3Fish8_CatchTime,0.883
Pond3Fish8_PondTime,81.997
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,880
Pond3Fish8_TimeLeft,222.632
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,12
Pond3Fish9_CatchTime,1.014
Pond3Fish9_PondTime,99.387
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,890
Pond3Fish9_TimeLeft,205.242
PondEnd_LastFish,9
FishN,13
Type,RT
GiveUpTime,0.826
PondTime,121.598
TimeLeft,182.527
PondOutcome,90
TotalOutcome,890
PondStart,PondStart
PondIntroTime,17.485710540786386
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.464
Pond2Fish1_PondTime,7.618
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,900
Pond2Fish1_TimeLeft,156.812
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.206
Pond2Fish2_PondTime,13.509
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,910
Pond2Fish2_TimeLeft,150.921
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,golden
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,0.788
Pond2Fish3_PondTime,19.626
Pond2Fish3_PondOutcome,40
Pond2Fish3_TotalOutcome,930
Pond2Fish3_TimeLeft,144.804
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.025
Pond2Fish4_PondTime,25.988
Pond2Fish4_PondOutcome,50
Pond2Fish4_TotalOutcome,940
Pond2Fish4_TimeLeft,138.442
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1
Pond2Fish5_PondTime,32.634
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,950
Pond2Fish5_TimeLeft,131.796
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,0.976
Pond2Fish6_PondTime,39.614
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,960
Pond2Fish6_TimeLeft,124.815
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,0.829
Pond2Fish7_PondTime,46.979
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,970
Pond2Fish7_TimeLeft,117.451
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.224
Pond2Fish8_PondTime,54.79
Pond2Fish8_PondOutcome,90
Pond2Fish8_TotalOutcome,980
Pond2Fish8_TimeLeft,109.64
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,golden
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,0.869
Pond2Fish9_PondTime,63.153
Pond2Fish9_PondOutcome,110
Pond2Fish9_TotalOutcome,1000
Pond2Fish9_TimeLeft,101.277
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,0.679
Pond2Fish10_PondTime,72.184
Pond2Fish10_PondOutcome,120
Pond2Fish10_TotalOutcome,1010
Pond2Fish10_TimeLeft,92.246
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,0.859
Pond2Fish11_PondTime,82.044
Pond2Fish11_PondOutcome,130
Pond2Fish11_TotalOutcome,1020
Pond2Fish11_TimeLeft,82.386
Type,RT
FishN,12
Fish,12
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,1.416
Pond2Fish12_PondTime,92.979
Pond2Fish12_PondOutcome,140
Pond2Fish12_TotalOutcome,1030
Pond2Fish12_TimeLeft,71.451
Type,RT
FishN,12
Fish,13
Pond2Fish13_FishType,purple
Pond2Fish13_FishLatency,8.571428571428571
Pond2Fish13_CatchTime,1.084
Pond2Fish13_PondTime,105.348
Pond2Fish13_PondOutcome,150
Pond2Fish13_TotalOutcome,1040
Pond2Fish13_TimeLeft,59.082
Type,RT
FishN,12
Fish,14
Pond2Fish14_FishType,purple
Pond2Fish14_FishLatency,10
Pond2Fish14_CatchTime,0.878
Pond2Fish14_PondTime,119.708
Pond2Fish14_PondOutcome,160
Pond2Fish14_TotalOutcome,1050
Pond2Fish14_TimeLeft,44.722
Type,RT
FishN,12
Fish,15
Pond2Fish15_FishType,purple
Pond2Fish15_FishLatency,12
Pond2Fish15_CatchTime,0.995
Pond2Fish15_PondTime,137.065
Pond2Fish15_PondOutcome,170
Pond2Fish15_TotalOutcome,1060
Pond2Fish15_TimeLeft,27.365
PondEnd_LastFish,15
FishN,19
Type,RT
GiveUpTime,0.875
PondTime,137.138
TimeLeft,26.786
PondOutcome,170
TotalOutcome,1060
PondStart,PondStart
PondIntroTime,12.348823512438685
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.178
Pond6Fish1_PondTime,8.564
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,1070
Pond6Fish1_TimeLeft,5.257
