,5bbeb9e16322c500015ae44c
Pond9Fish6_CatchTime,0.967
Pond9Fish6_PondTime,55.29
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,580
Pond9Fish6_TimeLeft,594.503
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,0.919
Pond9Fish7_PondTime,67.65
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,590
Pond9Fish7_TimeLeft,582.142
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,10
Pond9Fish8_CatchTime,0.952
Pond9Fish8_PondTime,82.011
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,600
Pond9Fish8_TimeLeft,567.782
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,12
Pond9Fish9_CatchTime,1.194
Pond9Fish9_PondTime,99.369
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,610
Pond9Fish9_TimeLeft,550.424
PondEnd_LastFish,9
FishN,13
Type,RT
GiveUpTime,3.075
PondTime,101.859
TimeLeft,547.429
PondOutcome,100
TotalOutcome,610
PondStart,PondStart
PondIntroTime,13.973025309387594
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.423
Pond8Fish1_PondTime,8.563
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,620
Pond8Fish1_TimeLeft,524.271
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,1.24
Pond8Fish2_PondTime,15.542
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,630
Pond8Fish2_TimeLeft,517.291
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,0.929
Pond8Fish3_PondTime,22.906
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,640
Pond8Fish3_TimeLeft,509.927
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,0.959
Pond8Fish4_PondTime,30.721
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,650
Pond8Fish4_TimeLeft,502.113
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,0.951
Pond8Fish5_PondTime,39.081
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,660
Pond8Fish5_TimeLeft,493.753
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,0.929
Pond8Fish6_PondTime,48.11
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,670
Pond8Fish6_TimeLeft,484.724
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,1.063
Pond8Fish7_PondTime,57.974
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,680
Pond8Fish7_TimeLeft,474.86
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,1.168
Pond8Fish8_PondTime,68.916
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,690
Pond8Fish8_TimeLeft,463.918
PondEnd_LastFish,8
FishN,15
Type,RT
GiveUpTime,0.781
PondTime,81.259
TimeLeft,451.068
PondOutcome,80
TotalOutcome,690
PondStart,PondStart
PondIntroTime,15.788899024482816
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,1.141
Pond7Fish1_PondTime,8.563
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,700
Pond7Fish1_TimeLeft,426.102
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,0.897
Pond7Fish2_PondTime,15.543
