,5ba8a1d2c16a9c0001497a21
Pond4Fish12_TimeLeft,967.053
PondEnd_LastFish,12
FishN,17
Type,RT
GiveUpTime,0.592
PondTime,125.319
TimeLeft,949.512
PondOutcome,120
TotalOutcome,230
PondStart,PondStart
PondIntroTime,11.372956985142082
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,0.85
Pond6Fish1_PondTime,9.734
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,240
Pond6Fish1_TimeLeft,927.788
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,golden
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.435
Pond6Fish2_PondTime,18.102
Pond6Fish2_PondOutcome,30
Pond6Fish2_TotalOutcome,260
Pond6Fish2_TimeLeft,919.42
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,golden
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,0.93
Pond6Fish3_PondTime,27.133
Pond6Fish3_PondOutcome,50
Pond6Fish3_TotalOutcome,280
Pond6Fish3_TimeLeft,910.389
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,0.647
Pond6Fish4_PondTime,37.005
Pond6Fish4_PondOutcome,60
Pond6Fish4_TotalOutcome,290
Pond6Fish4_TimeLeft,900.517
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,0.681
Pond6Fish5_PondTime,47.939
Pond6Fish5_PondOutcome,70
Pond6Fish5_TotalOutcome,300
Pond6Fish5_TimeLeft,889.583
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,0.874
Pond6Fish6_PondTime,60.305
Pond6Fish6_PondOutcome,80
Pond6Fish6_TotalOutcome,310
Pond6Fish6_TimeLeft,877.217
PondEnd_LastFish,6
FishN,12
Type,RT
GiveUpTime,0.508
PondTime,74.396
TimeLeft,862.623
PondOutcome,80
TotalOutcome,310
PondStart,PondStart
PondIntroTime,13.415539022535086
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,0.816
Pond8Fish1_PondTime,8.873
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,320
Pond8Fish1_TimeLeft,839.713
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.837
Pond8Fish2_PondTime,16.242
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,330
Pond8Fish2_TimeLeft,832.344
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,0.872
Pond8Fish3_PondTime,24.055
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,340
Pond8Fish3_TimeLeft,824.531
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,golden
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,0.797
Pond8Fish4_PondTime,32.425
Pond8Fish4_PondOutcome,50
Pond8Fish4_TotalOutcome,360
Pond8Fish4_TimeLeft,816.161
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,0.867
Pond8Fish5_PondTime,41.458
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,370
Pond8Fish5_TimeLeft,807.128
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,0.712
Pond8Fish6_PondTime,51.324
Pond8Fish6_PondOutcome,70
Pond8Fish6_TotalOutcome,380
Pond8Fish6_TimeLeft,797.262
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,0.898
Pond8Fish7_PondTime,62.257
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,390
Pond8Fish7_TimeLeft,786.329
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,0.738
Pond8Fish8_PondTime,74.616
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,400
Pond8Fish8_TimeLeft,773.97
PondEnd_LastFish,8
FishN,14
Type,RT
GiveUpTime,0.566
PondTime,88.748
TimeLeft,759.336
PondOutcome,90
TotalOutcome,400
PondStart,PondStart
PondIntroTime,15.636979844421148
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,golden
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,0.835
Pond2Fish1_PondTime,8.268
Pond2Fish1_PondOutcome,20
Pond2Fish1_TotalOutcome,420
Pond2Fish1_TimeLeft,734.804
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.057
Pond2Fish2_PondTime,14.917
Pond2Fish2_PondOutcome,30
Pond2Fish2_TotalOutcome,430
Pond2Fish2_TimeLeft,728.155
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,golden
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,0.715
Pond2Fish3_PondTime,21.892
Pond2Fish3_PondOutcome,50
Pond2Fish3_TotalOutcome,450
Pond2Fish3_TimeLeft,721.18
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,0.803
Pond2Fish4_PondTime,29.259
Pond2Fish4_PondOutcome,60
Pond2Fish4_TotalOutcome,460
Pond2Fish4_TimeLeft,713.813
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,0.577
Pond2Fish5_PondTime,37.076
Pond2Fish5_PondOutcome,70
Pond2Fish5_TotalOutcome,470
Pond2Fish5_TimeLeft,705.996
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,0.946
Pond2Fish6_PondTime,45.441
Pond2Fish6_PondOutcome,80
Pond2Fish6_TotalOutcome,480
Pond2Fish6_TimeLeft,697.63
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,0.673
Pond2Fish7_PondTime,54.475
Pond2Fish7_PondOutcome,90
Pond2Fish7_TotalOutcome,490
Pond2Fish7_TimeLeft,688.597
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,0.876
Pond2Fish8_PondTime,64.343
Pond2Fish8_PondOutcome,100
Pond2Fish8_TotalOutcome,500
Pond2Fish8_TimeLeft,678.729
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,0.584
Pond2Fish9_PondTime,75.273
Pond2Fish9_PondOutcome,110
Pond2Fish9_TotalOutcome,510
Pond2Fish9_TimeLeft,667.799
PondEnd_LastFish,9
FishN,16
Type,RT
GiveUpTime,0.768
PondTime,87.316
TimeLeft,655.255
PondOutcome,110
TotalOutcome,510
PondStart,PondStart
PondIntroTime,11.939504623878747
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,golden
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,0.852
Pond12Fish1_PondTime,9.733
Pond12Fish1_PondOutcome,20
Pond12Fish1_TotalOutcome,530
Pond12Fish1_TimeLeft,632.957
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,0.757
Pond12Fish2_PondTime,18.099
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,540
Pond12Fish2_TimeLeft,624.591
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,1.525
Pond12Fish3_PondTime,27.133
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,550
Pond12Fish3_TimeLeft,615.557
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,0.817
Pond12Fish4_PondTime,36.999
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,560
Pond12Fish4_TimeLeft,605.691
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,0.979
Pond12Fish5_PondTime,47.931
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,570
Pond12Fish5_TimeLeft,594.759
PondEnd_LastFish,5
FishN,12
Type,RT
GiveUpTime,0.519
PondTime,59.814
TimeLeft,582.373
PondOutcome,60
TotalOutcome,570
PondStart,PondStart
PondIntroTime,15.30486497329548
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.101
Pond1Fish1_PondTime,7.817
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,580
Pond1Fish1_TimeLeft,558.628
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.264
Pond1Fish2_PondTime,13.933
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,590
Pond1Fish2_TimeLeft,552.512
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.929
Pond1Fish3_PondTime,20.299
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,600
Pond1Fish3_TimeLeft,546.146
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,0.662
Pond1Fish4_PondTime,26.949
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,610
Pond1Fish4_TimeLeft,539.496
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.886
Pond1Fish5_PondTime,33.936
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,620
Pond1Fish5_TimeLeft,532.509
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.943
Pond1Fish6_PondTime,41.304
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,630
Pond1Fish6_TimeLeft,525.141
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,0.75
Pond1Fish7_PondTime,49.119
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,640
Pond1Fish7_TimeLeft,517.326
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.8
Pond1Fish8_PondTime,57.486
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,650
Pond1Fish8_TimeLeft,508.959
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,0.918
Pond1Fish9_PondTime,66.518
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,660
Pond1Fish9_TimeLeft,499.927
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.963
Pond1Fish10_PondTime,76.385
Pond1Fish10_PondOutcome,100
Pond1Fish10_TotalOutcome,670
Pond1Fish10_TimeLeft,490.06
Type,RT
FishN,13
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,0.717
Pond1Fish11_PondTime,87.317
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,680
Pond1Fish11_TimeLeft,479.128
PondEnd_LastFish,11
FishN,18
Type,RT
GiveUpTime,0.408
PondTime,99.097
TimeLeft,466.845
PondOutcome,110
TotalOutcome,680
PondStart,PondStart
PondIntroTime,12.065825515892357
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,0.583
Pond10Fish1_PondTime,8.568
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,690
Pond10Fish1_TimeLeft,445.59
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.063
Pond10Fish2_PondTime,15.551
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,700
Pond10Fish2_TimeLeft,438.607
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.151
Pond10Fish3_PondTime,22.917
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,710
Pond10Fish3_TimeLeft,431.241
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,0.832
Pond10Fish4_PondTime,30.733
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,720
Pond10Fish4_TimeLeft,423.425
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,0.943
Pond10Fish5_PondTime,39.1
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,730
Pond10Fish5_TimeLeft,415.058
