,5d5f0b2e0e71190019c643f7
Pond5Fish8_TimeLeft,766.663
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,0.958
Pond5Fish9_PondTime,63.155
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,420
Pond5Fish9_TimeLeft,758.301
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,0.709
Pond5Fish10_PondTime,72.185
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,430
Pond5Fish10_TimeLeft,749.271
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,1.179
Pond5Fish11_PondTime,82.047
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,440
Pond5Fish11_TimeLeft,739.409
Type,RT
FishN,18
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,-1
Pond5Fish12_PondTime,93.023
Pond5Fish12_PondOutcome,120
Pond5Fish12_TotalOutcome,440
Pond5Fish12_TimeLeft,728.433
Type,RT
FishN,18
Fish,13
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,8.571428571428571
Pond5Fish13_CatchTime,0.708
Pond5Fish13_PondTime,105.385
Pond5Fish13_PondOutcome,130
Pond5Fish13_TotalOutcome,450
Pond5Fish13_TimeLeft,716.071
Type,RT
FishN,18
Fish,14
Pond5Fish14_FishType,purple
Pond5Fish14_FishLatency,10
Pond5Fish14_CatchTime,0.953
Pond5Fish14_PondTime,119.748
Pond5Fish14_PondOutcome,140
Pond5Fish14_TotalOutcome,460
Pond5Fish14_TimeLeft,701.708
Type,RT
FishN,18
Fish,15
Pond5Fish15_FishType,purple
Pond5Fish15_FishLatency,12
Pond5Fish15_CatchTime,1.19
Pond5Fish15_PondTime,137.105
Pond5Fish15_PondOutcome,150
Pond5Fish15_TotalOutcome,470
Pond5Fish15_TimeLeft,684.351
Type,RT
FishN,18
Fish,16
Pond5Fish16_FishType,purple
