,5bdec43c18f1b90001744a56
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,6.666666666666667
Pond7Fish5_CatchTime,0.885
Pond7Fish5_PondTime,44.418
Pond7Fish5_PondOutcome,40
Pond7Fish5_TotalOutcome,480
Pond7Fish5_TimeLeft,692.899
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,7.5
Pond7Fish6_CatchTime,1.096
Pond7Fish6_PondTime,55.347
Pond7Fish6_PondOutcome,50
Pond7Fish6_TotalOutcome,490
Pond7Fish6_TimeLeft,681.97
PondEnd_LastFish,6
FishN,13
Type,RT
GiveUpTime,1.301
PondTime,55.945
TimeLeft,680.869
PondOutcome,50
TotalOutcome,490
PondStart,PondStart
PondIntroTime,18.581849639303982
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,golden
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,0.958
Pond2Fish1_PondTime,12.604
Pond2Fish1_PondOutcome,20
Pond2Fish1_TotalOutcome,510
Pond2Fish1_TimeLeft,646.965
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,-1
Pond2Fish2_PondTime,21.031
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,510
Pond2Fish2_TimeLeft,638.538
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,1.012
Pond2Fish3_PondTime,30.064
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,520
Pond2Fish3_TimeLeft,629.505
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,0.916
Pond2Fish4_PondTime,39.926
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,530
Pond2Fish4_TimeLeft,619.643
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,1.564
Pond2Fish5_PondTime,50.857
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,540
Pond2Fish5_TimeLeft,608.712
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,golden
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,0.801
Pond2Fish6_PondTime,63.217
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,560
Pond2Fish6_TimeLeft,596.352
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,0.885
Pond2Fish7_PondTime,77.578
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,570
Pond2Fish7_TimeLeft,581.991
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,12
Pond2Fish8_CatchTime,1.025
Pond2Fish8_PondTime,94.937
Pond2Fish8_PondOutcome,90
Pond2Fish8_TotalOutcome,580
Pond2Fish8_TimeLeft,564.631
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,21.455
PondTime,115.624
TimeLeft,543.443
PondOutcome,90
TotalOutcome,580
PondStart,PondStart
PondIntroTime,12.824991119559854
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,golden
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,0.974
Pond5Fish1_PondTime,8.592
Pond5Fish1_PondOutcome,20
Pond5Fish1_TotalOutcome,600
Pond5Fish1_TimeLeft,519.979
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,1.251
Pond5Fish2_PondTime,14.489
Pond5Fish2_PondOutcome,30
Pond5Fish2_TotalOutcome,610
Pond5Fish2_TimeLeft,514.082
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,-1
Pond5Fish3_PondTime,20.667
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,610
Pond5Fish3_TimeLeft,507.904
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,1.267
Pond5Fish4_PondTime,27.035
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,620
Pond5Fish4_TimeLeft,501.536
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,golden
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,1.026
Pond5Fish5_PondTime,33.681
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,640
Pond5Fish5_TimeLeft,494.89
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.285714285714286
