,5e1d3588db62ba0bc9f2e39a
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,1.152
Pond7Fish3_PondTime,27.136
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,260
Pond7Fish3_TimeLeft,968.133
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,1.157
Pond7Fish4_PondTime,37.003
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,270
Pond7Fish4_TimeLeft,958.266
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,1.196
Pond7Fish5_PondTime,47.937
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,280
Pond7Fish5_TimeLeft,947.332
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,1.322
Pond7Fish6_PondTime,60.306
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,290
Pond7Fish6_TimeLeft,934.962
PondEnd_LastFish,6
FishN,12
Type,RT
GiveUpTime,11.725
PondTime,71.563
TimeLeft,923.205
PondOutcome,60
TotalOutcome,290
PondStart,PondStart
PondIntroTime,15.735804552678019
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,2.063
Pond2Fish1_PondTime,7.667
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,300
Pond2Fish1_TimeLeft,899.179
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,-1
Pond2Fish2_PondTime,13.601
Pond2Fish2_PondOutcome,10
Pond2Fish2_TotalOutcome,300
Pond2Fish2_TimeLeft,893.245
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,golden
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,0.607
Pond2Fish3_PondTime,19.719
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,320
Pond2Fish3_TimeLeft,887.127
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.008
Pond2Fish4_PondTime,26.087
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,330
Pond2Fish4_TimeLeft,880.759
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,0.956
Pond2Fish5_PondTime,32.737
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,340
Pond2Fish5_TimeLeft,874.109
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.379
Pond2Fish6_PondTime,39.721
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,350
Pond2Fish6_TimeLeft,867.125
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,0.884
Pond2Fish7_PondTime,47.087
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,360
Pond2Fish7_TimeLeft,859.759
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,0.811
Pond2Fish8_PondTime,54.906
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,370
Pond2Fish8_TimeLeft,851.94
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,1.265
Pond2Fish9_PondTime,63.275
Pond2Fish9_PondOutcome,90
Pond2Fish9_TotalOutcome,380
Pond2Fish9_TimeLeft,843.571
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,0.864
Pond2Fish10_PondTime,72.308
Pond2Fish10_PondOutcome,100
Pond2Fish10_TotalOutcome,390
Pond2Fish10_TimeLeft,834.538
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,0.798
Pond2Fish11_PondTime,82.176
Pond2Fish11_PondOutcome,110
Pond2Fish11_TotalOutcome,400
Pond2Fish11_TimeLeft,824.67
Type,RT
FishN,12
Fish,12
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,0.852
Pond2Fish12_PondTime,93.109
Pond2Fish12_PondOutcome,120
Pond2Fish12_TotalOutcome,410
Pond2Fish12_TimeLeft,813.737
Type,RT
FishN,12
Fish,13
Pond2Fish13_FishType,golden
Pond2Fish13_FishLatency,8.571428571428571
Pond2Fish13_CatchTime,0.817
Pond2Fish13_PondTime,105.476
Pond2Fish13_PondOutcome,140
Pond2Fish13_TotalOutcome,430
Pond2Fish13_TimeLeft,801.37
Type,RT
FishN,12
Fish,14
Pond2Fish14_FishType,purple
Pond2Fish14_FishLatency,10
Pond2Fish14_CatchTime,-1
Pond2Fish14_PondTime,119.895
Pond2Fish14_PondOutcome,140
Pond2Fish14_TotalOutcome,430
Pond2Fish14_TimeLeft,786.951
Type,RT
FishN,12
Fish,15
Pond2Fish15_FishType,purple
Pond2Fish15_FishLatency,12
Pond2Fish15_CatchTime,1.816
Pond2Fish15_PondTime,137.379
Pond2Fish15_PondOutcome,150
Pond2Fish15_TotalOutcome,440
Pond2Fish15_TimeLeft,769.467
Type,RT
FishN,12
Fish,16
Pond2Fish16_FishType,golden
Pond2Fish16_FishLatency,15
Pond2Fish16_CatchTime,1.045
Pond2Fish16_PondTime,159.749
Pond2Fish16_PondOutcome,170
Pond2Fish16_TotalOutcome,460
Pond2Fish16_TimeLeft,747.097
Type,RT
FishN,12
Fish,17
Pond2Fish17_FishType,purple
Pond2Fish17_FishLatency,20
Pond2Fish17_CatchTime,1.072
Pond2Fish17_PondTime,192.118
Pond2Fish17_PondOutcome,180
Pond2Fish17_TotalOutcome,470
Pond2Fish17_TimeLeft,714.728
Type,RT
FishN,12
Fish,18
Pond2Fish18_FishType,purple
Pond2Fish18_FishLatency,30
Pond2Fish18_CatchTime,-1
Pond2Fish18_PondTime,254.523
Pond2Fish18_PondOutcome,180
Pond2Fish18_TotalOutcome,470
Pond2Fish18_TimeLeft,652.323
Type,RT
FishN,12
Fish,19
Pond2Fish19_FishType,purple
Pond2Fish19_FishLatency,60
Pond2Fish19_CatchTime,0.691
Pond2Fish19_PondTime,256.891
Pond2Fish19_PondOutcome,190
Pond2Fish19_TotalOutcome,480
Pond2Fish19_TimeLeft,649.955
PondEnd_LastFish,19
FishN,19
Type,RT
GiveUpTime,67.338
PondTime,323.127
TimeLeft,583.217
PondOutcome,190
TotalOutcome,480
PondStart,PondStart
PondIntroTime,13.176126540638506
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,0.888
Pond1Fish1_PondTime,9.244
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,490
Pond1Fish1_TimeLeft,558.215
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,golden
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,0.915
Pond1Fish2_PondTime,16.226
Pond1Fish2_PondOutcome,30
Pond1Fish2_TotalOutcome,510
Pond1Fish2_TimeLeft,551.233
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.33
Pond1Fish3_PondTime,23.595
Pond1Fish3_PondOutcome,40
Pond1Fish3_TotalOutcome,520
Pond1Fish3_TimeLeft,543.864
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,-1
Pond1Fish4_PondTime,31.461
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,520
Pond1Fish4_TimeLeft,535.998
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,0.962
Pond1Fish5_PondTime,39.83
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,530
Pond1Fish5_TimeLeft,527.629
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.22
Pond1Fish6_PondTime,48.864
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,540
Pond1Fish6_TimeLeft,518.594
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,1.567
Pond1Fish7_PondTime,58.733
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,550
Pond1Fish7_TimeLeft,508.726
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,1.283
Pond1Fish8_PondTime,69.667
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,560
Pond1Fish8_TimeLeft,497.792
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,1.415
Pond1Fish9_PondTime,82.035
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,570
Pond1Fish9_TimeLeft,485.424
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,10
Pond1Fish10_CatchTime,0.731
Pond1Fish10_PondTime,96.403
Pond1Fish10_PondOutcome,100
