,5b5ca33f295c4b0001c294d0
Pond9Fish2_TotalOutcome,450
Pond9Fish2_TimeLeft,705.936
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,0.706
Pond9Fish3_PondTime,27.109
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,460
Pond9Fish3_TimeLeft,696.907
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,0.727
Pond9Fish4_PondTime,36.963
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,470
Pond9Fish4_TimeLeft,687.053
PondEnd_LastFish,4
FishN,12
Type,RT
GiveUpTime,0.44
PondTime,47.36
TimeLeft,676.155
PondOutcome,40
TotalOutcome,470
PondStart,PondStart
PondIntroTime,18.30897322623059
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.911
Pond10Fish1_PondTime,9.726
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,480
Pond10Fish1_TimeLeft,647.508
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.866
Pond10Fish2_PondTime,18.089
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,490
Pond10Fish2_TimeLeft,639.146
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.758
Pond10Fish3_PondTime,27.117
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,500
Pond10Fish3_TimeLeft,630.118
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.024
Pond10Fish4_PondTime,36.972
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,510
Pond10Fish4_TimeLeft,620.263
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,golden
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.849
Pond10Fish5_PondTime,47.903
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,530
Pond10Fish5_TimeLeft,609.332
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,0.872
Pond10Fish6_PondTime,60.261
Pond10Fish6_PondOutcome,70
Pond10Fish6_TotalOutcome,540
Pond10Fish6_TimeLeft,596.974
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,0.882
Pond10Fish7_PondTime,74.622
Pond10Fish7_PondOutcome,80
Pond10Fish7_TotalOutcome,550
Pond10Fish7_TimeLeft,582.613
PondEnd_LastFish,7
FishN,12
Type,RT
GiveUpTime,0.444
PondTime,91.397
TimeLeft,565.336
PondOutcome,80
TotalOutcome,550
PondStart,PondStart
PondIntroTime,13.686918334569782
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,0.71
Pond11Fish1_PondTime,8.017
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,560
Pond11Fish1_TimeLeft,541.809
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,0.77
Pond11Fish2_PondTime,14.376
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,570
Pond11Fish2_TimeLeft,535.45
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.83
Pond11Fish3_PondTime,21.017
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,580
Pond11Fish3_TimeLeft,528.809
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,0.621
Pond11Fish4_PondTime,27.994
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,590
Pond11Fish4_TimeLeft,521.832
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,0.889
Pond11Fish5_PondTime,35.353
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,600
Pond11Fish5_TimeLeft,514.473
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,1.072
Pond11Fish6_PondTime,43.164
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,610
Pond11Fish6_TimeLeft,506.662
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,0.687
Pond11Fish7_PondTime,51.525
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,620
Pond11Fish7_TimeLeft,498.301
PondEnd_LastFish,7
FishN,17
Type,RT
GiveUpTime,0.594
PondTime,60.222
TimeLeft,489.102
PondOutcome,70
TotalOutcome,620
PondStart,PondStart
PondIntroTime,11.158503466285765
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,1.041
Pond7Fish1_PondTime,9.268
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,630
Pond7Fish1_TimeLeft,467.56
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,0.722
Pond7Fish2_PondTime,17.078
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,640
Pond7Fish2_TimeLeft,459.75
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,0.716
Pond7Fish3_PondTime,25.439
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,650
Pond7Fish3_TimeLeft,451.389
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,0.831
Pond7Fish4_PondTime,34.467
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,660
Pond7Fish4_TimeLeft,442.361
PondEnd_LastFish,4
FishN,13
Type,RT
GiveUpTime,0.607
PondTime,43.921
