,5a04869ff2e3460001edad2e
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,6.666666666666667
Pond6Fish8_CatchTime,0.771
Pond6Fish8_PondTime,64.351
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,390
Pond6Fish8_TimeLeft,764.927
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,7.5
Pond6Fish9_CatchTime,0.983
Pond6Fish9_PondTime,75.285
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,400
Pond6Fish9_TimeLeft,753.993
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,8.571428571428571
Pond6Fish10_CatchTime,1.258
Pond6Fish10_PondTime,87.65
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,410
Pond6Fish10_TimeLeft,741.628
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,10
Pond6Fish11_CatchTime,1.054
Pond6Fish11_PondTime,102.019
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,420
Pond6Fish11_TimeLeft,727.259
Type,RT
FishN,17
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,12
Pond6Fish12_CatchTime,0.757
Pond6Fish12_PondTime,119.383
Pond6Fish12_PondOutcome,130
Pond6Fish12_TotalOutcome,430
Pond6Fish12_TimeLeft,709.895
PondEnd_LastFish,12
FishN,16
Type,RT
GiveUpTime,18.629
PondTime,136.978
TimeLeft,691.797
PondOutcome,130
TotalOutcome,430
PondStart,PondStart
PondIntroTime,14.688129620626569
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,0.84
Pond9Fish1_PondTime,8.266
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,440
Pond9Fish1_TimeLeft,668.228
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,1.186
Pond9Fish2_PondTime,14.915
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,450
Pond9Fish2_TimeLeft,661.579
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,0.706
Pond9Fish3_PondTime,21.899
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,460
Pond9Fish3_TimeLeft,654.595
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,0.948
Pond9Fish4_PondTime,29.265
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,470
Pond9Fish4_TimeLeft,647.229
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,0.95
Pond9Fish5_PondTime,37.081
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,480
Pond9Fish5_TimeLeft,639.413
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,0.629
Pond9Fish6_PondTime,45.447
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,490
Pond9Fish6_TimeLeft,631.047
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,0.814
Pond9Fish7_PondTime,54.481
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,500
Pond9Fish7_TimeLeft,622.013
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,golden
Pond9Fish8_FishLatency,6.666666666666667
Pond9Fish8_CatchTime,1.075
Pond9Fish8_PondTime,64.349
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,520
Pond9Fish8_TimeLeft,612.145
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,7.5
Pond9Fish9_CatchTime,0.801
Pond9Fish9_PondTime,75.283
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,530
Pond9Fish9_TimeLeft,601.211
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,8.571428571428571
Pond9Fish10_CatchTime,0.972
Pond9Fish10_PondTime,87.649
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,540
