,5dd61dcccaee3e5c8b9141cf
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,1.195
Pond5Fish3_PondTime,22.072
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,290
Pond5Fish3_TimeLeft,872.482
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,-1
Pond5Fish4_PondTime,29.532
Pond5Fish4_PondOutcome,30
Pond5Fish4_TotalOutcome,290
Pond5Fish4_TimeLeft,865.022
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,1.136
Pond5Fish5_PondTime,37.406
Pond5Fish5_PondOutcome,40
Pond5Fish5_TotalOutcome,300
Pond5Fish5_TimeLeft,857.148
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,1.034
Pond5Fish6_PondTime,45.797
Pond5Fish6_PondOutcome,50
Pond5Fish6_TotalOutcome,310
Pond5Fish6_TimeLeft,848.757
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,1.166
Pond5Fish7_PondTime,54.855
Pond5Fish7_PondOutcome,60
Pond5Fish7_TotalOutcome,320
Pond5Fish7_TimeLeft,839.699
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,-1
Pond5Fish8_PondTime,64.812
Pond5Fish8_PondOutcome,60
Pond5Fish8_TotalOutcome,320
Pond5Fish8_TimeLeft,829.742
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,-1
Pond5Fish9_PondTime,75.822
Pond5Fish9_PondOutcome,60
Pond5Fish9_TotalOutcome,320
Pond5Fish9_TimeLeft,818.732
PondEnd_LastFish,9
FishN,16
Type,RT
GiveUpTime,22.865
PondTime,77.092
TimeLeft,816.961
PondOutcome,60
TotalOutcome,320
PondStart,PondStart
PondIntroTime,15.464915672782809
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.592
Pond9Fish1_PondTime,8.066
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,330
Pond9Fish1_TimeLeft,792.815
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,golden
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,1.114
Pond9Fish2_PondTime,14.454
Pond9Fish2_PondOutcome,30
Pond9Fish2_TotalOutcome,350
Pond9Fish2_TimeLeft,786.428
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,-1
Pond9Fish3_PondTime,21.16
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,350
Pond9Fish3_TimeLeft,779.722
