,5c13e9a2b2746e00012c4580
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,1.104
Pond4Fish7_PondTime,54.486
Pond4Fish7_PondOutcome,80
Pond4Fish7_TotalOutcome,250
Pond4Fish7_TimeLeft,883.409
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,golden
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,1.14
Pond4Fish8_PondTime,64.354
Pond4Fish8_PondOutcome,100
Pond4Fish8_TotalOutcome,270
Pond4Fish8_TimeLeft,873.541
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,golden
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,0.963
Pond4Fish9_PondTime,75.287
Pond4Fish9_PondOutcome,120
Pond4Fish9_TotalOutcome,290
Pond4Fish9_TimeLeft,862.608
Type,RT
FishN,17
Fish,10
Pond4Fish10_FishType,golden
Pond4Fish10_FishLatency,8.571428571428571
Pond4Fish10_CatchTime,1.001
Pond4Fish10_PondTime,87.654
Pond4Fish10_PondOutcome,140
Pond4Fish10_TotalOutcome,310
Pond4Fish10_TimeLeft,850.241
Type,RT
FishN,17
Fish,11
Pond4Fish11_FishType,golden
Pond4Fish11_FishLatency,10
Pond4Fish11_CatchTime,1.058
Pond4Fish11_PondTime,102.021
Pond4Fish11_PondOutcome,160
Pond4Fish11_TotalOutcome,330
Pond4Fish11_TimeLeft,835.874
Type,RT
FishN,17
Fish,12
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,12
Pond4Fish12_CatchTime,1.319
Pond4Fish12_PondTime,119.388
Pond4Fish12_PondOutcome,170
Pond4Fish12_TotalOutcome,340
Pond4Fish12_TimeLeft,818.507
PondEnd_LastFish,12
FishN,16
Type,RT
GiveUpTime,2.026
PondTime,120.945
TimeLeft,816.446
PondOutcome,170
TotalOutcome,340
PondStart,PondStart
PondIntroTime,15.544682848267257
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,1.113
Pond8Fish1_PondTime,8.886
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,350
Pond8Fish1_TimeLeft,791.406
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.961
Pond8Fish2_PondTime,16.253
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,360
Pond8Fish2_TimeLeft,784.039
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,1.394
Pond8Fish3_PondTime,24.07
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,370
Pond8Fish3_TimeLeft,776.222
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,1.181
Pond8Fish4_PondTime,32.436
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,380
Pond8Fish4_TimeLeft,767.856
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,1.118
Pond8Fish5_PondTime,41.471
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,390
Pond8Fish5_TimeLeft,758.821
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,0.989
Pond8Fish6_PondTime,51.337
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,400
Pond8Fish6_TimeLeft,748.955
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,golden
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,0.895
