,5cc4e12d155841001b26c35f
Pond10Fish15_TimeLeft,883.396
PondEnd_LastFish,15
FishN,18
Type,RT
GiveUpTime,8.826
PondTime,162.43
TimeLeft,874.491
PondOutcome,190
TotalOutcome,280
PondStart,PondStart
PondIntroTime,13.454106734134257
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,1.451
Pond2Fish1_PondTime,8.035
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,290
Pond2Fish1_TimeLeft,852.373
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,1.243
Pond2Fish2_PondTime,14.413
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,300
Pond2Fish2_TimeLeft,845.995
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,1.283
Pond2Fish3_PondTime,21.065
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,310
Pond2Fish3_TimeLeft,839.343
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,golden
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,1.302
Pond2Fish4_PondTime,28.04
Pond2Fish4_PondOutcome,50
Pond2Fish4_TotalOutcome,330
Pond2Fish4_TimeLeft,832.368
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,1.394
Pond2Fish5_PondTime,35.408
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,340
Pond2Fish5_TimeLeft,825
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,golden
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,1.211
Pond2Fish6_PondTime,43.229
Pond2Fish6_PondOutcome,80
Pond2Fish6_TotalOutcome,360
Pond2Fish6_TimeLeft,817.179
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,1.144
Pond2Fish7_PondTime,51.6
Pond2Fish7_PondOutcome,90
Pond2Fish7_TotalOutcome,370
Pond2Fish7_TimeLeft,808.808
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,1.408
Pond2Fish8_PondTime,60.637
Pond2Fish8_PondOutcome,100
Pond2Fish8_TotalOutcome,380
Pond2Fish8_TimeLeft,799.771
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,golden
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,1.101
Pond2Fish9_PondTime,70.509
Pond2Fish9_PondOutcome,120
Pond2Fish9_TotalOutcome,400
Pond2Fish9_TimeLeft,789.899
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,7.5
Pond2Fish10_CatchTime,1.058
Pond2Fish10_PondTime,81.447
Pond2Fish10_PondOutcome,130
Pond2Fish10_TotalOutcome,410
Pond2Fish10_TimeLeft,778.961
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,8.571428571428571
Pond2Fish11_CatchTime,1.255
Pond2Fish11_PondTime,93.827
Pond2Fish11_PondOutcome,140
Pond2Fish11_TotalOutcome,420
Pond2Fish11_TimeLeft,766.581
Type,RT
FishN,12
Fish,12
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,10
Pond2Fish12_CatchTime,1.394
Pond2Fish12_PondTime,108.211
Pond2Fish12_PondOutcome,150
Pond2Fish12_TotalOutcome,430
Pond2Fish12_TimeLeft,752.197
Type,RT
FishN,12
Fish,13
Pond2Fish13_FishType,purple
Pond2Fish13_FishLatency,12
Pond2Fish13_CatchTime,1.052
Pond2Fish13_PondTime,125.581
Pond2Fish13_PondOutcome,160
Pond2Fish13_TotalOutcome,440
Pond2Fish13_TimeLeft,734.827
Type,RT
FishN,12
Fish,14
Pond2Fish14_FishType,golden
Pond2Fish14_FishLatency,15
Pond2Fish14_CatchTime,1.43
Pond2Fish14_PondTime,147.951
Pond2Fish14_PondOutcome,180
Pond2Fish14_TotalOutcome,460
Pond2Fish14_TimeLeft,712.457
PondEnd_LastFish,14
FishN,17
Type,RT
GiveUpTime,28.002
PondTime,175.592
TimeLeft,684.311
PondOutcome,180
TotalOutcome,460
PondStart,PondStart
PondIntroTime,18.106051634531468
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,0.965
Pond11Fish1_PondTime,8.572
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,470
Pond11Fish1_TimeLeft,657.012
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,1.233
Pond11Fish2_PondTime,15.548
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,480
Pond11Fish2_TimeLeft,650.036
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,1.59
Pond11Fish3_PondTime,22.919
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,490
Pond11Fish3_TimeLeft,642.665
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,golden
Pond11Fish4_FishLatency,5
Pond11Fish4_CatchTime,1.004
Pond11Fish4_PondTime,30.745
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,510
Pond11Fish4_TimeLeft,634.839
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5.454545454545454
Pond11Fish5_CatchTime,1.351
Pond11Fish5_PondTime,39.115
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,520
