,5da42ce2aebbe900133d9d18
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,1.194
Pond11Fish3_PondTime,25.494
Pond11Fish3_PondOutcome,40
Pond11Fish3_TotalOutcome,390
Pond11Fish3_TimeLeft,744.698
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,1.363
Pond11Fish4_PondTime,34.531
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,400
Pond11Fish4_TimeLeft,735.66
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,1.216
Pond11Fish5_PondTime,44.443
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,410
Pond11Fish5_TimeLeft,725.748
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,golden
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,0.714
Pond11Fish6_PondTime,55.414
Pond11Fish6_PondOutcome,80
Pond11Fish6_TotalOutcome,430
Pond11Fish6_TimeLeft,714.777
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,1.184
Pond11Fish7_PondTime,67.801
Pond11Fish7_PondOutcome,90
Pond11Fish7_TotalOutcome,440
Pond11Fish7_TimeLeft,702.391
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,0.693
Pond11Fish8_PondTime,82.182
Pond11Fish8_PondOutcome,100
Pond11Fish8_TotalOutcome,450
Pond11Fish8_TimeLeft,688.01
PondEnd_LastFish,8
FishN,13
Type,RT
GiveUpTime,11.952
PondTime,93.035
TimeLeft,676.652
PondOutcome,100
TotalOutcome,450
PondStart,PondStart
PondIntroTime,11.082514198496938
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.167
Pond2Fish1_PondTime,7.63
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,460
Pond2Fish1_TimeLeft,657.287
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,0.782
Pond2Fish2_PondTime,13.551
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,470
Pond2Fish2_TimeLeft,651.365
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,0.875
Pond2Fish3_PondTime,19.684
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,480
Pond2Fish3_TimeLeft,645.232
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,0.928
Pond2Fish4_PondTime,26.067
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,490
Pond2Fish4_TimeLeft,638.849
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1.224
Pond2Fish5_PondTime,32.729
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,500
Pond2Fish5_TimeLeft,632.187
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.016
Pond2Fish6_PondTime,39.727
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,510
Pond2Fish6_TimeLeft,625.189
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,1.282
Pond2Fish7_PondTime,47.106
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,520
Pond2Fish7_TimeLeft,617.81
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,golden
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.223
Pond2Fish8_PondTime,54.933
Pond2Fish8_PondOutcome,90
Pond2Fish8_TotalOutcome,540
Pond2Fish8_TimeLeft,609.984
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,-1
Pond2Fish9_PondTime,63.364
Pond2Fish9_PondOutcome,90
Pond2Fish9_TotalOutcome,540
Pond2Fish9_TimeLeft,601.553
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,0.707
Pond2Fish10_PondTime,72.412
Pond2Fish10_PondOutcome,100
Pond2Fish10_TotalOutcome,550
Pond2Fish10_TimeLeft,592.504
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,0.85
Pond2Fish11_PondTime,82.283
Pond2Fish11_PondOutcome,110
Pond2Fish11_TotalOutcome,560
Pond2Fish11_TimeLeft,582.634
Type,RT
FishN,12
Fish,12
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,1.001
