,5ba88ccbdd59150001381091
PondOutcome,140
TotalOutcome,270
PondStart,PondStart
PondIntroTime,15.954724648036063
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,0.924
Pond8Fish1_PondTime,7.802
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,280
Pond8Fish1_TimeLeft,909.527
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.023
Pond8Fish2_PondTime,13.918
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,290
Pond8Fish2_TimeLeft,903.411
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.169
Pond8Fish3_PondTime,20.284
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,300
Pond8Fish3_TimeLeft,897.045
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.184
Pond8Fish4_PondTime,26.934
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,310
Pond8Fish4_TimeLeft,890.395
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.008
Pond8Fish5_PondTime,33.917
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,320
Pond8Fish5_TimeLeft,883.412
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,golden
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,-1
Pond8Fish6_PondTime,41.349
Pond8Fish6_PondOutcome,50
Pond8Fish6_TotalOutcome,320
Pond8Fish6_TimeLeft,875.98
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,0.852
Pond8Fish7_PondTime,49.184
Pond8Fish7_PondOutcome,60
Pond8Fish7_TotalOutcome,330
Pond8Fish7_TimeLeft,868.145
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,1.039
Pond8Fish8_PondTime,57.549
Pond8Fish8_PondOutcome,70
Pond8Fish8_TotalOutcome,340
Pond8Fish8_TimeLeft,859.78
Type,RT
FishN,13
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,1.054
Pond8Fish9_PondTime,66.583
Pond8Fish9_PondOutcome,80
Pond8Fish9_TotalOutcome,350
Pond8Fish9_TimeLeft,850.746
Type,RT
FishN,13
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,6.666666666666667
Pond8Fish10_CatchTime,1.027
Pond8Fish10_PondTime,76.465
Pond8Fish10_PondOutcome,90
Pond8Fish10_TotalOutcome,360
Pond8Fish10_TimeLeft,840.864
Type,RT
FishN,13
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,7.5
Pond8Fish11_CatchTime,0.813
Pond8Fish11_PondTime,87.416
Pond8Fish11_PondOutcome,100
Pond8Fish11_TotalOutcome,370
Pond8Fish11_TimeLeft,829.913
Type,RT
FishN,13
Fish,12
Pond8Fish12_FishType,purple
Pond8Fish12_FishLatency,8.571428571428571
Pond8Fish12_CatchTime,0.952
Pond8Fish12_PondTime,99.779
Pond8Fish12_PondOutcome,110
Pond8Fish12_TotalOutcome,380
Pond8Fish12_TimeLeft,817.55
Type,RT
FishN,13
Fish,13
Pond8Fish13_FishType,purple
Pond8Fish13_FishLatency,10
Pond8Fish13_CatchTime,1.073
Pond8Fish13_PondTime,114.148
Pond8Fish13_PondOutcome,120
Pond8Fish13_TotalOutcome,390
Pond8Fish13_TimeLeft,803.181
PondEnd_LastFish,13
FishN,18
Type,RT
GiveUpTime,0.944
PondTime,114.375
TimeLeft,802.452
PondOutcome,120
TotalOutcome,390
PondStart,PondStart
PondIntroTime,19.187789626885206
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,0.984
Pond5Fish1_PondTime,8.283
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,400
Pond5Fish1_TimeLeft,774.365
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,1.128
Pond5Fish2_PondTime,14.932
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,410
Pond5Fish2_TimeLeft,767.716
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,0.968
Pond5Fish3_PondTime,21.916
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,420
Pond5Fish3_TimeLeft,760.731
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,1.152
Pond5Fish4_PondTime,29.284
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,430
Pond5Fish4_TimeLeft,753.364
Type,RT
