,5c31dbed0091e40001cc3ef9
Pond8Fish11_CatchTime,1.124
Pond8Fish11_PondTime,87.269
Pond8Fish11_PondOutcome,110
Pond8Fish11_TotalOutcome,420
Pond8Fish11_TimeLeft,732.051
Type,RT
FishN,13
Fish,12
Pond8Fish12_FishType,purple
Pond8Fish12_FishLatency,8.571428571428571
Pond8Fish12_CatchTime,0.934
Pond8Fish12_PondTime,99.642
Pond8Fish12_PondOutcome,120
Pond8Fish12_TotalOutcome,430
Pond8Fish12_TimeLeft,719.678
Type,RT
FishN,13
Fish,13
Pond8Fish13_FishType,purple
Pond8Fish13_FishLatency,10
Pond8Fish13_CatchTime,0.735
Pond8Fish13_PondTime,114.01
Pond8Fish13_PondOutcome,130
Pond8Fish13_TotalOutcome,440
Pond8Fish13_TimeLeft,705.309
Type,RT
FishN,13
Fish,14
Pond8Fish14_FishType,purple
Pond8Fish14_FishLatency,12
Pond8Fish14_CatchTime,0.912
Pond8Fish14_PondTime,131.377
Pond8Fish14_PondOutcome,140
Pond8Fish14_TotalOutcome,450
Pond8Fish14_TimeLeft,687.943
PondEnd_LastFish,14
FishN,18
Type,RT
GiveUpTime,17.406
PondTime,147.897
TimeLeft,670.92
PondOutcome,140
TotalOutcome,450
PondStart,PondStart
PondIntroTime,11.00302514852956
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.208
Pond10Fish1_PondTime,9.725
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,460
Pond10Fish1_TimeLeft,649.56
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.946
Pond10Fish2_PondTime,18.086
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,470
Pond10Fish2_TimeLeft,641.2
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.279
Pond10Fish3_PondTime,27.111
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,480
Pond10Fish3_TimeLeft,632.175
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,golden
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.703
Pond10Fish4_PondTime,36.998
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,500
Pond10Fish4_TimeLeft,622.288
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,1.011
Pond10Fish5_PondTime,47.939
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,510
Pond10Fish5_TimeLeft,611.347
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.088
Pond10Fish6_PondTime,60.311
Pond10Fish6_PondOutcome,70
Pond10Fish6_TotalOutcome,520
Pond10Fish6_TimeLeft,598.975
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,1.611
Pond10Fish7_PondTime,74.682
Pond10Fish7_PondOutcome,80
Pond10Fish7_TotalOutcome,530
Pond10Fish7_TimeLeft,584.604
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,0.867
Pond10Fish8_PondTime,92.051
Pond10Fish8_PondOutcome,90
Pond10Fish8_TotalOutcome,540
Pond10Fish8_TimeLeft,567.234
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,17.427
PondTime,108.555
TimeLeft,550.225
PondOutcome,90
TotalOutcome,540
PondStart,PondStart
PondIntroTime,15.973304961808026
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,0.927
Pond7Fish1_PondTime,7.814
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,550
Pond7Fish1_TimeLeft,525.809
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,1.039
Pond7Fish2_PondTime,13.926
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,560
Pond7Fish2_TimeLeft,519.697
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,1.218
Pond7Fish3_PondTime,20.288
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,570
Pond7Fish3_TimeLeft,513.335
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,0.836
Pond7Fish4_PondTime,26.945
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,580
Pond7Fish4_TimeLeft,506.678
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,0.738
Pond7Fish5_PondTime,33.921
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,590
Pond7Fish5_TimeLeft,499.702
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,0.721
Pond7Fish6_PondTime,41.282
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,600
Pond7Fish6_TimeLeft,492.341
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,1.352
Pond7Fish7_PondTime,49.109
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,610
Pond7Fish7_TimeLeft,484.514
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,0.857
Pond7Fish8_PondTime,57.468
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,620
Pond7Fish8_TimeLeft,476.155
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,0.951
Pond7Fish9_PondTime,66.492
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,630
Pond7Fish9_TimeLeft,467.131
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,6.666666666666667
Pond7Fish10_CatchTime,0.75
Pond7Fish10_PondTime,76.349
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,640
Pond7Fish10_TimeLeft,457.274
Type,RT
FishN,16
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,7.5
Pond7Fish11_CatchTime,0.858
Pond7Fish11_PondTime,87.289
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,650
Pond7Fish11_TimeLeft,446.334
Type,RT
FishN,16
Fish,12
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,8.571428571428571
Pond7Fish12_CatchTime,1.142
Pond7Fish12_PondTime,99.661
Pond7Fish12_PondOutcome,120
Pond7Fish12_TotalOutcome,660
Pond7Fish12_TimeLeft,433.962
Type,RT
FishN,16
Fish,13
Pond7Fish13_FishType,purple
Pond7Fish13_FishLatency,10
Pond7Fish13_CatchTime,0.989
Pond7Fish13_PondTime,114.03
Pond7Fish13_PondOutcome,130
Pond7Fish13_TotalOutcome,670
Pond7Fish13_TimeLeft,419.593
Type,RT
FishN,16
Fish,14
Pond7Fish14_FishType,purple
Pond7Fish14_FishLatency,12
Pond7Fish14_CatchTime,1.071
Pond7Fish14_PondTime,131.398
Pond7Fish14_PondOutcome,140
Pond7Fish14_TotalOutcome,680
Pond7Fish14_TimeLeft,402.225
PondEnd_LastFish,14
FishN,18
Type,RT
GiveUpTime,10.775
PondTime,141.452
TimeLeft,391.669
PondOutcome,140
TotalOutcome,680
PondStart,PondStart
PondIntroTime,10.96620314521715
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,1.165
Pond1Fish1_PondTime,9.554
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,690
Pond1Fish1_TimeLeft,370.507
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,1.035
Pond1Fish2_PondTime,16.917
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,700
Pond1Fish2_TimeLeft,363.144
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,0.972
Pond1Fish3_PondTime,24.745
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,710
Pond1Fish3_TimeLeft,355.317
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,0.832
Pond1Fish4_PondTime,33.118
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,720
Pond1Fish4_TimeLeft,346.944
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,1.335
Pond1Fish5_PondTime,42.16
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,730
Pond1Fish5_TimeLeft,337.902
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,0.843
Pond1Fish6_PondTime,52.019
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,740
Pond1Fish6_TimeLeft,328.043
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,7.5
Pond1Fish7_CatchTime,1.019
Pond1Fish7_PondTime,62.961
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,750
Pond1Fish7_TimeLeft,317.101
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,8.571428571428571
Pond1Fish8_CatchTime,0.936
Pond1Fish8_PondTime,75.329
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,760
Pond1Fish8_TimeLeft,304.732
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,10
Pond1Fish9_CatchTime,0.953
Pond1Fish9_PondTime,89.701
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,770
Pond1Fish9_TimeLeft,290.361
PondEnd_LastFish,9
FishN,14
Type,RT
GiveUpTime,0.945
PondTime,89.808
TimeLeft,289.75
PondOutcome,90
TotalOutcome,770
PondStart,PondStart
PondIntroTime,19.439523457549512
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,0.955
Pond11Fish1_PondTime,9.279
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,780
Pond11Fish1_TimeLeft,260.391
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,1.317
Pond11Fish2_PondTime,17.104
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,790
Pond11Fish2_TimeLeft,252.565
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
