,5dade76a4860f70017f70ec5
Pond7Fish13_TimeLeft,947.807
Pond7_Type,RD
Pond7Fish14_FishType,purple
Pond7Fish14_FishLatency,10
Pond7Fish14_CatchTime,0.974
Pond7Fish14_PondTime,138.433
Pond7Fish14_PondOutcome,148
Pond7Fish14_TotalOutcome,268
Pond7Fish14_TimeLeft,933.398
Pond7_Type,RD
Pond7Fish15_FishType,purple
Pond7Fish15_FishLatency,12
Pond7Fish15_CatchTime,0.725
Pond7Fish15_PondTime,155.858
Pond7Fish15_PondOutcome,160
Pond7Fish15_TotalOutcome,280
Pond7Fish15_TimeLeft,915.973
Pond7_Type,RD
Pond7Fish16_FishType,purple
Pond7Fish16_FishLatency,15
Pond7Fish16_CatchTime,0.768
Pond7Fish16_PondTime,178.265
Pond7Fish16_PondOutcome,172
Pond7Fish16_TotalOutcome,292
Pond7Fish16_TimeLeft,893.566
Pond7_Type,RD
Pond7Fish17_FishType,purple
Pond7Fish17_FishLatency,20
Pond7Fish17_CatchTime,0.875
Pond7Fish17_PondTime,210.667
Pond7Fish17_PondOutcome,184
Pond7Fish17_TotalOutcome,304
Pond7Fish17_TimeLeft,861.164
Pond7_Type,RD
Pond7Fish18_FishType,purple
Pond7Fish18_FishLatency,30
Pond7Fish18_CatchTime,1.374
Pond7Fish18_PondTime,273.064
Pond7Fish18_PondOutcome,196
Pond7Fish18_TotalOutcome,316
Pond7Fish18_TimeLeft,798.767
Pond7_Type,RD
Pond7Fish19_FishType,purple
Pond7Fish19_FishLatency,60
Pond7Fish19_CatchTime,1.57
Pond7Fish19_PondTime,275.453
Pond7Fish19_PondOutcome,208
Pond7Fish19_TotalOutcome,328
Pond7Fish19_TimeLeft,796.378
Pond7_GiveUpTime,15.918
Pond7_PondTime,291.528
Pond7_PondOutcome,208
Pond7_TotalOutcome,328
Pond7_TimeLeft,780.303
Pond3IntroTime,14.550082716159523
Pond3_Type,RD
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.275
Pond3Fish1_PondTime,24.108
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,340
Pond3Fish1_TimeLeft,756.195
Pond3_Type,RD
Pond3Fish2_FishType,gray
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,0.806
Pond3Fish2_PondTime,31.537
Pond3Fish2_PondOutcome,14
Pond3Fish2_TotalOutcome,342
Pond3Fish2_TimeLeft,748.766
Pond3_Type,RD
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,0.935
Pond3Fish3_PondTime,39.384
Pond3Fish3_PondOutcome,26
Pond3Fish3_TotalOutcome,354
Pond3Fish3_TimeLeft,740.919
Pond3_Type,RD
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.09
Pond3Fish4_PondTime,47.774
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,366
Pond3Fish4_TimeLeft,732.529
Pond3_Type,RD
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,0.876
Pond3Fish5_PondTime,56.842
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,378
Pond3Fish5_TimeLeft,723.461
Pond3_Type,RD
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,0.876
Pond3Fish6_PondTime,66.739
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,390
Pond3Fish6_TimeLeft,713.564
Pond3_Type,RD
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.026
Pond3Fish7_PondTime,77.691
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,402
Pond3Fish7_TimeLeft,702.612
Pond3_Type,RD
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,0.761
Pond3Fish8_PondTime,90.078
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,414
Pond3Fish8_TimeLeft,690.225
