,5cc19e4f792ce5000145f764
Pond12_GiveUpTime,0.961
Pond12_PondTime,254.988
Pond12_PondOutcome,136
Pond12_TotalOutcome,702
Pond12_TimeLeft,315.329
Pond10IntroTime,14.803611664101481
Pond10_Type,RD
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,0.949
Pond10Fish1_PondTime,24.368
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,714
Pond10Fish1_TimeLeft,290.961
Pond10_Type,RD
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,1.66
Pond10Fish2_PondTime,31.752
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,726
Pond10Fish2_TimeLeft,283.576
Pond10_Type,RD
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,0.983
Pond10Fish3_PondTime,39.618
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,738
Pond10Fish3_TimeLeft,275.711
Pond10_Type,RD
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,1.25
Pond10Fish4_PondTime,48.018
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,750
Pond10Fish4_TimeLeft,267.311
Pond10_Type,RD
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,1.419
Pond10Fish5_PondTime,57.118
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,762
Pond10Fish5_TimeLeft,258.211
Pond10_Type,RD
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,1.227
Pond10Fish6_PondTime,67.054
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,774
Pond10Fish6_TimeLeft,248.275
Pond10_Type,RD
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,1.309
Pond10Fish7_PondTime,78.061
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,786
Pond10Fish7_TimeLeft,237.268
Pond10_Type,RD
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,1.314
Pond10Fish8_PondTime,90.435
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,798
Pond10Fish8_TimeLeft,224.894
Pond10_Type,RD
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,10
Pond10Fish9_CatchTime,1.41
Pond10Fish9_PondTime,104.851
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,810
Pond10Fish9_TimeLeft,210.478
Pond10_Type,RD
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,12
Pond10Fish10_CatchTime,1.172
Pond10Fish10_PondTime,122.3
Pond10Fish10_PondOutcome,120
Pond10Fish10_TotalOutcome,822
Pond10Fish10_TimeLeft,193.029
Pond10_Type,RD
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,15
Pond10Fish11_CatchTime,1.311
Pond10Fish11_PondTime,144.707
Pond10Fish11_PondOutcome,132
Pond10Fish11_TotalOutcome,834
Pond10Fish11_TimeLeft,170.622
Pond10_Type,RD
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,20
Pond10Fish12_CatchTime,1.213
Pond10Fish12_PondTime,177.142
Pond10Fish12_PondOutcome,144
Pond10Fish12_TotalOutcome,846
Pond10Fish12_TimeLeft,138.186
Pond10_GiveUpTime,56.468
Pond10_PondTime,233.423
Pond10_PondOutcome,144
Pond10_TotalOutcome,846
Pond10_TimeLeft,81.906
Pond5IntroTime,16.58570760861039
Pond5_Type,RD
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,1.345
Pond5Fish1_PondTime,25.289
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,858
Pond5Fish1_TimeLeft,56.617
Pond5_Type,RD
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,1.661
Pond5Fish2_PondTime,31.669
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,870
Pond5Fish2_TimeLeft,50.237
Pond5_Type,RD
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,1.116
Pond5Fish3_PondTime,38.379
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,882
Pond5Fish3_TimeLeft,43.527
Pond5_Type,RD
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,1.523
Pond5Fish4_PondTime,45.394
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,894
Pond5Fish4_TimeLeft,36.512
Pond5_Type,RD
Pond5Fish5_FishType,gray
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,1.695
Pond5Fish5_PondTime,52.83
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,896
Pond5Fish5_TimeLeft,29.076
Pond5_Type,RD
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,1.112
Pond5Fish6_PondTime,60.654
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,908
Pond5Fish6_TimeLeft,21.252
Pond5_Type,RD
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,1.358
Pond5Fish7_PondTime,69.067
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,920
Pond5Fish7_TimeLeft,12.839
Pond5_Type,RD
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6
Pond5Fish8_CatchTime,1.154
Pond5Fish8_PondTime,78.168
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,932
Pond5Fish8_TimeLeft,3.738
