,5c74f0d525c76b0010706736
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,0.819
Pond11Fish6_PondTime,68.443
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,598
Pond11Fish6_TimeLeft,631.561
Pond11_Type,RD
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,0.946
Pond11Fish7_PondTime,80.841
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,610
Pond11Fish7_TimeLeft,619.163
Pond11_Type,RD
Pond11Fish8_FishType,gray
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,0.875
Pond11Fish8_PondTime,95.255
Pond11Fish8_PondOutcome,86
Pond11Fish8_TotalOutcome,612
Pond11Fish8_TimeLeft,604.749
Pond11_Type,RD
Pond11Fish9_FishType,gray
Pond11Fish9_FishLatency,12
Pond11Fish9_CatchTime,1.082
Pond11Fish9_PondTime,112.654
Pond11Fish9_PondOutcome,88
Pond11Fish9_TotalOutcome,614
Pond11Fish9_TimeLeft,587.35
Pond11_GiveUpTime,1.238
Pond11_PondTime,113.563
Pond11_PondOutcome,88
Pond11_TotalOutcome,614
Pond11_TimeLeft,586.441
Pond6IntroTime,11.71862423652783
Pond6_Type,RD
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,0.79
Pond6Fish1_PondTime,20.003
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,626
Pond6Fish1_TimeLeft,566.438
Pond6_Type,RD
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.362
Pond6Fish2_PondTime,25.912
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,638
Pond6Fish2_TimeLeft,560.529
Pond6_Type,RD
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,0.874
Pond6Fish3_PondTime,32.053
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,650
