,Angie 
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,1.398
Pond6Fish6_PondTime,57.346
Pond6Fish6_PondOutcome,62
Pond6Fish6_TotalOutcome,264
Pond6Fish6_TimeLeft,910.088
Pond6_Type,RD
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.203
Pond6Fish7_PondTime,64.712
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,276
Pond6Fish7_TimeLeft,902.721
Pond6_Type,RD
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.268
Pond6Fish8_PondTime,72.524
Pond6Fish8_PondOutcome,86
Pond6Fish8_TotalOutcome,288
Pond6Fish8_TimeLeft,894.91
Pond6_Type,RD
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,1.103
Pond6Fish9_PondTime,80.891
Pond6Fish9_PondOutcome,98
Pond6Fish9_TotalOutcome,300
Pond6Fish9_TimeLeft,886.542
Pond6_Type,RD
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,1.284
Pond6Fish10_PondTime,89.923
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,312
Pond6Fish10_TimeLeft,877.511
Pond6_Type,RD
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,1.452
Pond6Fish11_PondTime,99.786
Pond6Fish11_PondOutcome,122
Pond6Fish11_TotalOutcome,324
Pond6Fish11_TimeLeft,867.648
Pond6_Type,RD
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,1.194
Pond6Fish12_PondTime,110.721
Pond6Fish12_PondOutcome,134
Pond6Fish12_TotalOutcome,336
Pond6Fish12_TimeLeft,856.713
Pond6_Type,RD
Pond6Fish13_FishType,purple
Pond6Fish13_FishLatency,8.571428571428571
Pond6Fish13_CatchTime,1.403
Pond6Fish13_PondTime,123.095
Pond6Fish13_PondOutcome,146
Pond6Fish13_TotalOutcome,348
Pond6Fish13_TimeLeft,844.339
Pond6_Type,RD
Pond6Fish14_FishType,purple
Pond6Fish14_FishLatency,10
Pond6Fish14_CatchTime,-1
Pond6Fish14_PondTime,137.543
Pond6Fish14_PondOutcome,146
Pond6Fish14_TotalOutcome,348
Pond6Fish14_TimeLeft,829.891
Pond6_Type,RD
Pond6Fish15_FishType,purple
Pond6Fish15_FishLatency,12
Pond6Fish15_CatchTime,1.417
Pond6Fish15_PondTime,154.928
Pond6Fish15_PondOutcome,158
Pond6Fish15_TotalOutcome,360
Pond6Fish15_TimeLeft,812.506
Pond6_Type,RD
Pond6Fish16_FishType,purple
Pond6Fish16_FishLatency,15
Pond6Fish16_CatchTime,1.429
Pond6Fish16_PondTime,177.289
Pond6Fish16_PondOutcome,170
Pond6Fish16_TotalOutcome,372
Pond6Fish16_TimeLeft,790.145
Pond6_GiveUpTime,1.97
Pond6_PondTime,179.289
Pond6_PondOutcome,170
Pond6_TotalOutcome,372
Pond6_TimeLeft,788.145
Pond4IntroTime,18.846931336447597
Pond4_Type,RD
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.384
Pond4Fish1_PondTime,27.08
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,384
Pond4Fish1_TimeLeft,761.065
Pond4_Type,RD
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.126
Pond4Fish2_PondTime,32.976
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,396
Pond4Fish2_TimeLeft,755.169
Pond4_Type,RD
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.275
Pond4Fish3_PondTime,39.093
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,408
Pond4Fish3_TimeLeft,749.052
Pond4_Type,RD
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,1.267
Pond4Fish4_PondTime,45.456
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,420
Pond4Fish4_TimeLeft,742.689
Pond4_Type,RD
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.409
Pond4Fish5_PondTime,52.106
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,432
Pond4Fish5_TimeLeft,736.039
Pond4_Type,RD
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.318
Pond4Fish6_PondTime,59.09
Pond4Fish6_PondOutcome,72
