,5c93bbc8cda9c500170b22c5
Pond3_Type,RD
Pond3Fish8_FishType,gray
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,1.333
Pond3Fish8_PondTime,85.498
Pond3Fish8_PondOutcome,74
Pond3Fish8_TotalOutcome,500
Pond3Fish8_TimeLeft,485.04
Pond3_GiveUpTime,0.919
Pond3_PondTime,86.35
Pond3_PondOutcome,74
Pond3_TotalOutcome,500
Pond3_TimeLeft,484.188
Pond6IntroTime,10.651269615627825
Pond6_Type,RD
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,0.943
Pond6Fish1_PondTime,18.882
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,512
Pond6Fish1_TimeLeft,465.306
Pond6_Type,RD
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.178
Pond6Fish2_PondTime,24.774
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,524
Pond6Fish2_TimeLeft,459.414
Pond6_Type,RD
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.108
Pond6Fish3_PondTime,30.886
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,536
Pond6Fish3_TimeLeft,453.302
Pond6_Type,RD
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,1.283
Pond6Fish4_PondTime,37.244
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,548
Pond6Fish4_TimeLeft,446.944
Pond6_Type,RD
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.01
Pond6Fish5_PondTime,43.886
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,560
Pond6Fish5_TimeLeft,440.302
Pond6_Type,RD
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,0.912
