,598783dc23640f00010e593e
Pond12Fish9_TimeLeft,966.922
Pond12_Type,RD
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,1.862
Pond12Fish10_PondTime,107.057
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,266
Pond12Fish10_TimeLeft,954.398
Pond12_Type,RD
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,-1
Pond12Fish11_PondTime,121.473
Pond12Fish11_PondOutcome,110
Pond12Fish11_TotalOutcome,266
Pond12Fish11_TimeLeft,939.982
Pond12_Type,RD
Pond12Fish12_FishType,purple
Pond12Fish12_FishLatency,12
Pond12Fish12_CatchTime,1.922
Pond12Fish12_PondTime,139.094
Pond12Fish12_PondOutcome,122
Pond12Fish12_TotalOutcome,278
Pond12Fish12_TimeLeft,922.361
Pond12_GiveUpTime,2.488
Pond12_PondTime,141.881
Pond12_PondOutcome,122
Pond12_TotalOutcome,278
Pond12_TimeLeft,919.574
Pond1IntroTime,10.840962585061789
Pond1_Type,RD
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.353
Pond1Fish1_PondTime,20.753
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,290
Pond1Fish1_TimeLeft,898.821
Pond1_Type,RD
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.568
Pond1Fish2_PondTime,28.573
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,302
Pond1Fish2_TimeLeft,891.001
Pond1_Type,RD
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.251
Pond1Fish3_PondTime,36.957
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,314
Pond1Fish3_TimeLeft,882.617
Pond1_Type,RD
Pond1Fish4_FishType,gray
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,2.043
Pond1Fish4_PondTime,46.05
Pond1Fish4_PondOutcome,38
Pond1Fish4_TotalOutcome,316
Pond1Fish4_TimeLeft,873.524
Pond1_Type,RD
Pond1Fish5_FishType,gray
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.394
Pond1Fish5_PondTime,55.952
Pond1Fish5_PondOutcome,40
Pond1Fish5_TotalOutcome,318
Pond1Fish5_TimeLeft,863.622
Pond1_Type,RD
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.703
Pond1Fish6_PondTime,66.933
Pond1Fish6_PondOutcome,52
Pond1Fish6_TotalOutcome,330
Pond1Fish6_TimeLeft,852.641
Pond1_Type,RD
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.226
Pond1Fish7_PondTime,79.316
Pond1Fish7_PondOutcome,64
Pond1Fish7_TotalOutcome,342
Pond1Fish7_TimeLeft,840.258
Pond1_Type,RD
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,1.252
Pond1Fish8_PondTime,93.673
Pond1Fish8_PondOutcome,76
Pond1Fish8_TotalOutcome,354
Pond1Fish8_TimeLeft,825.901
Pond1_Type,RD
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,12
Pond1Fish9_CatchTime,1.621
Pond1Fish9_PondTime,111.031
Pond1Fish9_PondOutcome,88
Pond1Fish9_TotalOutcome,366
Pond1Fish9_TimeLeft,808.543
Pond1_Type,RD
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,15
Pond1Fish10_CatchTime,1.416
Pond1Fish10_PondTime,133.392
Pond1Fish10_PondOutcome,100
Pond1Fish10_TotalOutcome,378
Pond1Fish10_TimeLeft,786.182
Pond1_Type,RD
Pond1Fish11_FishType,gray
Pond1Fish11_FishLatency,20
Pond1Fish11_CatchTime,-1
Pond1Fish11_PondTime,165.868
Pond1Fish11_PondOutcome,100
Pond1Fish11_TotalOutcome,378
Pond1Fish11_TimeLeft,753.705
Pond1_GiveUpTime,36.186
Pond1_PondTime,169.596
Pond1_PondOutcome,100
Pond1_TotalOutcome,378
Pond1_TimeLeft,749.978
Pond9IntroTime,12.786112751346081
Pond9_Type,RD
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.581
Pond9Fish1_PondTime,21.077
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,390
Pond9Fish1_TimeLeft,728.901
Pond9_Type,RD
Pond9Fish2_FishType,gray
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.299
Pond9Fish2_PondTime,26.999
Pond9Fish2_PondOutcome,14
Pond9Fish2_TotalOutcome,392
Pond9Fish2_TimeLeft,722.979
Pond9_Type,RD
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.864
Pond9Fish3_PondTime,33.314
Pond9Fish3_PondOutcome,26
Pond9Fish3_TotalOutcome,404
Pond9Fish3_TimeLeft,716.664
Pond9_Type,RD
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.218
Pond9Fish4_PondTime,39.674
Pond9Fish4_PondOutcome,38
Pond9Fish4_TotalOutcome,416
Pond9Fish4_TimeLeft,710.304
Pond9_Type,RD
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.517
Pond9Fish5_PondTime,46.319
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,428
Pond9Fish5_TimeLeft,703.659
Pond9_Type,RD
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.22
Pond9Fish6_PondTime,53.305
Pond9Fish6_PondOutcome,62
Pond9Fish6_TotalOutcome,440
Pond9Fish6_TimeLeft,696.673
Pond9_Type,RD
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.469
Pond9Fish7_PondTime,60.667
Pond9Fish7_PondOutcome,74
Pond9Fish7_TotalOutcome,452
Pond9Fish7_TimeLeft,689.311
Pond9_Type,RD
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.963
Pond9Fish8_PondTime,68.778
Pond9Fish8_PondOutcome,86
Pond9Fish8_TotalOutcome,464
Pond9Fish8_TimeLeft,681.2
Pond9_Type,RD
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.224
Pond9Fish9_PondTime,77.138
Pond9Fish9_PondOutcome,98
Pond9Fish9_TotalOutcome,476
Pond9Fish9_TimeLeft,672.84
Pond9_Type,RD
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.37
Pond9Fish10_PondTime,86.179
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,488
Pond9Fish10_TimeLeft,663.799
Pond9_Type,RD
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,1.25
Pond9Fish11_PondTime,96.039
Pond9Fish11_PondOutcome,122
Pond9Fish11_TotalOutcome,500
Pond9Fish11_TimeLeft,653.939
Pond9_Type,RD
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,1.457
Pond9Fish12_PondTime,106.976
Pond9Fish12_PondOutcome,134
Pond9Fish12_TotalOutcome,512
Pond9Fish12_TimeLeft,643.002
Pond9_Type,RD
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.806
Pond9Fish13_PondTime,119.437
Pond9Fish13_PondOutcome,146
Pond9Fish13_TotalOutcome,524
Pond9Fish13_TimeLeft,630.541
Pond9_Type,RD
Pond9Fish14_FishType,purple
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,1.656
Pond9Fish14_PondTime,133.795
Pond9Fish14_PondOutcome,158
Pond9Fish14_TotalOutcome,536
Pond9Fish14_TimeLeft,616.182
Pond9_Type,RD
Pond9Fish15_FishType,purple
Pond9Fish15_FishLatency,12
Pond9Fish15_CatchTime,1.323
Pond9Fish15_PondTime,151.174
Pond9Fish15_PondOutcome,170
Pond9Fish15_TotalOutcome,548
Pond9Fish15_TimeLeft,598.804
Pond9_Type,RD
Pond9Fish16_FishType,gray
Pond9Fish16_FishLatency,15
Pond9Fish16_CatchTime,1.644
Pond9Fish16_PondTime,173.539
Pond9Fish16_PondOutcome,172
Pond9Fish16_TotalOutcome,550
Pond9Fish16_TimeLeft,576.439
Pond9_Type,RD
Pond9Fish17_FishType,purple
Pond9Fish17_FishLatency,20
Pond9Fish17_CatchTime,1.992
Pond9Fish17_PondTime,206.214
Pond9Fish17_PondOutcome,184
Pond9Fish17_TotalOutcome,562
Pond9Fish17_TimeLeft,543.764
Pond9_GiveUpTime,18.673
Pond9_PondTime,225.185
Pond9_PondOutcome,184
Pond9_TotalOutcome,562
Pond9_TimeLeft,524.793
Pond5IntroTime,15.723579810000956
Pond5_Type,RD
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,24.469
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,562
Pond5Fish1_TimeLeft,500.324
Pond5_Type,RD
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,1.188
Pond5Fish2_PondTime,30.831
