,5bd88c215d5a010001c1738b
Pond4Fish13_PondTime,118.84
Pond4Fish13_PondOutcome,156
Pond4Fish13_TotalOutcome,484
Pond4Fish13_TimeLeft,441.385
Pond4_Type,RD
Pond4Fish14_FishType,purple
Pond4Fish14_FishLatency,10
Pond4Fish14_CatchTime,1.026
Pond4Fish14_PondTime,133.223
Pond4Fish14_PondOutcome,168
Pond4Fish14_TotalOutcome,496
Pond4Fish14_TimeLeft,427.002
Pond4_Type,RD
Pond4Fish15_FishType,purple
Pond4Fish15_FishLatency,12
Pond4Fish15_CatchTime,1.007
Pond4Fish15_PondTime,150.606
Pond4Fish15_PondOutcome,180
Pond4Fish15_TotalOutcome,508
Pond4Fish15_TimeLeft,409.619
Pond4_Type,RD
Pond4Fish16_FishType,gray
Pond4Fish16_FishLatency,15
Pond4Fish16_CatchTime,1.315
Pond4Fish16_PondTime,172.977
Pond4Fish16_PondOutcome,182
Pond4Fish16_TotalOutcome,510
Pond4Fish16_TimeLeft,387.248
Pond4_Type,RD
Pond4Fish17_FishType,purple
Pond4Fish17_FishLatency,20
Pond4Fish17_CatchTime,1.728
Pond4Fish17_PondTime,205.386
Pond4Fish17_PondOutcome,194
Pond4Fish17_TotalOutcome,522
Pond4Fish17_TimeLeft,354.839
Pond4_GiveUpTime,55.123
Pond4_PondTime,260.807
Pond4_PondOutcome,194
Pond4_TotalOutcome,522
Pond4_TimeLeft,299.418
Pond2IntroTime,14.172779300715774
Pond2_Type,RD
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.234
Pond2Fish1_PondTime,22.444
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,534
Pond2Fish1_TimeLeft,276.974
Pond2_Type,RD
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.185
Pond2Fish2_PondTime,28.357
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,546
Pond2Fish2_TimeLeft,271.061
Pond2_Type,RD
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.099
Pond2Fish3_PondTime,34.491
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,558
Pond2Fish3_TimeLeft,264.927
Pond2_Type,RD
Pond2Fish4_FishType,gray
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.206
Pond2Fish4_PondTime,40.877
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,560
Pond2Fish4_TimeLeft,258.541
Pond2_Type,RD
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,0.922
Pond2Fish5_PondTime,47.541
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,572
Pond2Fish5_TimeLeft,251.877
Pond2_Type,RD
Pond2Fish6_FishType,gray
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.388
Pond2Fish6_PondTime,54.542
Pond2Fish6_PondOutcome,52
Pond2Fish6_TotalOutcome,574
Pond2Fish6_TimeLeft,244.876
Pond2_Type,RD
Pond2Fish7_FishType,gray
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,1.026
Pond2Fish7_PondTime,61.924
Pond2Fish7_PondOutcome,54
Pond2Fish7_TotalOutcome,576
Pond2Fish7_TimeLeft,237.494
Pond2_Type,RD
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.272
Pond2Fish8_PondTime,69.756
Pond2Fish8_PondOutcome,66
Pond2Fish8_TotalOutcome,588
Pond2Fish8_TimeLeft,229.662
Pond2_Type,RD
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,0.96
Pond2Fish9_PondTime,78.139
Pond2Fish9_PondOutcome,78
Pond2Fish9_TotalOutcome,600
Pond2Fish9_TimeLeft,221.279
Pond2_Type,RD
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,1.215
Pond2Fish10_PondTime,87.187
Pond2Fish10_PondOutcome,90
Pond2Fish10_TotalOutcome,612
Pond2Fish10_TimeLeft,212.231
Pond2_Type,RD
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,1.002
Pond2Fish11_PondTime,97.073
Pond2Fish11_PondOutcome,102
Pond2Fish11_TotalOutcome,624
Pond2Fish11_TimeLeft,202.345
Pond2_Type,RD
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,1.134
Pond2Fish12_PondTime,108.021
Pond2Fish12_PondOutcome,114
Pond2Fish12_TotalOutcome,636
Pond2Fish12_TimeLeft,191.397
Pond2_Type,RD
Pond2Fish13_FishType,purple
Pond2Fish13_FishLatency,8.571428571428571
Pond2Fish13_CatchTime,1.037
Pond2Fish13_PondTime,120.404
Pond2Fish13_PondOutcome,126
Pond2Fish13_TotalOutcome,648
Pond2Fish13_TimeLeft,179.014
Pond2_Type,RD
Pond2Fish14_FishType,purple
Pond2Fish14_FishLatency,10
Pond2Fish14_CatchTime,1.019
Pond2Fish14_PondTime,134.788
Pond2Fish14_PondOutcome,138
Pond2Fish14_TotalOutcome,660
Pond2Fish14_TimeLeft,164.63
Pond2_Type,RD
Pond2Fish15_FishType,purple
Pond2Fish15_FishLatency,12
Pond2Fish15_CatchTime,1.37
Pond2Fish15_PondTime,152.173
Pond2Fish15_PondOutcome,150
Pond2Fish15_TotalOutcome,672
Pond2Fish15_TimeLeft,147.245
Pond2_Type,RD
Pond2Fish16_FishType,purple
Pond2Fish16_FishLatency,15
Pond2Fish16_CatchTime,1.052
Pond2Fish16_PondTime,174.552
Pond2Fish16_PondOutcome,162
Pond2Fish16_TotalOutcome,684
Pond2Fish16_TimeLeft,124.866
Pond2_Type,RD
Pond2Fish17_FishType,gray
Pond2Fish17_FishLatency,20
Pond2Fish17_CatchTime,-1
Pond2Fish17_PondTime,206.982
Pond2Fish17_PondOutcome,162
Pond2Fish17_TotalOutcome,684
Pond2Fish17_TimeLeft,92.436
Pond2_GiveUpTime,50.633
Pond2_PondTime,224.851
Pond2_PondOutcome,162
Pond2_TotalOutcome,684
Pond2_TimeLeft,74.566
Pond7IntroTime,15.982807911932468
Pond7_Type,RD
Pond7Fish1_FishType,gray
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,1.068
Pond7Fish1_PondTime,24.247
Pond7Fish1_PondOutcome,2
Pond7Fish1_TotalOutcome,686
Pond7Fish1_TimeLeft,50.319
Pond7_Type,RD
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,1.214
Pond7Fish2_PondTime,30.149
Pond7Fish2_PondOutcome,14
Pond7Fish2_TotalOutcome,698
Pond7Fish2_TimeLeft,44.417
Pond7_Type,RD
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,0.927
Pond7Fish3_PondTime,36.279
