,5b90b9031bfa0e000164da8d
Pond3Fish5_CatchTime,0.984
Pond3Fish5_PondTime,60.621
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,490
Pond3Fish5_TimeLeft,589.655
Pond3_Type,RD
Pond3Fish6_FishType,gray
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,1.243
Pond3Fish6_PondTime,70.493
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,492
Pond3Fish6_TimeLeft,579.783
Pond3_Type,RD
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.515
Pond3Fish7_PondTime,81.416
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,504
Pond3Fish7_TimeLeft,568.86
Pond3_Type,RD
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,1.52
Pond3Fish8_PondTime,93.777
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,516
Pond3Fish8_TimeLeft,556.499
Pond3_Type,RD
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,10
Pond3Fish9_CatchTime,-1
Pond3Fish9_PondTime,108.198
Pond3Fish9_PondOutcome,86
Pond3Fish9_TotalOutcome,516
Pond3Fish9_TimeLeft,542.078
Pond3_Type,RD
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,12
Pond3Fish10_CatchTime,1.124
Pond3Fish10_PondTime,125.564
Pond3Fish10_PondOutcome,98
Pond3Fish10_TotalOutcome,528
Pond3Fish10_TimeLeft,524.712
Pond3_Type,RD
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,15
Pond3Fish11_CatchTime,1.14
Pond3Fish11_PondTime,147.932
Pond3Fish11_PondOutcome,110
Pond3Fish11_TotalOutcome,540
Pond3Fish11_TimeLeft,502.344
Pond3_Type,RD
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,20
Pond3Fish12_CatchTime,1.834
Pond3Fish12_PondTime,180.441
Pond3Fish12_PondOutcome,122
Pond3Fish12_TotalOutcome,552
Pond3Fish12_TimeLeft,469.835
Pond3_GiveUpTime,37.089
Pond3_PondTime,217.828
Pond3_PondOutcome,122
Pond3_TotalOutcome,552
Pond3_TimeLeft,432.448
Pond1IntroTime,11.657850726041943
Pond1_Type,RD
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.244
Pond1Fish1_PondTime,21.552
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,564
Pond1Fish1_TimeLeft,410.895
Pond1_Type,RD
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.59
Pond1Fish2_PondTime,29.373
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,576
Pond1Fish2_TimeLeft,403.075
Pond1_Type,RD
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.279
Pond1Fish3_PondTime,37.74
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,588
Pond1Fish3_TimeLeft,394.708
Pond1_Type,RD
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.472
Pond1Fish4_PondTime,46.779
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,600
Pond1Fish4_TimeLeft,385.669
Pond1_Type,RD
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.173
Pond1Fish5_PondTime,56.649
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,612
Pond1Fish5_TimeLeft,375.799
Pond1_Type,RD
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.007
Pond1Fish6_PondTime,67.577
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,624
Pond1Fish6_TimeLeft,364.871
Pond1_Type,RD
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.298
Pond1Fish7_PondTime,79.934
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,636
Pond1Fish7_TimeLeft,352.514
Pond1_Type,RD
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,1.592
Pond1Fish8_PondTime,94.297
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,648
Pond1Fish8_TimeLeft,338.151
Pond1_Type,RD
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,12
Pond1Fish9_CatchTime,-1
Pond1Fish9_PondTime,111.707
Pond1Fish9_PondOutcome,96
Pond1Fish9_TotalOutcome,648
Pond1Fish9_TimeLeft,320.741
Pond1_Type,RD
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,15
Pond1Fish10_CatchTime,0.916
Pond1Fish10_PondTime,134.07
Pond1Fish10_PondOutcome,108
Pond1Fish10_TotalOutcome,660
Pond1Fish10_TimeLeft,298.378
Pond1_Type,RD
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,20
Pond1Fish11_CatchTime,1.178
Pond1Fish11_PondTime,166.441
Pond1Fish11_PondOutcome,120
Pond1Fish11_TotalOutcome,672
Pond1Fish11_TimeLeft,266.007
Pond1_Type,RD
Pond1Fish12_FishType,gray
Pond1Fish12_FishLatency,30
Pond1Fish12_CatchTime,1.46
Pond1Fish12_PondTime,228.813
Pond1Fish12_PondOutcome,122
Pond1Fish12_TotalOutcome,674
Pond1Fish12_TimeLeft,203.635
Pond1_Type,RD
Pond1Fish13_FishType,purple
Pond1Fish13_FishLatency,60
Pond1Fish13_CatchTime,1.523
Pond1Fish13_PondTime,231.184
Pond1Fish13_PondOutcome,134
Pond1Fish13_TotalOutcome,686
Pond1Fish13_TimeLeft,201.264
Pond1_GiveUpTime,114.2
Pond1_PondTime,345.518
Pond1_PondOutcome,134
Pond1_TotalOutcome,686
Pond1_TimeLeft,86.93
Pond6IntroTime,13.677420341409743
Pond6_Type,RD
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.034
Pond6Fish1_PondTime,21.899
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,698
Pond6Fish1_TimeLeft,65.03
Pond6_Type,RD
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.094
Pond6Fish2_PondTime,27.795
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,710
Pond6Fish2_TimeLeft,59.135
Pond6_Type,RD
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,-1
Pond6Fish3_PondTime,33.963
Pond6Fish3_PondOutcome,24
Pond6Fish3_TotalOutcome,710
Pond6Fish3_TimeLeft,52.967
Pond6_Type,RD
Pond6Fish4_FishType,gray
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,0.965
Pond6Fish4_PondTime,40.324
Pond6Fish4_PondOutcome,26
Pond6Fish4_TotalOutcome,712
Pond6Fish4_TimeLeft,46.606
Pond6_Type,RD
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.125
Pond6Fish5_PondTime,46.971
Pond6Fish5_PondOutcome,38
Pond6Fish5_TotalOutcome,724
Pond6Fish5_TimeLeft,39.959
Pond6_Type,RD
Pond6Fish6_FishType,gray
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,1.174
Pond6Fish6_PondTime,53.954
Pond6Fish6_PondOutcome,40
Pond6Fish6_TotalOutcome,726
Pond6Fish6_TimeLeft,32.976
Pond6_Type,RD
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.929
Pond6Fish7_PondTime,61.558
Pond6Fish7_PondOutcome,52
Pond6Fish7_TotalOutcome,738
Pond6Fish7_TimeLeft,25.372
Pond6_Type,RD
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.306
Pond6Fish8_PondTime,69.37
Pond6Fish8_PondOutcome,64
Pond6Fish8_TotalOutcome,750
Pond6Fish8_TimeLeft,17.56
Pond6_Type,RD
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,1.309
Pond6Fish9_PondTime,77.739
Pond6Fish9_PondOutcome,76
Pond6Fish9_TotalOutcome,762
Pond6Fish9_TimeLeft,9.191
