,5c54dee4703a5e00016b84ed
Pond9Fish9_CatchTime,0.737
Pond9Fish9_PondTime,82.789
Pond9Fish9_PondOutcome,84
Pond9Fish9_TotalOutcome,232
Pond9Fish9_TimeLeft,945.959
Pond9_Type,RD
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.111
Pond9Fish10_PondTime,91.813
Pond9Fish10_PondOutcome,96
Pond9Fish10_TotalOutcome,244
Pond9Fish10_TimeLeft,936.935
Pond9_Type,RD
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.894
Pond9Fish11_PondTime,101.669
Pond9Fish11_PondOutcome,108
Pond9Fish11_TotalOutcome,256
Pond9Fish11_TimeLeft,927.079
Pond9_Type,RD
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,1.017
Pond9Fish12_PondTime,112.612
Pond9Fish12_PondOutcome,120
Pond9Fish12_TotalOutcome,268
Pond9Fish12_TimeLeft,916.136
Pond9_Type,RD
Pond9Fish13_FishType,gray
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.004
Pond9Fish13_PondTime,126.287
Pond9Fish13_PondOutcome,122
Pond9Fish13_TotalOutcome,270
Pond9Fish13_TimeLeft,902.461
Pond9_Type,RD
Pond9Fish14_FishType,gray
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,0.944
Pond9Fish14_PondTime,140.805
Pond9Fish14_PondOutcome,124
Pond9Fish14_TotalOutcome,272
Pond9Fish14_TimeLeft,887.943
Pond9_Type,RD
Pond9Fish15_FishType,purple
Pond9Fish15_FishLatency,12
Pond9Fish15_CatchTime,1.112
Pond9Fish15_PondTime,158.174
Pond9Fish15_PondOutcome,136
Pond9Fish15_TotalOutcome,284
Pond9Fish15_TimeLeft,870.574
Pond9_Type,RD
Pond9Fish16_FishType,purple
Pond9Fish16_FishLatency,15
Pond9Fish16_CatchTime,-1
Pond9Fish16_PondTime,180.6
Pond9Fish16_PondOutcome,136
Pond9Fish16_TotalOutcome,284
Pond9Fish16_TimeLeft,848.148
Pond9_Type,RD
Pond9Fish17_FishType,purple
Pond9Fish17_FishLatency,20
Pond9Fish17_CatchTime,1.174
Pond9Fish17_PondTime,212.959
Pond9Fish17_PondOutcome,148
Pond9Fish17_TotalOutcome,296
Pond9Fish17_TimeLeft,815.789
Pond9_GiveUpTime,30.108
Pond9_PondTime,242.846
Pond9_PondOutcome,148
Pond9_TotalOutcome,296
Pond9_TimeLeft,785.902
Pond1IntroTime,16.864804273936898
Pond1_Type,RD
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.028
Pond1Fish1_PondTime,26.763
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,308
Pond1Fish1_TimeLeft,759.139
Pond1_Type,RD
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,0.689
Pond1Fish2_PondTime,34.59
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,320
Pond1Fish2_TimeLeft,751.312
Pond1_Type,RD
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,0.947
Pond1Fish3_PondTime,42.948
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,332
Pond1Fish3_TimeLeft,742.954
Pond1_Type,RD
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.657
Pond1Fish4_PondTime,51.975
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,344
Pond1Fish4_TimeLeft,733.927
Pond1_Type,RD
Pond1Fish5_FishType,gray
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.879
Pond1Fish5_PondTime,61.832
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,346
Pond1Fish5_TimeLeft,724.07
Pond1_Type,RD
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,0.835
Pond1Fish6_PondTime,72.771
Pond1Fish6_PondOutcome,62
Pond1Fish6_TotalOutcome,358
Pond1Fish6_TimeLeft,713.131
Pond1_Type,RD
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,0.876
Pond1Fish7_PondTime,85.611
Pond1Fish7_PondOutcome,74
Pond1Fish7_TotalOutcome,370
Pond1Fish7_TimeLeft,700.291
Pond1_Type,RD
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,0.923
Pond1Fish8_PondTime,101.442
Pond1Fish8_PondOutcome,86
Pond1Fish8_TotalOutcome,382
Pond1Fish8_TimeLeft,684.46
Pond1_GiveUpTime,19.167
Pond1_PondTime,118.679
Pond1_PondOutcome,86
Pond1_TotalOutcome,382
Pond1_TimeLeft,667.223
Pond8IntroTime,12.454757739324123
Pond8_Type,RD
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,1.026
Pond8Fish1_PondTime,21.119
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,394
Pond8Fish1_TimeLeft,646.104
Pond8_Type,RD
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,0.817
Pond8Fish2_PondTime,27.478
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,406
Pond8Fish2_TimeLeft,639.744
Pond8_Type,RD
