,56cf6e8d31a5bc0006e1cdf5
Pond4Fish12_TimeLeft,982.901
Pond4_Type,RD
Pond4Fish13_FishType,purple
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,1.323
Pond4Fish13_PondTime,124.209
Pond4Fish13_PondOutcome,156
Pond4Fish13_TotalOutcome,290
Pond4Fish13_TimeLeft,970.482
Pond4_Type,RD
Pond4Fish14_FishType,purple
Pond4Fish14_FishLatency,10
Pond4Fish14_CatchTime,1.502
Pond4Fish14_PondTime,138.624
Pond4Fish14_PondOutcome,168
Pond4Fish14_TotalOutcome,302
Pond4Fish14_TimeLeft,956.068
Pond4_Type,RD
Pond4Fish15_FishType,gray
Pond4Fish15_FishLatency,12
Pond4Fish15_CatchTime,-1
Pond4Fish15_PondTime,156.113
Pond4Fish15_PondOutcome,168
Pond4Fish15_TotalOutcome,302
Pond4Fish15_TimeLeft,938.579
Pond4_Type,RD
Pond4Fish16_FishType,purple
Pond4Fish16_FishLatency,15
Pond4Fish16_CatchTime,1.358
Pond4Fish16_PondTime,178.545
Pond4Fish16_PondOutcome,180
Pond4Fish16_TotalOutcome,314
Pond4Fish16_TimeLeft,916.147
Pond4_GiveUpTime,25.355
Pond4_PondTime,203.848
Pond4_PondOutcome,180
Pond4_TotalOutcome,314
Pond4_TimeLeft,890.844
Pond6IntroTime,13.559058541432023
Pond6_Type,RD
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.688
Pond6Fish1_PondTime,21.887
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,326
Pond6Fish1_TimeLeft,868.957
Pond6_Type,RD
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.587
Pond6Fish2_PondTime,27.847
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,338
Pond6Fish2_TimeLeft,862.996
Pond6_Type,RD
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.671
Pond6Fish3_PondTime,34.011
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,350
Pond6Fish3_TimeLeft,856.833
Pond6_Type,RD
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,1.014
Pond6Fish4_PondTime,40.421
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,362
Pond6Fish4_TimeLeft,850.423
Pond6_Type,RD
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.885
Pond6Fish5_PondTime,47.301
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,374
Pond6Fish5_TimeLeft,843.543
Pond6_Type,RD
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,1.908
Pond6Fish6_PondTime,54.524
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,386
Pond6Fish6_TimeLeft,836.32
Pond6_Type,RD
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.632
Pond6Fish7_PondTime,61.918
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,398
Pond6Fish7_TimeLeft,828.926
Pond6_Type,RD
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.601
Pond6Fish8_PondTime,69.78
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,410
Pond6Fish8_TimeLeft,821.064
Pond6_Type,RD
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,1.126
Pond6Fish9_PondTime,78.205
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,422
Pond6Fish9_TimeLeft,812.639
Pond6_Type,RD
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,1.366
Pond6Fish10_PondTime,87.268
