,5dc3ebd9d0b86f2c8dc18c30
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.063
Pond12Fish4_PondTime,41.961
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,288
Pond12Fish4_TimeLeft,937.793
Pond12_Type,RD
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.027
Pond12Fish5_PondTime,49.776
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,300
Pond12Fish5_TimeLeft,929.978
Pond12_Type,RD
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.305
Pond12Fish6_PondTime,58.143
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,312
Pond12Fish6_TimeLeft,921.611
Pond12_Type,RD
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.276
Pond12Fish7_PondTime,67.176
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,324
Pond12Fish7_TimeLeft,912.578
Pond12_GiveUpTime,1.146
Pond12_PondTime,68.206
Pond12_PondOutcome,84
Pond12_TotalOutcome,324
Pond12_TimeLeft,911.548
Pond6IntroTime,13.413805668242276
Pond6_Type,RD
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,0.955
Pond6Fish1_PondTime,21.638
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,336
Pond6Fish1_TimeLeft,889.91
Pond6_Type,RD
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,0.816
Pond6Fish2_PondTime,27.541
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,348
Pond6Fish2_TimeLeft,884.007
Pond6_Type,RD
Pond6Fish3_FishType,gray
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.403
Pond6Fish3_PondTime,33.669
Pond6Fish3_PondOutcome,26
Pond6Fish3_TotalOutcome,350
Pond6Fish3_TimeLeft,877.879
Pond6_Type,RD
Pond6Fish4_FishType,gray
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,-1
Pond6Fish4_PondTime,40.103
Pond6Fish4_PondOutcome,26
Pond6Fish4_TotalOutcome,350
Pond6Fish4_TimeLeft,871.445
Pond6_Type,RD
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.016
Pond6Fish5_PondTime,46.755
Pond6Fish5_PondOutcome,38
Pond6Fish5_TotalOutcome,362
Pond6Fish5_TimeLeft,864.793
Pond6_Type,RD
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,1.105
Pond6Fish6_PondTime,53.737
Pond6Fish6_PondOutcome,50
Pond6Fish6_TotalOutcome,374
Pond6Fish6_TimeLeft,857.811
Pond6_Type,RD
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.359
Pond6Fish7_PondTime,61.103
Pond6Fish7_PondOutcome,62
Pond6Fish7_TotalOutcome,386
Pond6Fish7_TimeLeft,850.445
Pond6_Type,RD
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.299
Pond6Fish8_PondTime,68.92
Pond6Fish8_PondOutcome,74
Pond6Fish8_TotalOutcome,398
Pond6Fish8_TimeLeft,842.628
Pond6_GiveUpTime,1.112
Pond6_PondTime,69.93
