,5c8e8032b828c80018fde80c
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,338
Pond6Fish7_TimeLeft,907.139
Pond6_Type,RD
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.295
Pond6Fish8_PondTime,71.342
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,350
Pond6Fish8_TimeLeft,899.304
Pond6_Type,RD
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,1.022
Pond6Fish9_PondTime,79.708
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,362
Pond6Fish9_TimeLeft,890.939
Pond6_Type,RD
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,1.035
Pond6Fish10_PondTime,88.738
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,374
Pond6Fish10_TimeLeft,881.908
Pond6_Type,RD
Pond6Fish11_FishType,gray
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,1.151
Pond6Fish11_PondTime,98.607
Pond6Fish11_PondOutcome,122
Pond6Fish11_TotalOutcome,376
Pond6Fish11_TimeLeft,872.04
Pond6_Type,RD
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,1.203
Pond6Fish12_PondTime,109.561
Pond6Fish12_PondOutcome,134
Pond6Fish12_TotalOutcome,388
Pond6Fish12_TimeLeft,861.085
Pond6_Type,RD
Pond6Fish13_FishType,purple
Pond6Fish13_FishLatency,8.571428571428571
Pond6Fish13_CatchTime,1.482
Pond6Fish13_PondTime,121.919
Pond6Fish13_PondOutcome,146
Pond6Fish13_TotalOutcome,400
Pond6Fish13_TimeLeft,848.728
Pond6_GiveUpTime,0.822
Pond6_PondTime,122.823
Pond6_PondOutcome,146
Pond6_TotalOutcome,400
Pond6_TimeLeft,847.824
Pond12IntroTime,13.94403827842325
Pond12_Type,RD
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.225
Pond12Fish1_PondTime,22.839
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,412
Pond12Fish1_TimeLeft,824.985
Pond12_Type,RD
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.285
Pond12Fish2_PondTime,29.502
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,424
Pond12Fish2_TimeLeft,818.322
Pond12_Type,RD
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.286
Pond12Fish3_PondTime,36.484
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,436
Pond12Fish3_TimeLeft,811.34
Pond12_Type,RD
Pond12Fish4_FishType,gray
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.283
Pond12Fish4_PondTime,43.855
Pond12Fish4_PondOutcome,38
Pond12Fish4_TotalOutcome,438
Pond12Fish4_TimeLeft,803.969
Pond12_Type,RD
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.446
Pond12Fish5_PondTime,51.679
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,450
Pond12Fish5_TimeLeft,796.145
Pond12_Type,RD
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.186
Pond12Fish6_PondTime,60.047
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,462
Pond12Fish6_TimeLeft,787.777
Pond12_Type,RD
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.334
Pond12Fish7_PondTime,69.079
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,474
Pond12Fish7_TimeLeft,778.745
Pond12_Type,RD
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,1.389
Pond12Fish8_PondTime,78.966
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,486
Pond12Fish8_TimeLeft,768.858
Pond12_Type,RD
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,1.553
Pond12Fish9_PondTime,89.912
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,498
Pond12Fish9_TimeLeft,757.912
Pond12_Type,RD
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,1.098
Pond12Fish10_PondTime,102.285
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,510
Pond12Fish10_TimeLeft,745.539
Pond12_GiveUpTime,0.934
Pond12_PondTime,102.912
Pond12_PondOutcome,110
Pond12_TotalOutcome,510
Pond12_TimeLeft,744.912
Pond4IntroTime,10.405248524621129
Pond4_Type,RD
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.113
Pond4Fish1_PondTime,18.65
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,522
Pond4Fish1_TimeLeft,726.262
Pond4_Type,RD
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.183
Pond4Fish2_PondTime,24.551
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,534
Pond4Fish2_TimeLeft,720.361
Pond4_Type,RD
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.082
Pond4Fish3_PondTime,30.674
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,546
Pond4Fish3_TimeLeft,714.238
Pond4_Type,RD
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,1.26
Pond4Fish4_PondTime,37.05
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,558
Pond4Fish4_TimeLeft,707.862
Pond4_Type,RD
Pond4Fish5_FishType,gray
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.153
Pond4Fish5_PondTime,43.699
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,560
Pond4Fish5_TimeLeft,701.213
Pond4_Type,RD
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.526
Pond4Fish6_PondTime,50.682
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,572
Pond4Fish6_TimeLeft,694.229
Pond4_Type,RD
Pond4Fish7_FishType,gray
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,1.306
Pond4Fish7_PondTime,58.06
Pond4Fish7_PondOutcome,64
Pond4Fish7_TotalOutcome,574
Pond4Fish7_TimeLeft,686.852
Pond4_Type,RD
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,0.989
Pond4Fish8_PondTime,65.883
Pond4Fish8_PondOutcome,76
Pond4Fish8_TotalOutcome,586
Pond4Fish8_TimeLeft,679.029
Pond4_Type,RD
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,1.6
Pond4Fish9_PondTime,74.249
Pond4Fish9_PondOutcome,88
Pond4Fish9_TotalOutcome,598
Pond4Fish9_TimeLeft,670.663
Pond4_Type,RD
Pond4Fish10_FishType,purple
