,5ccb2a1a3b044800015bc1dc
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.121
Pond3Fish2_PondTime,36.136
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,304
Pond3Fish2_TimeLeft,897.895
Pond3_Type,RD
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.068
Pond3Fish3_PondTime,44.021
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,316
Pond3Fish3_TimeLeft,890.01
Pond3_Type,RD
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,0.951
Pond3Fish4_PondTime,52.402
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,328
Pond3Fish4_TimeLeft,881.629
Pond3_Type,RD
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,1.073
Pond3Fish5_PondTime,61.439
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,340
Pond3Fish5_TimeLeft,872.592
Pond3_Type,RD
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,1.118
Pond3Fish6_PondTime,71.319
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,352
Pond3Fish6_TimeLeft,862.712
Pond3_Type,RD
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.445
Pond3Fish7_PondTime,82.29
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,364
Pond3Fish7_TimeLeft,851.741
Pond3_Type,RD
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,1.069
Pond3Fish8_PondTime,94.673
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,376
Pond3Fish8_TimeLeft,839.357
Pond3_Type,RD
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,10
Pond3Fish9_CatchTime,0.918
Pond3Fish9_PondTime,109.036
Pond3Fish9_PondOutcome,108
Pond3Fish9_TotalOutcome,388
Pond3Fish9_TimeLeft,824.995
Pond3_GiveUpTime,15.835
Pond3_PondTime,124.385
Pond3_PondOutcome,108
Pond3_TotalOutcome,388
Pond3_TimeLeft,809.646
Pond5IntroTime,15.691844993270934
Pond5_Type,RD
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,0.936
Pond5Fish1_PondTime,24.359
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,400
Pond5Fish1_TimeLeft,785.287
Pond5_Type,RD
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,0.579
Pond5Fish2_PondTime,30.725
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,412
Pond5Fish2_TimeLeft,778.921
Pond5_Type,RD
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,1.018
Pond5Fish3_PondTime,37.412
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,424
Pond5Fish3_TimeLeft,772.234
Pond5_Type,RD
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,0.992
Pond5Fish4_PondTime,44.388
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,436
Pond5Fish4_TimeLeft,765.258
Pond5_Type,RD
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,1.031
Pond5Fish5_PondTime,51.792
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,448
Pond5Fish5_TimeLeft,757.854
Pond5_Type,RD
Pond5Fish6_FishType,gray
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,1.028
Pond5Fish6_PondTime,59.612
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,450
Pond5Fish6_TimeLeft,750.034
Pond5_Type,RD
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,1.065
Pond5Fish7_PondTime,68.049
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,462
Pond5Fish7_TimeLeft,741.597
Pond5_Type,RD
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6
Pond5Fish8_CatchTime,1.284
Pond5Fish8_PondTime,77.085
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,474
Pond5Fish8_TimeLeft,732.561
Pond5_Type,RD
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6.666666666666667
Pond5Fish9_CatchTime,0.885
Pond5Fish9_PondTime,86.953
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,486
Pond5Fish9_TimeLeft,722.693
Pond5_Type,RD
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,7.5
Pond5Fish10_CatchTime,0.736
Pond5Fish10_PondTime,97.899
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,498
Pond5Fish10_TimeLeft,711.747
Pond5_Type,RD
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,8.571428571428571
Pond5Fish11_CatchTime,1.081
Pond5Fish11_PondTime,110.261
Pond5Fish11_PondOutcome,122
Pond5Fish11_TotalOutcome,510
Pond5Fish11_TimeLeft,699.385
Pond5_Type,RD
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,10
Pond5Fish12_CatchTime,0.873
Pond5Fish12_PondTime,124.656
Pond5Fish12_PondOutcome,134
Pond5Fish12_TotalOutcome,522
Pond5Fish12_TimeLeft,684.99
Pond5_GiveUpTime,1.551
Pond5_PondTime,125.681
Pond5_PondOutcome,134
Pond5_TotalOutcome,522
Pond5_TimeLeft,683.965
Pond2IntroTime,10.713071718346328
Pond2_Type,RD
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,0.953
Pond2Fish1_PondTime,18.98
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,534
Pond2Fish1_TimeLeft,664.985
Pond2_Type,RD
Pond2Fish2_FishType,gray
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.079
Pond2Fish2_PondTime,24.872
Pond2Fish2_PondOutcome,14
Pond2Fish2_TotalOutcome,536
Pond2Fish2_TimeLeft,659.092
Pond2_Type,RD
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,0.943
Pond2Fish3_PondTime,30.99
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,548
Pond2Fish3_TimeLeft,652.974
Pond2_Type,RD
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,0.797
Pond2Fish4_PondTime,37.377
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,560
Pond2Fish4_TimeLeft,646.588
Pond2_Type,RD
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1.13
Pond2Fish5_PondTime,44.06
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,572
Pond2Fish5_TimeLeft,639.905
Pond2_Type,RD
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.179
Pond2Fish6_PondTime,51.053
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,584
Pond2Fish6_TimeLeft,632.912
Pond2_Type,RD
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,0.867
Pond2Fish7_PondTime,58.456
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,596
Pond2Fish7_TimeLeft,625.508
Pond2_Type,RD
Pond2Fish8_FishType,gray
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.157
Pond2Fish8_PondTime,66.288
Pond2Fish8_PondOutcome,76
Pond2Fish8_TotalOutcome,598
Pond2Fish8_TimeLeft,617.677
Pond2_Type,RD
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,0.829
Pond2Fish9_PondTime,74.684
Pond2Fish9_PondOutcome,88
Pond2Fish9_TotalOutcome,610
Pond2Fish9_TimeLeft,609.281
Pond2_Type,RD
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,1.011
Pond2Fish10_PondTime,83.745
Pond2Fish10_PondOutcome,100
Pond2Fish10_TotalOutcome,622
Pond2Fish10_TimeLeft,600.219
Pond2_Type,RD
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,1.106
Pond2Fish11_PondTime,93.622
Pond2Fish11_PondOutcome,112
Pond2Fish11_TotalOutcome,634
Pond2Fish11_TimeLeft,590.343
Pond2_Type,RD
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,1.164
Pond2Fish12_PondTime,104.618
Pond2Fish12_PondOutcome,124
Pond2Fish12_TotalOutcome,646
Pond2Fish12_TimeLeft,579.347
Pond2_Type,RD
Pond2Fish13_FishType,purple
Pond2Fish13_FishLatency,8.571428571428571
Pond2Fish13_CatchTime,1.184
Pond2Fish13_PondTime,117.014
Pond2Fish13_PondOutcome,136
Pond2Fish13_TotalOutcome,658
Pond2Fish13_TimeLeft,566.951
Pond2_GiveUpTime,0.748
Pond2_PondTime,131.551
Pond2_PondOutcome,136
Pond2_TotalOutcome,658
Pond2_TimeLeft,552.414
Pond8IntroTime,17.28715491015464
Pond8_Type,RD
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,1.051
Pond8Fish1_PondTime,25.932
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,670
Pond8Fish1_TimeLeft,526.482
Pond8_Type,RD
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,0.897
Pond8Fish2_PondTime,32.318
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,682
Pond8Fish2_TimeLeft,520.095
Pond8_Type,RD
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4
Pond8Fish3_CatchTime,0.939
Pond8Fish3_PondTime,38.972
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,694
Pond8Fish3_TimeLeft,513.441
Pond8_Type,RD
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,4.285714285714286
Pond8Fish4_CatchTime,1.143
Pond8Fish4_PondTime,45.973
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,706
Pond8Fish4_TimeLeft,506.441
Pond8_Type,RD
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4.615384615384615
Pond8Fish5_CatchTime,1.042
Pond8Fish5_PondTime,53.339
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,718
Pond8Fish5_TimeLeft,499.074
Pond8_Type,RD
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,5
Pond8Fish6_CatchTime,0.764
Pond8Fish6_PondTime,61.18
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,730
Pond8Fish6_TimeLeft,491.234
Pond8_Type,RD
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,5.454545454545454
Pond8Fish7_CatchTime,0.714
Pond8Fish7_PondTime,69.573
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,742
Pond8Fish7_TimeLeft,482.841
Pond8_Type,RD
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,6
Pond8Fish8_CatchTime,0.949
Pond8Fish8_PondTime,78.611
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,754
Pond8Fish8_TimeLeft,473.803
Pond8_Type,RD
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,6.666666666666667
Pond8Fish9_CatchTime,1.256
Pond8Fish9_PondTime,88.496
Pond8Fish9_PondOutcome,108
Pond8Fish9_TotalOutcome,766
Pond8Fish9_TimeLeft,463.918
Pond8_Type,RD
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,7.5
Pond8Fish10_CatchTime,0.76
Pond8Fish10_PondTime,99.471
Pond8Fish10_PondOutcome,120
Pond8Fish10_TotalOutcome,778
Pond8Fish10_TimeLeft,452.942
Pond8_GiveUpTime,0.491
Pond8_PondTime,111.888
Pond8_PondOutcome,120
Pond8_TotalOutcome,778
Pond8_TimeLeft,440.526
Pond9IntroTime,18.88301308033988
Pond9_Type,RD
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.192
Pond9Fish1_PondTime,27.144
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,790
Pond9Fish1_TimeLeft,413.382
Pond9_Type,RD
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.928
Pond9Fish2_PondTime,33.037
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,802
Pond9Fish2_TimeLeft,407.489
Pond9_Type,RD
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.783
Pond9Fish3_PondTime,39.16
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,814
Pond9Fish3_TimeLeft,401.366
Pond9_Type,RD
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.949
Pond9Fish4_PondTime,45.546
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,826
Pond9Fish4_TimeLeft,394.98
Pond9_Type,RD
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.694
Pond9Fish5_PondTime,52.208
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,838
Pond9Fish5_TimeLeft,388.317
Pond9_Type,RD
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.042
Pond9Fish6_PondTime,59.19
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,850
Pond9Fish6_TimeLeft,381.336
Pond9_Type,RD
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.046
Pond9Fish7_PondTime,66.56
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,862
Pond9Fish7_TimeLeft,373.966
Pond9_Type,RD
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,0.729
Pond9Fish8_PondTime,74.384
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,874
Pond9Fish8_TimeLeft,366.142
Pond9_Type,RD
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.145
Pond9Fish9_PondTime,82.76
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,886
Pond9Fish9_TimeLeft,357.766
Pond9_Type,RD
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,0.926
Pond9Fish10_PondTime,91.8
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,898
Pond9Fish10_TimeLeft,348.725
Pond9_Type,RD
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.98
Pond9Fish11_PondTime,101.707
Pond9Fish11_PondOutcome,132
Pond9Fish11_TotalOutcome,910
Pond9Fish11_TimeLeft,338.819
Pond9_Type,RD
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,0.794
Pond9Fish12_PondTime,112.701
Pond9Fish12_PondOutcome,144
Pond9Fish12_TotalOutcome,922
Pond9Fish12_TimeLeft,327.824
Pond9_Type,RD
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,0.838
Pond9Fish13_PondTime,125.106
Pond9Fish13_PondOutcome,156
Pond9Fish13_TotalOutcome,934
Pond9Fish13_TimeLeft,315.42
Pond9_Type,RD
Pond9Fish14_FishType,purple
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,1.571
Pond9Fish14_PondTime,139.473
Pond9Fish14_PondOutcome,168
Pond9Fish14_TotalOutcome,946
Pond9Fish14_TimeLeft,301.053
Pond9_Type,RD
Pond9Fish15_FishType,purple
Pond9Fish15_FishLatency,12
Pond9Fish15_CatchTime,1.057
Pond9Fish15_PondTime,156.875
Pond9Fish15_PondOutcome,180
Pond9Fish15_TotalOutcome,958
Pond9Fish15_TimeLeft,283.651
Pond9_GiveUpTime,0.429
Pond9_PondTime,179.222
Pond9_PondOutcome,180
Pond9_TotalOutcome,958
Pond9_TimeLeft,261.304
Pond12IntroTime,14.261928454507142
Pond12_Type,RD
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.943
Pond12Fish1_PondTime,23.195
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,970
Pond12Fish1_TimeLeft,238.108
Pond12_Type,RD
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.007
Pond12Fish2_PondTime,29.863
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,982
Pond12Fish2_TimeLeft,231.44
Pond12_Type,RD
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,0.756
Pond12Fish3_PondTime,36.876
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,994
Pond12Fish3_TimeLeft,224.427
Pond12_Type,RD
Pond12Fish4_FishType,purple
