,5c4dd1ad620ba700010c3ff2
Pond2Fish8_FishLatency,8.571428571428571
Pond2Fish8_CatchTime,1.126
Pond2Fish8_PondTime,95.005
Pond2Fish8_PondOutcome,90
Pond2Fish8_TotalOutcome,680
Pond2Fish8_TimeLeft,133.135
Pond2_Type,RT
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,10
Pond2Fish9_CatchTime,1.434
Pond2Fish9_PondTime,109.383
Pond2Fish9_PondOutcome,100
Pond2Fish9_TotalOutcome,690
Pond2Fish9_TimeLeft,118.756
Pond2_Type,RT
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,12
Pond2Fish10_CatchTime,1.135
Pond2Fish10_PondTime,126.751
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,700
Pond2Fish10_TimeLeft,101.389
Pond2_GiveUpTime,0.972
Pond2_PondTime,127.464
Pond2_PondOutcome,110
Pond2_TotalOutcome,700
Pond2_TimeLeft,100.676
Pond1IntroTime,19.19296671403572
Pond1_Type,RT
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,-1
Pond1Fish1_PondTime,29.613
Pond1Fish1_PondOutcome,0
Pond1Fish1_TotalOutcome,700
Pond1Fish1_TimeLeft,71.063
Pond1_Type,RT
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.284
Pond1Fish2_PondTime,37.985
Pond1Fish2_PondOutcome,10
Pond1Fish2_TotalOutcome,710
Pond1Fish2_TimeLeft,62.691
Pond1_Type,RT
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.313
Pond1Fish3_PondTime,47.029
Pond1Fish3_PondOutcome,20
Pond1Fish3_TotalOutcome,720
Pond1Fish3_TimeLeft,53.647
Pond1_Type,RT
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.285
Pond1Fish4_PondTime,56.904
Pond1Fish4_PondOutcome,30
Pond1Fish4_TotalOutcome,730
Pond1Fish4_TimeLeft,43.772
Pond1_Type,RT
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.201
Pond1Fish5_PondTime,67.837
Pond1Fish5_PondOutcome,40
Pond1Fish5_TotalOutcome,740
Pond1Fish5_TimeLeft,32.839
Pond1_Type,RT
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,1.204
Pond1Fish6_PondTime,80.203
Pond1Fish6_PondOutcome,50
Pond1Fish6_TotalOutcome,750
Pond1Fish6_TimeLeft,20.473
Pond1_Type,RT
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,2.041
Pond1Fish7_PondTime,94.643
Pond1Fish7_PondOutcome,60
Pond1Fish7_TotalOutcome,760
Pond1Fish7_TimeLeft,6.033
