,5d5a8f6838501c0017eff626
Pond3Fish12_TimeLeft,814.378
Pond3_GiveUpTime,0.631
Pond3_PondTime,121.697
Pond3_PondOutcome,150
Pond3_TotalOutcome,400
Pond3_TimeLeft,801.8
Pond12IntroTime,19.079129609744996
Pond12_Type,RT
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.839
Pond12Fish1_PondTime,28.264
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,410
Pond12Fish1_TimeLeft,773.536
Pond12_Type,RT
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.824
Pond12Fish2_PondTime,35.381
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,420
Pond12Fish2_TimeLeft,766.419
Pond12_Type,RT
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.744
Pond12Fish3_PondTime,42.752
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,430
Pond12Fish3_TimeLeft,759.048
Pond12_Type,RT
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.989
Pond12Fish4_PondTime,50.571
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,440
Pond12Fish4_TimeLeft,751.229
Pond12_Type,RT
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.663
Pond12Fish5_PondTime,58.929
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,450
Pond12Fish5_TimeLeft,742.871
Pond12_Type,RT
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.667
Pond12Fish6_PondTime,67.968
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,460
Pond12Fish6_TimeLeft,733.832
Pond12_Type,RT
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,1.084
Pond12Fish7_PondTime,77.825
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,470
Pond12Fish7_TimeLeft,723.975
Pond12_Type,RT
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,0.657
Pond12Fish8_PondTime,88.78
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,480
Pond12Fish8_TimeLeft,713.02
Pond12_GiveUpTime,0.722
Pond12_PondTime,101.388
Pond12_PondOutcome,80
Pond12_TotalOutcome,480
Pond12_TimeLeft,700.412
Pond9IntroTime,16.114057558588684
Pond9_Type,RT
Pond9Fish1_FishType,golden
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,0.965
Pond9Fish1_PondTime,24.763
Pond9Fish1_PondOutcome,20
Pond9Fish1_TotalOutcome,500
Pond9Fish1_TimeLeft,675.649
Pond9_Type,RT
Pond9Fish2_FishType,golden
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.723
Pond9Fish2_PondTime,31.127
Pond9Fish2_PondOutcome,40
Pond9Fish2_TotalOutcome,520
Pond9Fish2_TimeLeft,669.284
Pond9_Type,RT
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.726
Pond9Fish3_PondTime,37.791
Pond9Fish3_PondOutcome,50
Pond9Fish3_TotalOutcome,530
Pond9Fish3_TimeLeft,662.621
Pond9_Type,RT
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,1.179
Pond9Fish4_PondTime,44.774
Pond9Fish4_PondOutcome,60
Pond9Fish4_TotalOutcome,540
Pond9Fish4_TimeLeft,655.638
Pond9_Type,RT
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.687
Pond9Fish5_PondTime,52.158
Pond9Fish5_PondOutcome,70
Pond9Fish5_TotalOutcome,550
Pond9Fish5_TimeLeft,648.254
Pond9_Type,RT
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,0.992
Pond9Fish6_PondTime,59.977
Pond9Fish6_PondOutcome,80
Pond9Fish6_TotalOutcome,560
Pond9Fish6_TimeLeft,640.435
Pond9_Type,RT
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,1.274
