,5d5a8f6838501c0017eff626
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,0.962
Pond1Fish5_PondTime,61.17
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,960
Pond1Fish5_TimeLeft,197.416
Pond1_Type,RT
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,0.722
Pond1Fish6_PondTime,73.543
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,970
Pond1Fish6_TimeLeft,185.043
Pond1_GiveUpTime,0.551
Pond1_PondTime,87.737
Pond1_PondOutcome,70
Pond1_TotalOutcome,970
Pond1_TimeLeft,170.849
Pond8IntroTime,13.571871472522616
Pond8_Type,RT
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,0.885
Pond8Fish1_PondTime,23.934
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,980
Pond8Fish1_TimeLeft,146.915
Pond8_Type,RT
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,0.875
Pond8Fish2_PondTime,32.318
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,990
Pond8Fish2_TimeLeft,138.531
Pond8_Type,RT
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,0.914
Pond8Fish3_PondTime,41.354
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,1000
Pond8Fish3_TimeLeft,129.495
Pond8_Type,RT
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,0.746
Pond8Fish4_PondTime,51.216
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,1010
Pond8Fish4_TimeLeft,119.633
Pond8_Type,RT
Pond8Fish5_FishType,golden
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,0.552
Pond8Fish5_PondTime,62.146
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,1030
Pond8Fish5_TimeLeft,108.703
Pond8_Type,RT
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,1.292
Pond8Fish6_PondTime,74.514
Pond8Fish6_PondOutcome,70
Pond8Fish6_TotalOutcome,1040
Pond8Fish6_TimeLeft,96.335
Pond8_Type,RT
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,1.008
Pond8Fish7_PondTime,88.883
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,1050
Pond8Fish7_TimeLeft,81.966
Pond8_Type,RT
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,12
Pond8Fish8_CatchTime,0.933
Pond8Fish8_PondTime,106.244
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,1060
Pond8Fish8_TimeLeft,64.605
Pond8_Type,RT
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,15
Pond8Fish9_CatchTime,0.663
Pond8Fish9_PondTime,128.606
Pond8Fish9_PondOutcome,100
Pond8Fish9_TotalOutcome,1070
Pond8Fish9_TimeLeft,42.243
Pond8_Type,RT
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,20
Pond8Fish10_CatchTime,1.592
Pond8Fish10_PondTime,160.968
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,1080
Pond8Fish10_TimeLeft,9.881
Pond8_GiveUpTime,0.606
Pond8_PondTime,161.768
Pond8_PondOutcome,110
Pond8_TotalOutcome,1080
Pond8_TimeLeft,9.081
Pond2IntroTime,18.839371462818235
