,5c3246aa23f1c60001a6b6df
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,20
Pond6Fish12_CatchTime,1.363
Pond6Fish12_PondTime,175.753
Pond6Fish12_PondOutcome,130
Pond6Fish12_TotalOutcome,290
Pond6Fish12_TimeLeft,801.485
Pond6_GiveUpTime,42.377
Pond6_PondTime,218.095
Pond6_PondOutcome,130
Pond6_TotalOutcome,290
Pond6_TimeLeft,759.143
Pond12IntroTime,18.166353865526617
Pond12_Type,RT
Pond12Fish1_FishType,golden
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.75
Pond12Fish1_PondTime,27.393
Pond12Fish1_PondOutcome,20
Pond12Fish1_TotalOutcome,310
Pond12Fish1_TimeLeft,731.75
Pond12_Type,RT
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.376
Pond12Fish2_PondTime,34.416
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,320
Pond12Fish2_TimeLeft,724.727
Pond12_Type,RT
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.795
Pond12Fish3_PondTime,41.823
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,330
Pond12Fish3_TimeLeft,717.32
Pond12_Type,RT
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.659
Pond12Fish4_PondTime,49.662
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,340
Pond12Fish4_TimeLeft,709.481
Pond12_Type,RT
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,1.167
Pond12Fish5_PondTime,58.083
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,350
Pond12Fish5_TimeLeft,701.06
Pond12_Type,RT
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.943
Pond12Fish6_PondTime,67.153
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,360
Pond12Fish6_TimeLeft,691.99
Pond12_Type,RT
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.916
Pond12Fish7_PondTime,77.084
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,370
Pond12Fish7_TimeLeft,682.059
Pond12_Type,RT
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,0.679
Pond12Fish8_PondTime,88.055
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,380
Pond12Fish8_TimeLeft,671.088
Pond12_Type,RT
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,1.006
Pond12Fish9_PondTime,100.429
Pond12Fish9_PondOutcome,100
Pond12Fish9_TotalOutcome,390
Pond12Fish9_TimeLeft,658.714
Pond12_Type,RT
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,0.884
Pond12Fish10_PondTime,114.833
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,400
Pond12Fish10_TimeLeft,644.31
Pond12_Type,RT
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,12
Pond12Fish11_CatchTime,0.872
Pond12Fish11_PondTime,132.273
Pond12Fish11_PondOutcome,120
Pond12Fish11_TotalOutcome,410
Pond12Fish11_TimeLeft,626.87
Pond12_Type,RT
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,15
Pond12Fish12_CatchTime,1.256
Pond12Fish12_PondTime,154.663
Pond12Fish12_PondOutcome,130
Pond12Fish12_TotalOutcome,420
Pond12Fish12_TimeLeft,604.48
Pond12_Type,RT
Pond12Fish13_FishType,blue
Pond12Fish13_FishLatency,20
Pond12Fish13_CatchTime,0.98
Pond12Fish13_PondTime,187.053
Pond12Fish13_PondOutcome,140
Pond12Fish13_TotalOutcome,430
Pond12Fish13_TimeLeft,572.09
Pond12_GiveUpTime,46.123
Pond12_PondTime,232.753
Pond12_PondOutcome,140
Pond12_TotalOutcome,430
Pond12_TimeLeft,526.39
Pond2IntroTime,11.101612937636673
Pond2_Type,RT
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,0.845
Pond2Fish1_PondTime,20.625
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,440
Pond2Fish1_TimeLeft,505.765
Pond2_Type,RT
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,0.936
