,578b4394ad1a6c0001466a6d
Pond5Fish3_PondTime,39.38
Pond5Fish3_PondOutcome,40
Pond5Fish3_TotalOutcome,370
Pond5Fish3_TimeLeft,807.405
Pond5_Type,RT
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.772
Pond5Fish4_PondTime,45.767
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,380
Pond5Fish4_TimeLeft,801.018
Pond5_Type,RT
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,1.109
Pond5Fish5_PondTime,52.454
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,390
Pond5Fish5_TimeLeft,794.331
Pond5_Type,RT
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,1.112
Pond5Fish6_PondTime,59.466
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,400
Pond5Fish6_TimeLeft,787.319
Pond5_Type,RT
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,0.731
Pond5Fish7_PondTime,66.868
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,410
Pond5Fish7_TimeLeft,779.917
Pond5_GiveUpTime,1.199
Pond5_PondTime,67.397
Pond5_PondOutcome,80
Pond5_TotalOutcome,410
Pond5_TimeLeft,779.388
Pond4IntroTime,10.507697206921875
Pond4_Type,RT
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.672
Pond4Fish1_PondTime,19.187
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,420
Pond4Fish1_TimeLeft,760.201
Pond4_Type,RT
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.601
Pond4Fish2_PondTime,25.581
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,430
Pond4Fish2_TimeLeft,753.807
Pond4_Type,RT
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,0.91
Pond4Fish3_PondTime,32.297
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,440
Pond4Fish3_TimeLeft,747.091
Pond4_Type,RT
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.914
Pond4Fish4_PondTime,39.319
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,450
Pond4Fish4_TimeLeft,740.069
Pond4_Type,RT
Pond4Fish5_FishType,golden
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,0.551
