,5b552bd8c09af90001f15749
Pond4Fish12_FishLatency,10
Pond4Fish12_CatchTime,1.215
Pond4Fish12_PondTime,126.367
Pond4Fish12_PondOutcome,140
Pond4Fish12_TotalOutcome,510
Pond4Fish12_TimeLeft,638.246
Pond4_GiveUpTime,2.635
Pond4_PondTime,128.815
Pond4_PondOutcome,140
Pond4_TotalOutcome,510
Pond4_TimeLeft,635.797
Pond5IntroTime,13.53471475187689
Pond5_Type,RT
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,1.765
Pond5Fish1_PondTime,21.831
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,520
Pond5Fish1_TimeLeft,613.966
Pond5_Type,RT
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,-1
Pond5Fish2_PondTime,27.798
Pond5Fish2_PondOutcome,10
Pond5Fish2_TotalOutcome,520
Pond5Fish2_TimeLeft,607.999
Pond5_Type,RT
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.707
Pond5Fish3_PondTime,33.913
Pond5Fish3_PondOutcome,20
Pond5Fish3_TotalOutcome,530
Pond5Fish3_TimeLeft,601.884
Pond5_Type,RT
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.969
Pond5Fish4_PondTime,40.28
Pond5Fish4_PondOutcome,30
Pond5Fish4_TotalOutcome,540
Pond5Fish4_TimeLeft,595.517
Pond5_Type,RT
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,1.179
Pond5Fish5_PondTime,46.931
Pond5Fish5_PondOutcome,40
Pond5Fish5_TotalOutcome,550
Pond5Fish5_TimeLeft,588.865
Pond5_Type,RT
Pond5Fish6_FishType,golden
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,1.01
Pond5Fish6_PondTime,53.914
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,570
Pond5Fish6_TimeLeft,581.883
Pond5_Type,RT
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,1.251
Pond5Fish7_PondTime,61.279
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,580
Pond5Fish7_TimeLeft,574.518
Pond5_Type,RT
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,2.027
Pond5Fish8_PondTime,69.146
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,590
Pond5Fish8_TimeLeft,566.651
Pond5_Type,RT
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,1.541
Pond5Fish9_PondTime,77.513
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,600
Pond5Fish9_TimeLeft,558.284
Pond5_Type,RT
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,1.395
Pond5Fish10_PondTime,86.545
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,610
Pond5Fish10_TimeLeft,549.252
Pond5_Type,RT
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,1.316
Pond5Fish11_PondTime,96.412
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,620
Pond5Fish11_TimeLeft,539.385
Pond5_Type,RT
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,1.567
Pond5Fish12_PondTime,107.343
Pond5Fish12_PondOutcome,120
Pond5Fish12_TotalOutcome,630
Pond5Fish12_TimeLeft,528.454
Pond5_Type,RT
Pond5Fish13_FishType,blue
Pond5Fish13_FishLatency,8.571428571428571
Pond5Fish13_CatchTime,1.509
Pond5Fish13_PondTime,119.71
Pond5Fish13_PondOutcome,130
Pond5Fish13_TotalOutcome,640
Pond5Fish13_TimeLeft,516.086
Pond5_Type,RT
Pond5Fish14_FishType,blue
Pond5Fish14_FishLatency,10
Pond5Fish14_CatchTime,1.358
Pond5Fish14_PondTime,134.075
Pond5Fish14_PondOutcome,140
Pond5Fish14_TotalOutcome,650
Pond5Fish14_TimeLeft,501.722
Pond5_GiveUpTime,1.013
Pond5_PondTime,135.054
Pond5_PondOutcome,140
Pond5_TotalOutcome,650
Pond5_TimeLeft,500.743
Pond2IntroTime,13.739360093604773
Pond2_Type,RT
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,0.968
Pond2Fish1_PondTime,23.239
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,660
Pond2Fish1_TimeLeft,477.504
Pond2_Type,RT
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,1.466
Pond2Fish2_PondTime,30.603
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,670
Pond2Fish2_TimeLeft,470.14
Pond2_Type,RT
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,1.56
Pond2Fish3_PondTime,38.421
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,680
Pond2Fish3_TimeLeft,462.322
Pond2_Type,RT
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,1.333
Pond2Fish4_PondTime,46.786
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,690
Pond2Fish4_TimeLeft,453.957
Pond2_Type,RT
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,1.242
Pond2Fish5_PondTime,55.819
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,700
Pond2Fish5_TimeLeft,444.924
Pond2_Type,RT
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,1.326
Pond2Fish6_PondTime,65.685
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,710
Pond2Fish6_TimeLeft,435.058
Pond2_Type,RT
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,7.5
Pond2Fish7_CatchTime,1.543
Pond2Fish7_PondTime,76.617
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,720
Pond2Fish7_TimeLeft,424.126
Pond2_Type,RT
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,8.571428571428571
Pond2Fish8_CatchTime,1.304
Pond2Fish8_PondTime,88.983
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,730
Pond2Fish8_TimeLeft,411.759
Pond2_Type,RT
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,10
Pond2Fish9_CatchTime,1.598
Pond2Fish9_PondTime,103.351
Pond2Fish9_PondOutcome,90
Pond2Fish9_TotalOutcome,740
Pond2Fish9_TimeLeft,397.392
Pond2_Type,RT
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,12
Pond2Fish10_CatchTime,1.6
Pond2Fish10_PondTime,120.716
Pond2Fish10_PondOutcome,100
Pond2Fish10_TotalOutcome,750
Pond2Fish10_TimeLeft,380.027
Pond2_GiveUpTime,1.399
Pond2_PondTime,122.314
Pond2_PondOutcome,100
Pond2_TotalOutcome,750
Pond2_TimeLeft,378.429
