,5b130d21444cef0001cadec7
Pond3IntroTime,15.597004969604313
Pond3_Type,RT
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,0.569
Pond3Fish1_PondTime,23.85
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,330
Pond3Fish1_TimeLeft,869.151
Pond3_Type,RT
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,0.594
Pond3Fish2_PondTime,29.747
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,340
Pond3Fish2_TimeLeft,863.254
Pond3_Type,RT
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.737
Pond3Fish3_PondTime,35.858
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,350
Pond3Fish3_TimeLeft,857.143
Pond3_Type,RT
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,0.696
Pond3Fish4_PondTime,42.218
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,360
Pond3Fish4_TimeLeft,850.783
Pond3_Type,RT
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,1.114
Pond3Fish5_PondTime,48.862
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,370
Pond3Fish5_TimeLeft,844.139
Pond3_Type,RT
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,0.536
Pond3Fish6_PondTime,55.841
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,380
Pond3Fish6_TimeLeft,837.16
Pond3_Type,RT
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.712
Pond3Fish7_PondTime,63.203
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,390
Pond3Fish7_TimeLeft,829.797
Pond3_Type,RT
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.5
Pond3Fish8_PondTime,71.026
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,400
Pond3Fish8_TimeLeft,821.974
Pond3_Type,RT
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,1.504
Pond3Fish9_PondTime,79.386
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,410
Pond3Fish9_TimeLeft,813.615
Pond3_Type,RT
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,0.883
Pond3Fish10_PondTime,88.413
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,420
Pond3Fish10_TimeLeft,804.587
Pond3_Type,RT
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,0.987
Pond3Fish11_PondTime,98.288
Pond3Fish11_PondOutcome,110
Pond3Fish11_TotalOutcome,430
Pond3Fish11_TimeLeft,794.713
Pond3_Type,RT
Pond3Fish12_FishType,blue
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,1.068
Pond3Fish12_PondTime,109.23
Pond3Fish12_PondOutcome,120
Pond3Fish12_TotalOutcome,440
Pond3Fish12_TimeLeft,783.77
Pond3_Type,RT
Pond3Fish13_FishType,blue
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,0.714
Pond3Fish13_PondTime,121.591
Pond3Fish13_PondOutcome,130
Pond3Fish13_TotalOutcome,450
Pond3Fish13_TimeLeft,771.41
Pond3_GiveUpTime,0.287
Pond3_PondTime,135.824
Pond3_PondOutcome,130
Pond3_TotalOutcome,450
Pond3_TimeLeft,757.177
Pond1IntroTime,15.521576788742095
Pond1_Type,RT
Pond1Fish1_FishType,golden
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,0.686
Pond1Fish1_PondTime,25.895
Pond1Fish1_PondOutcome,20
Pond1Fish1_TotalOutcome,470
Pond1Fish1_TimeLeft,731.282
Pond1_Type,RT
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,0.637
Pond1Fish2_PondTime,34.257
Pond1Fish2_PondOutcome,30
Pond1Fish2_TotalOutcome,480
Pond1Fish2_TimeLeft,722.92
Pond1_Type,RT
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,0.607
Pond1Fish3_PondTime,43.286
Pond1Fish3_PondOutcome,40
Pond1Fish3_TotalOutcome,490
Pond1Fish3_TimeLeft,713.891
Pond1_Type,RT
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,0.664
Pond1Fish4_PondTime,53.157
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,500
Pond1Fish4_TimeLeft,704.02
Pond1_Type,RT
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,0.839
Pond1Fish5_PondTime,64.098
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,510
Pond1Fish5_TimeLeft,693.079
Pond1_Type,RT
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,0.643
Pond1Fish6_PondTime,76.474
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,520
Pond1Fish6_TimeLeft,680.703
Pond1_Type,RT
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,0.571
Pond1Fish7_PondTime,90.842
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,530
Pond1Fish7_TimeLeft,666.335
Pond1_Type,RT
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,12
Pond1Fish8_CatchTime,0.81
Pond1Fish8_PondTime,108.212
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,540
Pond1Fish8_TimeLeft,648.964
Pond1_GiveUpTime,0.287
Pond1_PondTime,130.38
Pond1_PondOutcome,90
Pond1_TotalOutcome,540
Pond1_TimeLeft,626.797
Pond11IntroTime,14.242342221550643
Pond11_Type,RT
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,0.861
Pond11Fish1_PondTime,23.793
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,550
Pond11Fish1_TimeLeft,603.003
Pond11_Type,RT
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,0.893
Pond11Fish2_PondTime,31.154
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,560
Pond11Fish2_TimeLeft,595.643
Pond11_Type,RT
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,0.913
Pond11Fish3_PondTime,38.964
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,570
Pond11Fish3_TimeLeft,587.833
Pond11_Type,RT
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,0.941
Pond11Fish4_PondTime,47.326
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,580
Pond11Fish4_TimeLeft,579.471
Pond11_Type,RT
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,1.301
Pond11Fish5_PondTime,56.349
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,590
Pond11Fish5_TimeLeft,570.448
Pond11_Type,RT
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,0.925
Pond11Fish6_PondTime,66.208
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,600
Pond11Fish6_TimeLeft,560.589
Pond11_Type,RT
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,0.89
Pond11Fish7_PondTime,77.149
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,610
Pond11Fish7_TimeLeft,549.648
Pond11_Type,RT
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,1.047
Pond11Fish8_PondTime,89.508
Pond11Fish8_PondOutcome,80
Pond11Fish8_TotalOutcome,620
Pond11Fish8_TimeLeft,537.289
Pond11_Type,RT
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,10
Pond11Fish9_CatchTime,0.946
Pond11Fish9_PondTime,103.878
Pond11Fish9_PondOutcome,90
Pond11Fish9_TotalOutcome,630
Pond11Fish9_TimeLeft,522.919
Pond11_GiveUpTime,0.103
Pond11_PondTime,120.764
Pond11_PondOutcome,90
Pond11_TotalOutcome,630
Pond11_TimeLeft,506.033
Pond6IntroTime,17.725935752969235
Pond6_Type,RT
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,0.96
Pond6Fish1_PondTime,27.293
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,640
Pond6Fish1_TimeLeft,478.74
Pond6_Type,RT
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,0.743
Pond6Fish2_PondTime,34.657
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,650
Pond6Fish2_TimeLeft,471.376
Pond6_Type,RT
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,0.874
Pond6Fish3_PondTime,42.482
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,660
Pond6Fish3_TimeLeft,463.551
Pond6_Type,RT
Pond6Fish4_FishType,golden
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.686
Pond6Fish4_PondTime,50.84
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,680
Pond6Fish4_TimeLeft,455.193
Pond6_Type,RT
Pond6Fish5_FishType,golden
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,0.743
Pond6Fish5_PondTime,59.867
Pond6Fish5_PondOutcome,70
Pond6Fish5_TotalOutcome,700
Pond6Fish5_TimeLeft,446.166
Pond6_Type,RT
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,0.734
Pond6Fish6_PondTime,69.725
Pond6Fish6_PondOutcome,80
Pond6Fish6_TotalOutcome,710
Pond6Fish6_TimeLeft,436.308
Pond6_Type,RT
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,0.961
