,5c840aedbad8fb000106cb44
Pond8Fish5_TotalOutcome,334
Pond8Fish5_TimeLeft,816.218
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,0.606
Pond8Fish6_PondTime,45.613
Pond8Fish6_PondOutcome,62
Pond8Fish6_TotalOutcome,346
Pond8Fish6_TimeLeft,807.85
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,0.612
Pond8Fish7_PondTime,54.636
Pond8Fish7_PondOutcome,74
Pond8Fish7_TotalOutcome,358
Pond8Fish7_TimeLeft,798.827
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,0.65
Pond8Fish8_PondTime,64.5
Pond8Fish8_PondOutcome,86
Pond8Fish8_TotalOutcome,370
Pond8Fish8_TimeLeft,788.963
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,1.464
Pond8Fish9_PondTime,75.429
Pond8Fish9_PondOutcome,98
Pond8Fish9_TotalOutcome,382
Pond8Fish9_TimeLeft,778.034
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,gray
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,0.814
Pond8Fish10_PondTime,87.79
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,384
Pond8Fish10_TimeLeft,765.673
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,0.706
PondTime,101.904
TimeLeft,751.057
PondOutcome,100
TotalOutcome,384
PondStart,PondStart
PondIntroTime,18.454443241935223
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,0.729
Pond5Fish1_PondTime,9.723
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,396
Pond5Fish1_TimeLeft,722.267
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.468
Pond5Fish2_PondTime,18.092
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,408
Pond5Fish2_TimeLeft,713.898
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,1.617
Pond5Fish3_PondTime,27.114
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,420
Pond5Fish3_TimeLeft,704.876
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,gray
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,1.593
Pond5Fish4_PondTime,36.979
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,422
Pond5Fish4_TimeLeft,695.011
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,0.618
Pond5Fish5_PondTime,47.91
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,434
Pond5Fish5_TimeLeft,684.08
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,1.459
Pond5Fish6_PondTime,60.269
