,5c097d961907db0001601f67
Pond7Fish6_TimeLeft,473.673
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,10
Pond7Fish7_CatchTime,1.409
Pond7Fish7_PondTime,78.972
Pond7Fish7_PondOutcome,64
Pond7Fish7_TotalOutcome,518
Pond7Fish7_TimeLeft,459.267
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,12
Pond7Fish8_CatchTime,1.186
Pond7Fish8_PondTime,98.006
Pond7Fish8_PondOutcome,76
Pond7Fish8_TotalOutcome,530
Pond7Fish8_TimeLeft,440.233
Type,RD
FishN,18
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,15
Pond7Fish9_CatchTime,1.086
Pond7Fish9_PondTime,124.006
Pond7Fish9_PondOutcome,88
Pond7Fish9_TotalOutcome,542
Pond7Fish9_TimeLeft,414.233
Type,RD
FishN,18
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,20
Pond7Fish10_CatchTime,1.009
Pond7Fish10_PondTime,158.19
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,554
Pond7Fish10_TimeLeft,380.049
PondEnd_LastFish,10
FishN,12
Type,RD
GiveUpTime,41.215
PondTime,198.605
TimeLeft,339.131
PondOutcome,100
TotalOutcome,554
PondStart,PondStart
PondIntroTime,13.65751063451171
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,0.665
Pond9Fish1_PondTime,8.098
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,566
Pond9Fish1_TimeLeft,315.122
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,0.884
Pond9Fish2_PondTime,14.232
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,578
Pond9Fish2_TimeLeft,308.988
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,0.851
Pond9Fish3_PondTime,20.603
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,590
Pond9Fish3_TimeLeft,302.617
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,0.752
Pond9Fish4_PondTime,27.265
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,602
Pond9Fish4_TimeLeft,295.955
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,0.985
Pond9Fish5_PondTime,34.247
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,614
Pond9Fish5_TimeLeft,288.973
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,0.627
Pond9Fish6_PondTime,41.613
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,626
Pond9Fish6_TimeLeft,281.607
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,0.906
Pond9Fish7_PondTime,49.449
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,638
Pond9Fish7_TimeLeft,273.771
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,5.454545454545454
Pond9Fish8_CatchTime,1.123
Pond9Fish8_PondTime,57.831
Pond9Fish8_PondOutcome,96
