,5e13361697234b9785ef3f81
Pond5Fish7_CatchTime,1.535
Pond5Fish7_PondTime,62.554
Pond5Fish7_PondOutcome,50
Pond5Fish7_TotalOutcome,332
Pond5Fish7_TimeLeft,754.828
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.364
Pond5Fish8_PondTime,74.947
Pond5Fish8_PondOutcome,62
Pond5Fish8_TotalOutcome,344
Pond5Fish8_TimeLeft,742.435
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.38
Pond5Fish9_PondTime,89.324
Pond5Fish9_PondOutcome,74
Pond5Fish9_TotalOutcome,356
Pond5Fish9_TimeLeft,728.058
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.428
Pond5Fish10_PondTime,106.721
Pond5Fish10_PondOutcome,86
Pond5Fish10_TotalOutcome,368
Pond5Fish10_TimeLeft,710.661
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,1.526
Pond5Fish11_PondTime,129.116
Pond5Fish11_PondOutcome,98
Pond5Fish11_TotalOutcome,380
Pond5Fish11_TimeLeft,688.266
PondEnd_LastFish,11
FishN,14
Type,RD
GiveUpTime,21.807
PondTime,150.657
TimeLeft,666.222
PondOutcome,98
TotalOutcome,380
PondStart,PondStart
PondIntroTime,17.181255545001477
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,1.023
Pond4Fish1_PondTime,8.674
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,392
Pond4Fish1_TimeLeft,639.662
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,0.817
Pond4Fish2_PondTime,15.664
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,404
Pond4Fish2_TimeLeft,632.672
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,0.954
Pond4Fish3_PondTime,23.075
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,416
Pond4Fish3_TimeLeft,625.261
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,1.552
Pond4Fish4_PondTime,30.942
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,428
