,57da96a2bcd7150001ded382
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,1.285
Pond2Fish2_PondTime,16.46
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,924
Pond2Fish2_TimeLeft,48.537
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,1.176
Pond2Fish3_PondTime,24.33
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,936
Pond2Fish3_TimeLeft,40.667
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,1.44
Pond2Fish4_PondTime,32.745
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,948
Pond2Fish4_TimeLeft,32.252
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,1.242
Pond2Fish5_PondTime,41.828
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,960
Pond2Fish5_TimeLeft,23.169
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,1.17
Pond2Fish6_PondTime,51.736
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,972
Pond2Fish6_TimeLeft,13.261
