,57da96a2bcd7150001ded382
Pond8Fish1_TotalOutcome,490
Pond8Fish1_TimeLeft,616.242
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,0.983
Pond8Fish2_PondTime,18.359
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,502
Pond8Fish2_TimeLeft,607.695
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,1.085
Pond8Fish3_PondTime,27.407
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,514
Pond8Fish3_TimeLeft,598.647
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,1.264
Pond8Fish4_PondTime,37.293
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,526
Pond8Fish4_TimeLeft,588.757
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,2.369
Pond8Fish5_PondTime,48.681
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,538
Pond8Fish5_TimeLeft,577.373
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,1.267
Pond8Fish6_PondTime,61.071
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,550
Pond8Fish6_TimeLeft,564.983
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,1.251
Pond8Fish7_PondTime,75.486
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,562
Pond8Fish7_TimeLeft,550.568
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,12
Pond8Fish8_CatchTime,1.15
Pond8Fish8_PondTime,93.825
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,574
Pond8Fish8_TimeLeft,532.229
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,15
Pond8Fish9_CatchTime,1.209
Pond8Fish9_PondTime,116.265
Pond8Fish9_PondOutcome,108
Pond8Fish9_TotalOutcome,586
Pond8Fish9_TimeLeft,509.789
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,2.022
PondTime,117.683
